Time,HwActive,HwTOutlet,ChActive,ActPow,PrimTSet,PrimT,HwTSet
2018-02-01T01:10:27.724Z,,20.8,,,,,0
2018-02-01T01:10:37.719Z,,20.8,,,,36.8,0
2018-02-01T01:10:47.719Z,,20.8,,,,,0
2018-02-01T01:10:57.841Z,,20.8,,,,,0
2018-02-01T01:11:07.719Z,,20.8,,,,,0
2018-02-01T01:11:17.724Z,,20.8,,,,,0
2018-02-01T01:11:27.721Z,,20.8,,,,,0
2018-02-01T01:11:37.724Z,,20.8,,,,,0
2018-02-01T01:11:47.720Z,,20.8,,,,,0
2018-02-01T01:11:57.810Z,,20.8,,,,,0
2018-02-01T01:12:07.723Z,,20.8,,,,,0
2018-02-01T01:12:17.720Z,,20.8,,,,,0
2018-02-01T01:12:27.720Z,,20.8,,,,36.7,0
2018-02-01T01:12:37.720Z,,20.8,,,,,0
2018-02-01T01:12:47.725Z,,20.8,,,,,0
2018-02-01T01:12:57.850Z,,20.8,,,,,0
2018-02-01T01:13:07.720Z,,20.8,,,,,0
2018-02-01T01:13:17.720Z,,20.8,,,,,0
2018-02-01T01:13:27.720Z,,20.8,,,,,0
2018-02-01T01:13:37.720Z,,20.8,,,,,0
2018-02-01T01:13:47.721Z,,20.8,,,,,0
2018-02-01T01:13:57.810Z,,20.8,,,,36.6,0
2018-02-01T01:14:07.720Z,,20.8,,,,,0
2018-02-01T01:14:17.722Z,,20.8,,,,,0
2018-02-01T01:14:27.720Z,,20.8,,,,,0
2018-02-01T01:14:37.721Z,,20.8,,,,,0
2018-02-01T01:14:47.722Z,,20.8,,,,,0
2018-02-01T01:14:57.830Z,,20.8,,,,,0
2018-02-01T01:15:07.721Z,,20.8,,,,,0
2018-02-01T01:15:17.720Z,,20.8,,,,,0
2018-02-01T01:15:27.721Z,,20.8,,,,,0
2018-02-01T01:15:37.721Z,,20.8,,,,,0
2018-02-01T01:15:47.720Z,,20.8,,,,,0
2018-02-01T01:15:58.082Z,,20.8,,,,36.5,0
2018-02-01T01:16:07.721Z,0,20.8,0,0,5,36.5,0
2018-02-01T01:16:17.761Z,,20.8,,,,,0
2018-02-01T01:16:27.721Z,,20.8,,,,,0
2018-02-01T01:16:37.721Z,,20.8,,,,,0
2018-02-01T01:16:47.995Z,,20.8,,,,,0
2018-02-01T01:16:57.811Z,,20.8,,,,,0
2018-02-01T01:17:07.721Z,,20.8,,,,,0
2018-02-01T01:17:17.722Z,,20.8,,,,,0
2018-02-01T01:17:27.721Z,,20.8,,,,36.4,0
2018-02-01T01:17:37.720Z,,20.8,,,,,0
2018-02-01T01:17:47.725Z,,20.8,,,,,0
2018-02-01T01:17:57.830Z,,20.8,,,,,0
2018-02-01T01:18:07.722Z,,20.8,,,,,0
2018-02-01T01:18:17.721Z,,20.8,,,,,0
2018-02-01T01:18:27.721Z,,20.8,,,,,0
2018-02-01T01:18:37.722Z,,20.8,,,,,0
2018-02-01T01:18:47.720Z,,20.8,,,,,0
2018-02-01T01:18:57.813Z,,20.8,,,,,0
2018-02-01T01:19:07.724Z,,20.6,,,,36.3,0
2018-02-01T01:19:17.967Z,,20.6,,,,,0
2018-02-01T01:19:27.722Z,,20.8,,,,,0
2018-02-01T01:19:37.721Z,,20.6,,,,,0
2018-02-01T01:19:47.721Z,,20.6,,,,,0
2018-02-01T01:19:57.811Z,,20.6,,,,,0
2018-02-01T01:20:07.721Z,,20.6,,,,,0
2018-02-01T01:20:17.721Z,,20.6,,,,,0
2018-02-01T01:20:27.721Z,,20.6,,,,,0
2018-02-01T01:20:37.721Z,,20.6,,,,,0
2018-02-01T01:20:47.722Z,,20.6,,,,,0
2018-02-01T01:20:57.814Z,,20.6,,,,36.2,0
