Time,PrimT,HwActive,ActPow,PrimTSet,ChActive,HwTOutlet,HwTSet
2017-12-02T00:46:20.970Z,52.6,,,60,,35.2,0
2017-12-02T00:46:30.909Z,52.4,,,61,,35.2,0
2017-12-02T00:46:40.910Z,52.2,,,,,35.2,0
2017-12-02T00:46:50.910Z,,,,,,35.1,0
2017-12-02T00:47:00.910Z,52.4,,,,,35.1,0
2017-12-02T00:47:10.910Z,53,,,,,35.1,0
2017-12-02T00:47:20.910Z,53.5,,,,,35.1,0
2017-12-02T00:47:30.912Z,53.8,,,,,35.1,0
2017-12-02T00:47:40.909Z,,,,,,35.1,0
2017-12-02T00:47:50.920Z,53.6,,,60,,34.9,0
2017-12-02T00:48:00.911Z,52.9,,,61,,34.9,0
2017-12-02T00:48:10.920Z,52.8,,,,,34.9,0
2017-12-02T00:48:20.910Z,51.9,,,,,34.9,0
2017-12-02T00:48:30.914Z,51.8,,,,,34.9,0
2017-12-02T00:48:40.910Z,51.4,,,,,34.9,0
2017-12-02T00:48:50.910Z,50.9,,,,,34.9,0
2017-12-02T00:49:00.911Z,50.6,,,,,34.8,0
2017-12-02T00:49:10.914Z,50.2,,,,,34.8,0
2017-12-02T00:49:20.923Z,54,0,39,,2,34.8,0
2017-12-02T00:49:30.913Z,60,,29,60,,34.8,0
2017-12-02T00:49:40.910Z,61.1,,,,,34.8,0
2017-12-02T00:49:50.910Z,62.1,,,61,,34.8,0
2017-12-02T00:50:00.912Z,63.2,,29,,,34.7,0
2017-12-02T00:50:10.912Z,64.1,,,,,34.7,0
2017-12-02T00:50:20.914Z,65.1,,29,,,34.7,0
2017-12-02T00:50:30.911Z,60.7,0,0,,2,34.7,0
2017-12-02T00:50:40.912Z,56.9,,,,,34.7,0
2017-12-02T00:50:50.913Z,54.6,,,,,34.7,0
2017-12-02T00:51:00.911Z,52.8,,,,,34.7,0
2017-12-02T00:51:10.910Z,51.9,,,,,34.6,0
2017-12-02T00:51:20.913Z,50.9,,,,,34.6,0
2017-12-02T00:51:30.911Z,50.5,,,,,34.6,0
2017-12-02T00:51:40.915Z,49.9,,,,,34.6,0
2017-12-02T00:51:50.913Z,49.6,,,,,34.6,0
2017-12-02T00:52:00.911Z,50,,,,,34.6,0
2017-12-02T00:52:10.914Z,50.1,,,,,34.6,0
2017-12-02T00:52:20.912Z,51,,,,,34.5,0
2017-12-02T00:52:31.087Z,52,,,,,34.5,0
2017-12-02T00:52:40.911Z,53,,,,,34.5,0
2017-12-02T00:52:50.911Z,53.1,,,,,34.5,0
2017-12-02T00:53:00.911Z,53.7,,,,,34.5,0
2017-12-02T00:53:10.911Z,53.9,,,,,34.5,0
2017-12-02T00:53:20.913Z,53.7,,,,,34.5,0
2017-12-02T00:53:30.917Z,52.9,,,,,,
2017-12-02T00:53:40.911Z,51.9,,,,,34.4,0
2017-12-02T00:53:50.935Z,51.7,,,,,34.4,0
2017-12-02T00:54:00.911Z,50.9,,,,,34.4,0
2017-12-02T00:54:10.911Z,49.7,,,,,34.4,0
2017-12-02T00:54:20.926Z,53.2,0,39,,2,34.4,0
2017-12-02T00:54:30.916Z,59.3,,30,,,34.4,0
2017-12-02T00:54:40.913Z,60,,29,,,34.4,0
2017-12-02T00:54:50.912Z,61.1,,29,,,34.4,0
2017-12-02T00:55:00.912Z,62.2,,29,,,34.3,0
2017-12-02T00:55:10.911Z,63.1,,29,,,34.3,0
2017-12-02T00:55:20.913Z,64,,30,,,34.3,0
2017-12-02T00:55:30.911Z,64.4,,29,,,34.3,0
2017-12-02T00:55:40.912Z,64.8,0,0,,2,34.3,0
2017-12-02T00:55:50.914Z,58.9,,,,,34.3,0
2017-12-02T00:56:00.911Z,55.9,,,,,34.3,0
2017-12-02T00:56:10.915Z,53.8,,,,,34.3,0
2017-12-02T00:56:20.913Z,52.9,,,,,34.3,0
2017-12-02T00:56:30.912Z,51.9,,,,,34.2,0
2017-12-02T00:56:40.911Z,50.9,,,,,34.2,0
2017-12-02T00:56:50.915Z,50.5,,,,,34.2,0
2017-12-02T00:57:00.926Z,,,,,,34.2,0
2017-12-02T00:57:10.914Z,51,,,,,34.2,0
2017-12-02T00:57:20.912Z,51.3,,,,,34.2,0
2017-12-02T00:57:30.913Z,52,,,,,34.2,0
2017-12-02T00:57:40.913Z,53,,,,,34.2,0
2017-12-02T00:57:50.911Z,53.2,,,,,34.2,0
2017-12-02T00:58:00.911Z,54,,,,,34.2,0
2017-12-02T00:58:10.915Z,54.5,,,,,34.2,0
2017-12-02T00:58:20.917Z,54.9,,,,,34.2,0
2017-12-02T00:58:30.912Z,54.7,,,,,34.2,0
2017-12-02T00:58:40.915Z,53.9,,,,,34.2,0
2017-12-02T00:58:50.911Z,52.9,,,,,34.2,0
2017-12-02T00:59:00.913Z,52.7,,,,,34.1,0
2017-12-02T00:59:10.913Z,51.4,,,,,34.1,0
2017-12-02T00:59:20.925Z,54.6,0,39,,2,34.1,0
2017-12-02T00:59:30.915Z,60,,30,,,34.1,0
2017-12-02T00:59:40.916Z,61.1,,30,,,34.1,0
2017-12-02T00:59:50.912Z,62,,29,,,34.1,0
2017-12-02T01:00:00.912Z,63.2,,29,,,34.1,0
2017-12-02T01:00:10.916Z,64,,30,,,34.1,0
2017-12-02T01:00:20.916Z,64.4,,,,,34,0
2017-12-02T01:00:30.912Z,64.8,0,0,,2,34.1,0
2017-12-02T01:00:40.915Z,59.9,,,,,34.1,0
2017-12-02T01:00:50.914Z,56.8,,,,,34.1,0
2017-12-02T01:01:00.914Z,54.9,,,,,34,0
2017-12-02T01:01:10.913Z,53.8,,,,,34,0
2017-12-02T01:01:20.912Z,52.9,,,,,34,0
2017-12-02T01:01:30.912Z,51.9,,,,,34,0
2017-12-02T01:01:40.912Z,51.5,,,,,34,0
2017-12-02T01:01:50.917Z,51.2,,,,,34,0
2017-12-02T01:02:00.913Z,,,,,,34,0
2017-12-02T01:02:10.912Z,51.5,,,,,34,0
2017-12-02T01:02:20.914Z,52,,,,,34,0
2017-12-02T01:02:36.002Z,53,,,,,34,0
2017-12-02T01:02:40.919Z,53.3,,,,,34,0
2017-12-02T01:02:50.912Z,54,,,,,34,0
2017-12-02T01:03:00.913Z,54.5,,,,,34,0
2017-12-02T01:03:10.922Z,54.8,,,,,34,0
2017-12-02T01:03:20.915Z,54.6,,,,,34,0
2017-12-02T01:03:30.919Z,53.9,,,,,34,0
2017-12-02T01:03:40.912Z,53.5,,,,,34,0
2017-12-02T01:03:50.913Z,52.9,,,,,33.9,0
2017-12-02T01:04:00.917Z,51.9,,,,,34,0
2017-12-02T01:04:10.915Z,51.1,,,,,33.9,0
2017-12-02T01:04:20.925Z,54.5,0,39,,2,33.9,0
2017-12-02T01:04:30.918Z,59.3,,30,,,33.9,0
2017-12-02T01:04:40.913Z,61.2,,30,,,33.9,0
2017-12-02T01:04:50.912Z,62,,30,,,33.9,0
2017-12-02T01:05:00.916Z,63.2,,,,,33.9,0
2017-12-02T01:05:10.917Z,64,,30,,,33.9,0
2017-12-02T01:05:20.915Z,65.1,,,,,33.9,0
2017-12-02T01:05:30.913Z,60.5,0,0,,2,33.9,0
2017-12-02T01:05:40.913Z,56.9,,,,,33.9,0
2017-12-02T01:05:50.917Z,55.3,,,,,33.9,0
2017-12-02T01:06:00.913Z,53.9,,,,,33.9,0
2017-12-02T01:06:10.913Z,52.9,,,,,33.9,0
2017-12-02T01:06:20.913Z,51.9,,,,,33.9,0
2017-12-02T01:06:30.913Z,51.7,,,,,33.9,0
2017-12-02T01:06:40.913Z,50.9,,,,,33.9,0
2017-12-02T01:06:50.914Z,50.7,,,,,33.9,0
2017-12-02T01:07:00.913Z,51,,,,,33.9,0
2017-12-02T01:07:10.913Z,51.2,,,,,33.9,0
2017-12-02T01:07:20.914Z,52,,,,,33.9,0
2017-12-02T01:07:30.913Z,52.4,,,,,33.9,0
2017-12-02T01:07:40.913Z,53.1,,,,,33.9,0
2017-12-02T01:07:50.913Z,54,,,,,33.9,0
2017-12-02T01:08:00.913Z,54.3,,,,,33.9,0
2017-12-02T01:08:10.913Z,54.4,,,,,33.9,0
2017-12-02T01:08:20.915Z,53.9,,,,,33.9,0
2017-12-02T01:08:30.913Z,53.6,,,,,33.9,0
2017-12-02T01:08:40.913Z,52.9,,,,,33.8,0
2017-12-02T01:08:50.914Z,51.9,,,,,33.9,0
2017-12-02T01:09:00.913Z,51.6,,,,,33.8,0
2017-12-02T01:09:10.913Z,50.5,,,,,33.8,0
2017-12-02T01:09:20.916Z,53.3,0,40,,2,33.8,0
2017-12-02T01:09:30.953Z,59.1,,30,,,33.8,0
2017-12-02T01:09:40.913Z,61.1,,30,,,33.8,0
2017-12-02T01:09:50.915Z,62,,,,,33.8,0
2017-12-02T01:10:00.913Z,63.1,,,,,33.8,0
2017-12-02T01:10:10.913Z,64,,30,,,33.8,0
2017-12-02T01:10:20.914Z,64.4,,,,,33.8,0
2017-12-02T01:10:30.916Z,64.8,0,0,,2,33.8,0
2017-12-02T01:10:40.914Z,59.6,,,,,33.8,0
2017-12-02T01:10:51.152Z,56.8,,,,,33.8,0
2017-12-02T01:11:00.915Z,54.9,,,,,33.8,0
2017-12-02T01:11:10.914Z,53.8,,,,,33.8,0
2017-12-02T01:11:20.916Z,52.7,,,,,33.8,0
2017-12-02T01:11:30.920Z,51.7,,,,,33.8,0
2017-12-02T01:11:40.916Z,50.9,,,,,33.8,0
2017-12-02T01:11:50.916Z,50.6,,,,,33.8,0
2017-12-02T01:12:00.914Z,,,,,,33.7,0
2017-12-02T01:12:10.914Z,51,,,,,33.7,0
2017-12-02T01:12:20.914Z,51.5,,,,,33.8,0
2017-12-02T01:12:30.914Z,52.1,,,,,33.7,0
2017-12-02T01:12:40.915Z,53,,,,,33.7,0
2017-12-02T01:12:50.913Z,54,,,,,33.7,0
2017-12-02T01:13:00.930Z,54.1,,,,,33.7,0
2017-12-02T01:13:10.914Z,54.6,,,,,33.7,0
2017-12-02T01:13:20.916Z,54.5,,,,,33.7,0
2017-12-02T01:13:30.917Z,53.9,,,,,33.7,0
2017-12-02T01:13:40.921Z,53.4,,,,,33.7,0
2017-12-02T01:13:50.984Z,52.7,,,,,33.7,0
2017-12-02T01:14:00.915Z,51.8,,,,,33.7,0
2017-12-02T01:14:10.926Z,50.7,,,,,33.7,0
