Time,HwTSet,ActPow,ChActive,PrimT,HwTOutlet,PrimTSet,HwActive
2017-11-29T01:13:37.199Z,0,,,51.4,33.1,,
2017-11-29T01:13:47.196Z,0,,,50.7,33.1,,
2017-11-29T01:13:57.196Z,0,,,49.9,33.1,,
2017-11-29T01:14:07.196Z,0,,,49.3,33.1,,
2017-11-29T01:14:17.200Z,0,,,48.6,33.1,,
2017-11-29T01:14:27.199Z,0,,,47.9,33.1,,
2017-11-29T01:14:37.199Z,0,,,47.2,33.1,,
2017-11-29T01:14:47.196Z,0,,,46.7,33.1,,
2017-11-29T01:14:57.199Z,0,,,46.3,33.1,,
2017-11-29T01:15:07.196Z,0,,,45.9,33.1,,
