Time,PrimT,HwTSet,HwActive,ChActive,HwTOutlet,ActPow,PrimTSet
2018-01-01T00:58:33.019Z,,0,,,16.4,,
2018-01-01T00:58:43.018Z,,0,,,16.4,,
2018-01-01T00:58:53.019Z,,0,,,16.4,,
2018-01-01T00:59:03.019Z,,0,,,16.4,,
2018-01-01T00:59:13.019Z,,0,,,16.4,,
2018-01-01T00:59:23.019Z,,0,,,16.4,,
2018-01-01T00:59:33.019Z,,0,,,16.4,,
2018-01-01T00:59:43.019Z,,0,,,16.4,,
2018-01-01T00:59:53.018Z,,0,,,16.4,,
2018-01-01T01:00:03.021Z,,0,,,16.4,,
2018-01-01T01:00:13.020Z,,0,,,16.4,,
2018-01-01T01:00:23.021Z,,0,,,16.4,,
2018-01-01T01:00:33.020Z,,0,,,16.4,,
2018-01-01T01:00:43.019Z,,0,,,16.2,,
2018-01-01T01:00:53.020Z,,0,,,16.4,,
2018-01-01T01:01:03.019Z,,0,,,16.4,,
2018-01-01T01:01:13.020Z,,0,,,16.4,,
2018-01-01T01:01:23.031Z,,0,,,16.4,,
2018-01-01T01:01:33.019Z,,0,,,16.4,,
2018-01-01T01:01:43.020Z,,0,,,16.4,,
2018-01-01T01:01:53.023Z,,0,,,16.4,,
2018-01-01T01:02:03.024Z,,0,,,16.4,,
2018-01-01T01:02:13.019Z,,0,,,16.2,,
2018-01-01T01:02:23.019Z,,0,,,16.2,,
2018-01-01T01:02:33.019Z,,0,,,16.2,,
2018-01-01T01:02:43.021Z,,0,,,16.2,,
2018-01-01T01:02:53.020Z,,0,,,16.2,,
2018-01-01T01:03:03.024Z,,0,,,16.2,,
2018-01-01T01:03:13.019Z,,0,,,16.2,,
2018-01-01T01:03:23.019Z,,0,,,16.2,,
2018-01-01T01:03:33.020Z,,0,,,16.2,,
2018-01-01T01:03:43.024Z,,0,,,16.2,,
2018-01-01T01:03:53.023Z,,0,,,16.2,,
2018-01-01T01:04:03.023Z,,0,,,16.2,,
2018-01-01T01:04:13.019Z,,0,,,16.2,,
2018-01-01T01:04:23.020Z,,0,,,16.2,,
2018-01-01T01:04:33.019Z,,0,,,16.2,,
2018-01-01T01:04:43.020Z,,0,,,16.2,,
2018-01-01T01:04:53.020Z,,0,,,16.2,,
2018-01-01T01:05:03.019Z,,0,,,16.2,,
2018-01-01T01:05:13.020Z,,0,,,16.2,,
2018-01-01T01:05:23.020Z,,0,,,16.2,,
2018-01-01T01:05:33.022Z,,0,,,16.2,,
2018-01-01T01:05:43.019Z,,0,,,16.2,,
2018-01-01T01:05:53.020Z,,0,,,16.2,,
2018-01-01T01:06:03.029Z,,0,,,16.2,,
2018-01-01T01:06:13.022Z,,0,,,16.2,,
2018-01-01T01:06:23.020Z,16.6,0,,,16.2,,
2018-01-01T01:06:33.020Z,16.6,0,,,16.2,,
2018-01-01T01:06:43.027Z,16.8,0,,,16.2,,
2018-01-01T01:06:53.024Z,,0,,,16.2,,
2018-01-01T01:07:03.206Z,16.6,0,,,16.2,,
2018-01-01T01:07:13.022Z,,0,,,16.2,,
2018-01-01T01:07:23.022Z,,0,,,16.2,,
2018-01-01T01:07:33.021Z,,0,,,16.2,,
2018-01-01T01:07:43.020Z,16.8,0,,,16.2,,
2018-01-01T01:07:53.022Z,,0,,,16.2,,
2018-01-01T01:08:03.019Z,16.6,0,,,16.2,,
2018-01-01T01:08:13.020Z,16.8,0,,,16.2,,
2018-01-01T01:08:23.020Z,16.6,0,,,16.2,,
2018-01-01T01:08:33.021Z,,0,,,16.2,,
2018-01-01T01:08:43.020Z,,0,,,16.2,,
2018-01-01T01:08:53.020Z,,0,,,16.2,,
2018-01-01T01:09:03.019Z,,0,,,16.2,,
2018-01-01T01:09:13.020Z,,0,,,16.2,,
2018-01-01T01:09:23.020Z,,0,,,16.2,,
2018-01-01T01:09:33.021Z,,0,,,16.2,,
2018-01-01T01:09:43.025Z,,0,,,16.2,,
2018-01-01T01:09:53.021Z,,0,,,16.2,,
2018-01-01T01:10:03.020Z,,0,,,16.2,,
2018-01-01T01:10:13.020Z,,0,,,16.2,,
2018-01-01T01:10:23.021Z,,0,,,16.2,,
2018-01-01T01:10:33.020Z,,0,,,16.2,,
2018-01-01T01:10:43.021Z,,0,,,16.2,,
2018-01-01T01:10:53.020Z,,0,,,16.2,,
2018-01-01T01:11:03.022Z,,0,,,16.2,,
2018-01-01T01:11:13.029Z,,0,,,16.2,,
2018-01-01T01:11:23.020Z,,0,,,16.2,,
2018-01-01T01:11:33.020Z,,0,,,16.2,,
2018-01-01T01:11:43.020Z,,0,,,16.2,,
2018-01-01T01:11:53.021Z,,0,,,16.2,,
2018-01-01T01:12:03.021Z,,0,,,16.2,,
2018-01-01T01:12:13.026Z,,0,,,16.2,,
2018-01-01T01:12:23.020Z,,0,,,16.2,,
2018-01-01T01:12:33.020Z,,0,,,16.2,,
2018-01-01T01:12:43.026Z,,0,,,16.2,,
2018-01-01T01:12:53.020Z,,0,,,16.2,,
2018-01-01T01:13:03.023Z,,0,,,16.2,,
2018-01-01T01:13:13.038Z,,0,,,16.2,,
2018-01-01T01:13:23.021Z,,0,,,16.2,,
2018-01-01T01:13:33.020Z,,0,,,16.2,,
2018-01-01T01:13:43.020Z,,0,,,16.2,,
2018-01-01T01:13:53.020Z,,0,,,16.2,,
2018-01-01T01:14:03.021Z,,0,,,16.2,,
2018-01-01T01:14:13.025Z,,0,,,16.2,,
2018-01-01T01:14:23.021Z,,0,,,16.2,,
2018-01-01T01:14:33.021Z,,0,,,16.2,,
2018-01-01T01:14:43.020Z,,0,,,16.2,,
2018-01-01T01:14:53.020Z,,0,,,16.1,,
2018-01-01T01:15:03.023Z,,0,,,16.2,,
2018-01-01T01:15:13.020Z,,0,,,16.2,,
2018-01-01T01:15:23.021Z,,0,,,16.2,,
2018-01-01T01:15:33.020Z,,0,,,16.1,,
2018-01-01T01:15:43.020Z,,0,,,16.2,,
2018-01-01T01:15:53.023Z,,0,,,16.1,,
2018-01-01T01:16:03.021Z,,0,,,16.1,,
2018-01-01T01:16:13.020Z,,0,,,16.2,,
2018-01-01T01:16:23.025Z,,0,,,16.1,,
2018-01-01T01:16:33.021Z,,0,,,16.2,,
2018-01-01T01:16:43.021Z,,0,,,16.2,,
2018-01-01T01:16:53.021Z,,0,,,16.1,,
2018-01-01T01:17:03.026Z,,0,,,16.1,,
2018-01-01T01:17:13.021Z,,0,,,16.1,,
2018-01-01T01:17:23.020Z,,0,,,16.1,,
2018-01-01T01:17:33.021Z,,0,,,16.1,,
2018-01-01T01:17:43.021Z,,0,,,16.1,,
2018-01-01T01:17:53.023Z,,0,,,16.1,,
2018-01-01T01:18:03.020Z,,0,,,16.1,,
2018-01-01T01:18:13.023Z,,0,,,16.1,,
2018-01-01T01:18:23.021Z,,0,,,16.1,,
2018-01-01T01:18:33.021Z,,0,,,16.1,,
2018-01-01T01:18:43.021Z,,0,,,16.1,,
2018-01-01T01:18:53.021Z,,0,,,16.1,,
2018-01-01T01:19:03.022Z,,0,,,16.1,,
2018-01-01T01:19:13.022Z,,0,,,16.1,,
2018-01-01T01:19:23.022Z,,0,,,16.1,,
2018-01-01T01:19:33.023Z,,0,,,16.1,,
2018-01-01T01:19:43.022Z,,0,,,16.1,,
2018-01-01T01:19:53.022Z,,0,,,16.1,,
2018-01-01T01:20:03.022Z,,0,,,16.1,,
2018-01-01T01:20:13.022Z,,0,,,16.1,,
2018-01-01T01:20:23.025Z,,0,,,16.1,,
2018-01-01T01:20:33.021Z,,0,,,16.1,,
2018-01-01T01:20:43.022Z,,0,,,16.1,,
2018-01-01T01:20:53.022Z,,0,,,16.1,,
2018-01-01T01:21:03.024Z,,0,,,16.1,,
2018-01-01T01:21:13.024Z,,0,,,16.1,,
2018-01-01T01:21:23.021Z,,0,,,16.1,,
2018-01-01T01:21:33.025Z,,0,,,16.1,,
2018-01-01T01:21:43.022Z,,0,,,16.1,,
