Time,HwActive,HwTSet,ActPow,HwTOutlet,PrimT,PrimTSet,ChActive
2018-01-22T00:58:53.556Z,,0,,24.7,,,
2018-01-22T00:59:03.541Z,,0,,24.5,,,
2018-01-22T00:59:13.541Z,,0,,24.5,,,
2018-01-22T00:59:23.540Z,,0,,24.5,41.2,,
2018-01-22T00:59:33.543Z,,0,,24.5,,,
2018-01-22T00:59:43.547Z,,0,,24.5,,,
2018-01-22T00:59:53.540Z,,0,,24.5,,,
2018-01-22T01:00:03.614Z,,0,,24.5,,,
2018-01-22T01:00:13.541Z,,0,,24.5,,,
2018-01-22T01:00:23.541Z,,0,,24.5,,,
2018-01-22T01:00:33.540Z,0,0,0,24.5,41.2,5,0
2018-01-22T01:00:43.541Z,,0,,24.5,,,
2018-01-22T01:00:53.544Z,,0,,24.5,41.1,,
2018-01-22T01:01:03.542Z,,0,,24.5,,,
2018-01-22T01:01:13.546Z,,0,,24.5,,,
2018-01-22T01:01:23.541Z,,0,,24.4,,,
2018-01-22T01:01:33.541Z,,0,,24.4,,,
2018-01-22T01:01:43.542Z,,0,,24.4,,,
2018-01-22T01:01:53.543Z,,0,,24.4,,,
2018-01-22T01:02:03.541Z,,0,,24.4,,,
2018-01-22T01:02:13.541Z,,0,,24.4,,,
2018-01-22T01:02:23.540Z,,0,,24.4,41,,
2018-01-22T01:02:33.541Z,,0,,24.4,,,
2018-01-22T01:02:43.541Z,,0,,24.4,,,
2018-01-22T01:02:53.546Z,,0,,24.4,,,
2018-01-22T01:03:03.541Z,,0,,24.4,,,
2018-01-22T01:03:13.541Z,,0,,24.3,,,
2018-01-22T01:03:23.741Z,,0,,24.3,41,,
2018-01-22T01:03:33.548Z,,0,,24.3,40.9,,
2018-01-22T01:03:43.541Z,,0,,24.3,,,
2018-01-22T01:03:53.553Z,,0,,24.3,,,
2018-01-22T01:04:03.546Z,,0,,24.3,,,
2018-01-22T01:04:18.677Z,,0,,24.3,,,
2018-01-22T01:04:23.617Z,,0,,24.3,,,
2018-01-22T01:04:33.547Z,,0,,24.3,,,
2018-01-22T01:04:43.675Z,,0,,24.3,,,
2018-01-22T01:04:53.718Z,,0,,24.3,,,
2018-01-22T01:05:03.549Z,,0,,24.3,40.8,,
2018-01-22T01:05:13.542Z,,0,,24.3,,,
2018-01-22T01:05:23.543Z,,0,,24.2,,,
2018-01-22T01:05:33.543Z,,0,,24.3,,,
2018-01-22T01:05:43.548Z,,0,,24.2,,,
2018-01-22T01:05:53.675Z,,0,,24.2,,,
2018-01-22T01:06:03.545Z,,0,,24.2,,,
2018-01-22T01:06:13.549Z,,0,,24.2,,,
2018-01-22T01:06:23.548Z,,0,,24.2,,,
2018-01-22T01:06:33.541Z,,0,,24.2,40.7,,
2018-01-22T01:06:43.541Z,,0,,24.2,,,
2018-01-22T01:06:53.546Z,,0,,24.2,,,
2018-01-22T01:07:03.543Z,,0,,24.2,,,
2018-01-22T01:07:13.551Z,,0,,24.2,,,
2018-01-22T01:07:23.542Z,,0,,24.2,,,
2018-01-22T01:07:33.543Z,,0,,24.2,,,
2018-01-22T01:07:43.541Z,,0,,24.2,,,
2018-01-22T01:07:53.542Z,,0,,24.2,,,
2018-01-22T01:08:03.544Z,,0,,24,40.6,,
2018-01-22T01:08:13.542Z,,0,,24,,,
2018-01-22T01:08:23.542Z,,0,,24,,,
2018-01-22T01:08:33.542Z,,0,,24,,,
2018-01-22T01:08:43.542Z,,0,,24,,,
2018-01-22T01:08:53.542Z,,0,,24,,,
2018-01-22T01:09:03.542Z,,0,,24,,,
2018-01-22T01:09:13.542Z,,0,,24,,,
2018-01-22T01:09:23.663Z,,0,,24,40.5,,
2018-01-22T01:09:33.547Z,,0,,24,,,
2018-01-22T01:09:43.546Z,,0,,24,,,
2018-01-22T01:09:53.612Z,,0,,24,,,
2018-01-22T01:10:03.544Z,,0,,24,,,
2018-01-22T01:10:13.542Z,,0,,24,,,
2018-01-22T01:10:23.544Z,,0,,24,,,
2018-01-22T01:10:33.543Z,,0,,23.9,,,
2018-01-22T01:10:43.542Z,,0,,23.9,,,
2018-01-22T01:10:53.543Z,,0,,23.9,,,
2018-01-22T01:11:03.543Z,,0,,23.9,40.4,,
2018-01-22T01:11:13.542Z,,0,,23.9,,,
2018-01-22T01:11:23.542Z,,0,,23.9,,,
2018-01-22T01:11:33.542Z,,0,,23.9,,,
2018-01-22T01:11:43.545Z,,0,,23.9,,,
2018-01-22T01:11:53.547Z,,0,,23.9,,,
2018-01-22T01:12:03.542Z,,0,,23.9,,,
2018-01-22T01:12:13.542Z,,0,,23.9,,,
2018-01-22T01:12:23.542Z,,0,,23.9,40.3,,
2018-01-22T01:12:33.543Z,,0,,23.9,,,
2018-01-22T01:12:43.542Z,,0,,23.9,,,
2018-01-22T01:12:53.542Z,,0,,23.9,,,
2018-01-22T01:13:03.543Z,,0,,23.9,,,
2018-01-22T01:13:13.543Z,,0,,23.9,,,
2018-01-22T01:13:23.543Z,,0,,23.8,,,
2018-01-22T01:13:33.548Z,,0,,23.8,,,
2018-01-22T01:13:44.017Z,,0,,23.8,40.2,,
2018-01-22T01:13:53.544Z,,0,,23.8,,,
2018-01-22T01:14:03.543Z,,0,,23.8,,,
2018-01-22T01:14:13.545Z,,0,,23.8,,,
2018-01-22T01:14:23.543Z,,0,,23.8,,,
2018-01-22T01:14:33.543Z,,0,,23.8,,,
2018-01-22T01:14:43.543Z,,0,,23.8,,,
2018-01-22T01:14:53.545Z,,0,,23.8,,,
2018-01-22T01:15:03.543Z,,0,,23.8,,,
2018-01-22T01:15:13.543Z,,0,,23.8,,,
2018-01-22T01:15:23.542Z,,0,,23.8,40.1,,
2018-01-22T01:15:33.543Z,,0,,23.8,,,
2018-01-22T01:15:43.543Z,,0,,23.8,,,
2018-01-22T01:15:53.543Z,,0,,23.7,,,
2018-01-22T01:16:03.546Z,,0,,23.7,,,
2018-01-22T01:16:13.543Z,,0,,23.7,,,
2018-01-22T01:16:23.550Z,,0,,23.7,,,
2018-01-22T01:16:33.543Z,,0,,23.7,40,,
2018-01-22T01:16:43.543Z,,0,,23.7,40.1,,
2018-01-22T01:16:53.546Z,,0,,23.7,40,,
2018-01-22T01:17:03.652Z,,0,,23.7,,,
2018-01-22T01:17:13.543Z,,0,,23.7,,,
2018-01-22T01:17:23.543Z,,0,,23.7,,,
2018-01-22T01:17:33.544Z,,0,,23.7,,,
2018-01-22T01:17:43.551Z,,0,,23.7,,,
2018-01-22T01:17:53.543Z,,0,,23.7,,,
2018-01-22T01:18:03.545Z,,0,,23.7,40,,
2018-01-22T01:18:13.545Z,,0,,23.6,39.9,,
2018-01-22T01:18:23.558Z,,0,,23.7,,,
2018-01-22T01:18:33.544Z,,0,,23.7,,,
2018-01-22T01:18:43.545Z,,0,,23.6,,,
2018-01-22T01:18:53.544Z,,0,,23.6,,,
2018-01-22T01:19:03.544Z,,0,,23.6,,,
2018-01-22T01:19:13.547Z,,0,,23.6,,,
2018-01-22T01:19:23.555Z,,0,,23.6,,,
2018-01-22T01:19:33.544Z,,0,,23.6,,,
2018-01-22T01:19:43.544Z,,0,,23.6,39.8,,
2018-01-22T01:19:53.544Z,,0,,23.6,,,
2018-01-22T01:20:03.544Z,,0,,23.6,,,
2018-01-22T01:20:13.543Z,,0,,23.6,,,
2018-01-22T01:20:23.544Z,,0,,23.6,,,
2018-01-22T01:20:33.543Z,,0,,23.6,,,
2018-01-22T01:20:43.544Z,,0,,23.6,,,
2018-01-22T01:20:53.544Z,,0,,23.6,,,
2018-01-22T01:21:03.544Z,,0,,23.6,,,
2018-01-22T01:21:13.544Z,,0,,23.6,,,
