Time,PrimT,HwActive,PrimTSet,HwTOutlet,ActPow,ChActive,HwTSet
2017-12-20T00:45:49.698Z,39.2,,,21.7,,,0
2017-12-20T00:45:59.697Z,,,,21.7,,,0
2017-12-20T00:46:09.777Z,,,,21.7,,,0
2017-12-20T00:46:19.698Z,,,,21.7,,,0
2017-12-20T00:46:29.697Z,,,,21.7,,,0
2017-12-20T00:46:39.698Z,,,,21.7,,,0
2017-12-20T00:46:49.698Z,,,,21.7,,,0
2017-12-20T00:46:59.697Z,,,,21.7,,,0
2017-12-20T00:47:09.777Z,39.1,,,21.7,,,0
2017-12-20T00:47:19.698Z,,,,21.7,,,0
2017-12-20T00:47:29.697Z,,,,21.7,,,0
2017-12-20T00:47:39.698Z,,,,21.6,,,0
2017-12-20T00:47:59.698Z,,,,21.7,,,0
2017-12-20T00:48:09.777Z,,,,21.7,,,0
2017-12-20T00:48:19.698Z,,,,21.7,,,0
2017-12-20T00:48:29.698Z,38.9,,,21.6,,,0
2017-12-20T00:48:39.698Z,38.9,,,21.6,,,0
2017-12-20T00:48:49.697Z,,,,21.6,,,0
2017-12-20T00:48:59.698Z,,,,21.6,,,0
2017-12-20T00:49:09.778Z,,,,21.6,,,0
2017-12-20T00:49:19.697Z,,,,21.6,,,0
2017-12-20T00:49:29.697Z,,,,21.6,,,0
2017-12-20T00:49:39.698Z,,,,21.6,,,0
2017-12-20T00:49:49.698Z,,,,21.6,,,0
2017-12-20T00:49:59.698Z,38.8,,,21.6,,,0
2017-12-20T00:50:09.780Z,,,,21.6,,,0
2017-12-20T00:50:19.700Z,,,,21.6,,,0
2017-12-20T00:50:29.698Z,,,,21.6,,,0
2017-12-20T00:50:39.699Z,,,,21.6,,,0
2017-12-20T00:50:49.698Z,,,,21.6,,,0
2017-12-20T00:50:59.698Z,,,,21.5,,,0
2017-12-20T00:51:09.778Z,,,,21.6,,,0
2017-12-20T00:51:19.698Z,38.7,,,21.5,,,0
2017-12-20T00:51:29.701Z,,,,21.5,,,0
2017-12-20T00:51:39.698Z,,,,21.6,,,0
2017-12-20T00:51:49.699Z,,,,21.5,,,0
2017-12-20T00:51:59.698Z,,,,21.6,,,0
2017-12-20T00:52:09.780Z,,,,21.5,,,0
2017-12-20T00:52:19.699Z,,,,21.5,,,0
2017-12-20T00:52:29.699Z,,,,21.5,,,0
2017-12-20T00:52:39.698Z,,,,21.5,,,0
2017-12-20T00:52:49.699Z,38.6,,,21.5,,,0
2017-12-20T00:52:59.699Z,38.7,,,21.5,,,0
2017-12-20T00:53:09.778Z,38.6,,,21.5,,,0
2017-12-20T00:53:19.698Z,,,,21.5,,,0
2017-12-20T00:53:29.698Z,,,,21.5,,,0
2017-12-20T00:53:39.698Z,,,,21.5,,,0
2017-12-20T00:53:49.699Z,,,,21.5,,,0
2017-12-20T00:53:59.699Z,,,,21.5,,,0
2017-12-20T00:54:09.788Z,,,,21.5,,,0
2017-12-20T00:54:19.698Z,38.5,,,21.5,,,0
2017-12-20T00:54:29.699Z,,,,21.5,,,0
2017-12-20T00:54:39.698Z,,,,21.5,,,0
2017-12-20T00:54:59.699Z,,,,21.5,,,0
2017-12-20T00:55:09.779Z,,,,21.5,,,0
2017-12-20T00:55:19.699Z,,,,21.5,,,0
2017-12-20T00:55:29.699Z,,,,21.3,,,0
2017-12-20T00:55:39.700Z,,,,21.3,,,0
2017-12-20T00:55:49.702Z,,,,21.3,,,0
2017-12-20T00:55:59.699Z,38.4,,,21.3,,,0
2017-12-20T00:56:09.778Z,,,,21.3,,,0
2017-12-20T00:56:19.699Z,,,,21.3,,,0
2017-12-20T00:56:29.699Z,,,,21.3,,,0
2017-12-20T00:56:39.704Z,,,,21.3,,,0
2017-12-20T00:56:49.740Z,,,,21.3,,,0
2017-12-20T00:56:59.797Z,,,,21.3,,,0
2017-12-20T00:57:09.789Z,38.3,,,21.3,,,0
2017-12-20T00:57:19.698Z,38.4,,,21.3,,,0
2017-12-20T00:57:29.699Z,38.3,,,21.3,,,0
2017-12-20T00:57:39.699Z,,,,21.3,,,0
2017-12-20T00:57:49.699Z,,,,21.3,,,0
2017-12-20T00:57:59.764Z,,,,21.3,,,0
2017-12-20T00:58:09.740Z,,,,21.3,,,0
2017-12-20T00:58:29.698Z,,,,21.3,,,0
2017-12-20T00:58:39.699Z,,,,21.3,,,0
2017-12-20T00:58:49.702Z,38.2,,,,,,
2017-12-20T00:58:59.699Z,,,,21.3,,,0
2017-12-20T00:59:09.779Z,,,,21.2,,,0
2017-12-20T00:59:19.699Z,,,,21.2,,,0
2017-12-20T00:59:39.699Z,,,,21.2,,,0
2017-12-20T00:59:49.699Z,,,,21.2,,,0
2017-12-20T00:59:59.701Z,,,,21.2,,,0
2017-12-20T01:00:19.699Z,38.1,,,21.2,,,0
2017-12-20T01:00:29.700Z,,,,21.2,,,0
2017-12-20T01:00:49.699Z,,,,21.2,,,0
2017-12-20T01:00:59.699Z,,,,21.2,,,0
2017-12-20T01:01:09.779Z,,,,21.2,,,0
2017-12-20T01:01:19.700Z,,,,21.2,,,0
2017-12-20T01:01:29.700Z,,,,21.2,,,0
2017-12-20T01:01:39.702Z,,,,21.2,,,0
2017-12-20T01:01:59.700Z,38,,,21.2,,,0
2017-12-20T01:02:09.789Z,,,,21.2,,,0
2017-12-20T01:02:19.699Z,,,,21.2,,,0
2017-12-20T01:02:29.700Z,,,,21.2,,,0
2017-12-20T01:02:39.700Z,,,,21.2,,,0
2017-12-20T01:02:49.699Z,,,,21.2,,,0
2017-12-20T01:02:59.700Z,,,,21.2,,,0
2017-12-20T01:03:19.700Z,38,,,21.2,,,0
2017-12-20T01:03:29.700Z,37.9,,,21.2,,,0
2017-12-20T01:03:39.700Z,,,,21.1,,,0
2017-12-20T01:03:59.701Z,,,,21.1,,,0
2017-12-20T01:04:09.780Z,,,,21.1,,,0
2017-12-20T01:04:19.700Z,,,,21.1,,,0
2017-12-20T01:04:39.700Z,,,,21.1,,,0
2017-12-20T01:04:59.701Z,,,,21.1,,,0
2017-12-20T01:05:09.780Z,37.8,,,21.1,,,0
2017-12-20T01:05:19.703Z,,,,21.1,,,0
2017-12-20T01:05:29.701Z,,,,21.1,,,0
2017-12-20T01:05:39.700Z,,,,21.1,,,0
2017-12-20T01:05:59.701Z,,,,21.1,,,0
2017-12-20T01:06:19.700Z,,,,21.1,,,0
2017-12-20T01:06:29.701Z,,,,21.1,,,0
2017-12-20T01:06:39.700Z,37.7,,,,,,
2017-12-20T01:06:49.702Z,,,,21.1,,,0
2017-12-20T01:06:59.700Z,,,,21.1,,,0
2017-12-20T01:07:19.701Z,,,,21.1,,,0
2017-12-20T01:07:29.701Z,,,,21.1,,,0
2017-12-20T01:07:49.700Z,,,,21.1,,,0
2017-12-20T01:07:59.701Z,37.6,,,21.1,,,0
2017-12-20T01:08:19.700Z,,,,20.9,,,0
2017-12-20T01:08:29.701Z,,,,21.1,,,0
2017-12-20T01:08:49.700Z,,,,21.1,,,0
2017-12-20T01:08:59.701Z,,,,21.1,,,0
2017-12-20T01:09:09.790Z,,,,20.9,,,0
2017-12-20T01:09:19.700Z,37.6,0,5,20.9,0,0,0
2017-12-20T01:09:29.701Z,37.5,,,20.9,,,0
2017-12-20T01:09:39.700Z,,,,20.9,,,0
2017-12-20T01:09:49.700Z,,,,20.9,,,0
2017-12-20T01:09:59.701Z,,,,20.9,,,0
2017-12-20T01:10:19.701Z,,,,20.9,,,0
2017-12-20T01:10:39.701Z,,,,20.9,,,0
2017-12-20T01:10:49.701Z,,,,20.9,,,0
2017-12-20T01:10:59.701Z,,,,20.9,,,0
2017-12-20T01:11:09.780Z,37.4,,,20.9,,,0
2017-12-20T01:11:19.702Z,,,,20.9,,,0
2017-12-20T01:11:29.701Z,,,,20.9,,,0
2017-12-20T01:11:49.704Z,,,,20.9,,,0
2017-12-20T01:11:59.703Z,,,,20.9,,,0
2017-12-20T01:12:14.800Z,,,,20.9,,,0
2017-12-20T01:12:19.703Z,,,,20.9,,,0
2017-12-20T01:12:29.704Z,,,,20.9,,,0
2017-12-20T01:12:39.704Z,,,,20.9,,,0
2017-12-20T01:12:49.703Z,37.3,,,,,,
2017-12-20T01:12:59.703Z,,,,20.9,,,0
2017-12-20T01:13:09.781Z,,,,20.9,,,0
2017-12-20T01:13:19.702Z,,,,20.9,,,0
2017-12-20T01:13:29.702Z,,,,20.9,,,0
2017-12-20T01:13:49.703Z,,,,20.9,,,0
2017-12-20T01:13:59.702Z,,,,20.8,,,0
2017-12-20T01:14:19.703Z,,,,20.8,,,0
2017-12-20T01:14:29.703Z,37.2,,,20.8,,,0
2017-12-20T01:14:49.703Z,,,,20.8,,,0
2017-12-20T01:14:59.702Z,,,,20.8,,,0
2017-12-20T01:15:09.781Z,,,,20.8,,,0
2017-12-20T01:15:19.704Z,,,,20.8,,,0
2017-12-20T01:15:39.702Z,,,,20.8,,,0
2017-12-20T01:15:49.702Z,,,,20.8,,,0
2017-12-20T01:15:59.703Z,37.1,,,20.8,,,0
2017-12-20T01:16:09.782Z,,,,20.8,,,0
2017-12-20T01:16:19.702Z,,,,20.8,,,0
2017-12-20T01:16:29.702Z,,,,20.8,,,0
2017-12-20T01:16:39.702Z,,,,20.8,,,0
2017-12-20T01:16:59.702Z,,,,20.8,,,0
2017-12-20T01:17:09.782Z,,,,20.8,,,0
2017-12-20T01:17:19.702Z,,,,20.8,,,0
2017-12-20T01:17:29.702Z,36.9,,,20.8,,,0
2017-12-20T01:17:39.702Z,,,,20.8,,,0
2017-12-20T01:17:59.703Z,,,,20.8,,,0
2017-12-20T01:18:09.782Z,,,,20.8,,,0
2017-12-20T01:18:19.702Z,,,,20.8,,,0
2017-12-20T01:18:39.702Z,,,,20.8,,,0
2017-12-20T01:18:49.701Z,,,,20.6,,,0
2017-12-20T01:18:59.702Z,,,,20.8,,,0
2017-12-20T01:19:09.782Z,36.8,,,20.6,,,0
2017-12-20T01:19:19.702Z,,,,20.6,,,0
2017-12-20T01:19:29.702Z,,,,20.6,,,0
2017-12-20T01:19:39.702Z,,,,20.6,,,0
2017-12-20T01:19:49.704Z,,,,20.6,,,0
2017-12-20T01:19:59.701Z,,,,20.6,,,0
2017-12-20T01:20:09.792Z,,,,20.6,,,0
2017-12-20T01:20:19.702Z,,,,20.6,,,0
2017-12-20T01:20:29.702Z,,,,20.6,,,0
2017-12-20T01:20:39.702Z,36.7,,,20.6,,,0
2017-12-20T01:20:49.702Z,,,,20.6,,,0
2017-12-20T01:20:59.702Z,,,,20.6,,,0
2017-12-20T01:21:09.782Z,,,,20.6,,,0
2017-12-20T01:21:19.709Z,,,,20.6,,,0
2017-12-20T01:21:39.953Z,,,,20.6,,,0
2017-12-20T01:21:49.702Z,,,,20.6,,,0
2017-12-20T01:22:09.782Z,,,,20.6,,,0
2017-12-20T01:22:19.702Z,,,,20.6,,,0
2017-12-20T01:22:29.702Z,36.6,,,20.6,,,0
2017-12-20T01:22:39.703Z,,,,20.6,,,0
2017-12-20T01:22:49.702Z,,,,20.6,,,0
2017-12-20T01:22:59.703Z,,,,20.6,,,0
2017-12-20T01:23:09.783Z,,,,20.6,,,0
2017-12-20T01:23:19.703Z,,,,20.6,,,0
2017-12-20T01:23:29.702Z,,,,20.6,,,0
2017-12-20T01:23:39.706Z,,,,20.6,,,0
2017-12-20T01:23:59.703Z,,,,20.6,,,0
2017-12-20T01:24:09.783Z,36.5,,,20.6,,,0
2017-12-20T01:24:19.702Z,,,,20.5,,,0
2017-12-20T01:24:39.702Z,,,,20.6,,,0
2017-12-20T01:24:49.703Z,,,,20.5,,,0
2017-12-20T01:25:09.784Z,,,,20.5,,,0
2017-12-20T01:25:19.703Z,,,,20.5,,,0
2017-12-20T01:25:39.703Z,,,,20.5,,,0
2017-12-20T01:25:49.703Z,36.4,,,20.5,,,0
2017-12-20T01:25:59.703Z,,,,20.5,,,0
2017-12-20T01:26:09.784Z,,,,20.5,,,0
2017-12-20T01:26:19.703Z,,,,20.5,,,0
2017-12-20T01:26:29.703Z,,,,20.5,,,0
2017-12-20T01:26:39.704Z,,,,20.5,,,0
2017-12-20T01:26:49.704Z,,,,20.5,,,0
