Time,ActPow,ChActive,HwTSet,PrimT,HwActive,HwTOutlet,PrimTSet
2018-01-20T01:10:23.122Z,,,0,,,21.9,
2018-01-20T01:10:33.120Z,,,0,,,21.9,
2018-01-20T01:10:43.121Z,,,0,,,21.9,
2018-01-20T01:10:53.122Z,,,0,,,21.9,
2018-01-20T01:11:03.121Z,,,0,,,21.9,
2018-01-20T01:11:13.122Z,,,0,,,21.9,
2018-01-20T01:11:23.121Z,,,0,,,21.9,
2018-01-20T01:11:33.121Z,,,0,,,21.9,
2018-01-20T01:11:43.121Z,,,0,,,21.9,
2018-01-20T01:11:53.122Z,,,0,,,21.9,
2018-01-20T01:12:03.121Z,,,0,36.3,,21.9,
2018-01-20T01:12:13.122Z,,,0,,,21.9,
2018-01-20T01:12:23.121Z,,,0,,,21.9,
2018-01-20T01:12:33.126Z,,,0,,,21.9,
2018-01-20T01:12:43.121Z,,,0,,,21.9,
2018-01-20T01:12:53.121Z,,,0,,,21.9,
2018-01-20T01:13:03.121Z,,,0,,,21.9,
2018-01-20T01:13:13.121Z,,,0,,,21.7,
2018-01-20T01:13:23.124Z,,,0,,,21.9,
2018-01-20T01:13:33.121Z,,,0,,,21.9,
2018-01-20T01:13:43.121Z,,,0,36.2,,21.9,
2018-01-20T01:13:53.121Z,,,0,,,21.7,
2018-01-20T01:14:03.121Z,,,0,,,21.7,
2018-01-20T01:14:13.124Z,,,0,,,21.7,
2018-01-20T01:14:23.121Z,,,0,,,21.7,
2018-01-20T01:14:33.121Z,,,0,,,21.7,
2018-01-20T01:14:43.121Z,,,0,,,21.7,
2018-01-20T01:14:53.120Z,,,0,,,21.7,
2018-01-20T01:15:03.122Z,,,0,,,21.7,
2018-01-20T01:15:18.214Z,,,0,,,21.7,
2018-01-20T01:15:23.316Z,,,0,,,21.7,
2018-01-20T01:15:33.126Z,,,0,,,21.7,
2018-01-20T01:15:43.121Z,,,0,36.1,,21.7,
2018-01-20T01:15:53.123Z,,,0,,,21.7,
2018-01-20T01:16:03.122Z,,,0,,,21.7,
2018-01-20T01:16:13.121Z,,,0,,,21.7,
2018-01-20T01:16:23.121Z,,,0,,,21.7,
2018-01-20T01:16:33.121Z,,,0,,,21.7,
2018-01-20T01:16:43.121Z,,,0,,,21.7,
2018-01-20T01:16:53.121Z,,,0,,,21.7,
2018-01-20T01:17:03.122Z,,,0,,,21.7,
2018-01-20T01:17:13.125Z,,,0,,,21.7,
2018-01-20T01:17:23.122Z,,,0,,,21.7,
2018-01-20T01:17:33.122Z,,,0,36,,21.7,
2018-01-20T01:17:43.126Z,,,0,,,21.7,
2018-01-20T01:17:53.122Z,,,0,,,21.7,
2018-01-20T01:18:03.181Z,,,0,,,21.6,
2018-01-20T01:18:13.122Z,,,0,,,21.6,
2018-01-20T01:18:23.122Z,,,0,,,21.6,
2018-01-20T01:18:33.298Z,,,0,,,21.6,
2018-01-20T01:18:43.122Z,,,0,,,21.6,
2018-01-20T01:18:53.123Z,,,0,35.9,,21.6,
2018-01-20T01:19:03.121Z,,,0,35.9,,21.6,
2018-01-20T01:19:13.143Z,,,0,35.9,,21.6,
2018-01-20T01:19:23.122Z,,,0,,,21.6,
2018-01-20T01:19:33.124Z,,,0,,,21.6,
2018-01-20T01:19:43.126Z,,,0,,,21.6,
2018-01-20T01:19:53.122Z,,,0,,,21.6,
2018-01-20T01:20:03.122Z,,,0,,,21.6,
2018-01-20T01:20:13.122Z,,,0,,,21.6,
2018-01-20T01:20:23.123Z,,,0,,,21.6,
2018-01-20T01:20:33.122Z,,,0,,,21.6,
2018-01-20T01:20:43.122Z,,,0,35.8,,21.6,
2018-01-20T01:20:53.123Z,,,0,35.9,,21.6,
2018-01-20T01:21:03.121Z,,,0,35.8,,21.6,
2018-01-20T01:21:13.122Z,,,0,,,21.6,
2018-01-20T01:21:23.123Z,,,0,,,21.6,
2018-01-20T01:21:33.122Z,,,0,,,21.6,
