Time,PrimT,HwActive,ChActive,ActPow,HwTOutlet,PrimTSet,HwTSet
2017-11-28T00:41:46.960Z,54.4,0,2,44,32.7,57,0
2017-11-28T00:41:56.956Z,60.2,,,32,32.7,,0
2017-11-28T00:42:06.958Z,57.7,0,2,0,32.7,,0
2017-11-28T00:42:17.040Z,54.9,,,,32.7,,0
2017-11-28T00:42:26.950Z,53.9,,,,32.7,,0
2017-11-28T00:42:36.953Z,53.3,,,,32.8,,0
2017-11-28T00:42:46.961Z,52.9,,,,32.8,,0
2017-11-28T00:42:56.959Z,52.4,,,,32.8,,0
2017-11-28T00:43:06.954Z,52.2,,,,32.8,,0
2017-11-28T00:43:17.071Z,52.1,,,,32.8,,0
2017-11-28T00:43:26.954Z,52.2,,,,32.8,,0
2017-11-28T00:43:36.949Z,52.3,,,,32.8,,0
2017-11-28T00:43:46.965Z,52.2,,,,32.8,,0
2017-11-28T00:43:56.956Z,51.9,,,,32.8,,0
2017-11-28T00:44:06.957Z,51.7,,,,32.8,,0
2017-11-28T00:44:17.145Z,51.3,,,,32.8,,0
2017-11-28T00:44:26.951Z,51.1,,,,32.8,,0
2017-11-28T00:44:36.951Z,51,,,,32.8,,0
2017-11-28T00:44:46.952Z,50.9,,,,32.9,,0
2017-11-28T00:44:56.952Z,50.7,,,,32.9,,0
2017-11-28T00:45:06.954Z,50.5,,,,32.9,,0
2017-11-28T00:45:17.034Z,50.3,,,,32.9,,0
2017-11-28T00:45:26.953Z,50,,,,32.9,,0
2017-11-28T00:45:36.963Z,49.8,,,,32.9,,0
2017-11-28T00:45:46.950Z,49.6,,,,32.9,,0
2017-11-28T00:45:56.975Z,49.4,,,,32.9,,0
2017-11-28T00:46:06.989Z,49.3,,,,32.9,,0
2017-11-28T00:46:17.104Z,49.1,,,,32.9,,0
2017-11-28T00:46:26.975Z,48.9,,,,32.9,,0
2017-11-28T00:46:36.957Z,48.8,,,,32.9,,0
2017-11-28T00:46:46.952Z,49.2,0,2,45,32.9,,0
2017-11-28T00:46:56.958Z,54.1,,,32,32.9,,0
2017-11-28T00:47:06.953Z,54.7,,,30,32.9,,0
2017-11-28T00:47:17.048Z,,,,29,32.9,,0
2017-11-28T00:47:26.951Z,,,,30,32.9,,0
2017-11-28T00:47:36.955Z,,,,,32.9,,0
2017-11-28T00:47:46.960Z,54.6,,,29,32.9,,0
2017-11-28T00:47:56.969Z,,,,30,32.9,,0
2017-11-28T00:48:06.954Z,,,,29,32.9,,0
2017-11-28T00:48:17.430Z,,,,30,32.9,,0
2017-11-28T00:48:26.964Z,54.8,,,29,32.9,,0
2017-11-28T00:48:36.960Z,55,,,30,32.9,,0
2017-11-28T00:48:46.952Z,55.4,,,,32.9,,0
2017-11-28T00:48:57.064Z,55.7,,,,32.9,,0
2017-11-28T00:49:06.955Z,56,,,31,32.9,,0
2017-11-28T00:49:17.331Z,56.2,,,30,32.9,,0
2017-11-28T00:49:26.961Z,56.3,,,,32.9,,0
2017-11-28T00:49:36.951Z,56.5,,,,32.9,,0
2017-11-28T00:49:46.978Z,55.6,0,0,0,32.9,5,0
2017-11-28T00:49:56.958Z,53,0,2,45,32.9,57,0
2017-11-28T00:50:06.951Z,58.4,,,33,32.9,,0
2017-11-28T00:50:17.062Z,56.9,0,0,0,32.9,5,0
2017-11-28T00:50:26.952Z,54.1,0,2,44,32.9,57,0
2017-11-28T00:50:36.953Z,59.4,,,32,32.9,,0
2017-11-28T00:50:47.208Z,59.7,,,29,32.9,,0
2017-11-28T00:50:56.964Z,56.6,0,0,0,32.9,5,0
2017-11-28T00:51:06.954Z,53.7,,,,32.9,,0
2017-11-28T00:51:17.078Z,51.9,,,,33.1,,0
2017-11-28T00:51:26.955Z,51.3,0,2,,33.1,57,0
2017-11-28T00:51:36.963Z,54.4,0,0,0,33.1,5,0
2017-11-28T00:51:46.951Z,51.9,,,,33.1,,0
2017-11-28T00:51:56.955Z,51.5,,,,33.1,,0
2017-11-28T00:52:06.953Z,51.1,,,,33.1,,0
2017-11-28T00:52:17.112Z,51,,,,33.1,,0
2017-11-28T00:52:26.955Z,,,,,33.1,,0
2017-11-28T00:52:36.956Z,51.1,,,,33.1,,0
2017-11-28T00:52:46.971Z,51.2,,,,33.1,,0
2017-11-28T00:52:56.957Z,51.1,,,,33.1,,0
2017-11-28T00:53:06.962Z,50.9,,,,33.1,,0
2017-11-28T00:53:17.486Z,51,0,2,45,33.1,57,0
2017-11-28T00:53:26.956Z,54.8,0,0,0,33.1,5,0
2017-11-28T00:53:36.960Z,51.9,,,,33.1,,0
2017-11-28T00:53:46.953Z,50.9,,,,33.1,,0
2017-11-28T00:53:56.962Z,50.2,,,,33.1,,0
2017-11-28T00:54:06.959Z,49.8,,,,33.1,,0
2017-11-28T00:54:17.655Z,49.6,,,,33.1,,0
2017-11-28T00:54:26.954Z,49.4,,,,33.1,,0
2017-11-28T00:54:36.955Z,49.3,,,,33.1,,0
2017-11-28T00:54:46.955Z,49.2,,,,33.1,,0
2017-11-28T00:54:56.953Z,49.1,,,,33.1,,0
2017-11-28T00:55:06.964Z,,,,,33.1,,0
2017-11-28T00:55:17.315Z,49,,,,33.1,,0
2017-11-28T00:55:26.957Z,48.9,,,,33.1,,0
2017-11-28T00:55:36.967Z,48.8,,,,33.1,,0
2017-11-28T00:55:46.954Z,48.6,,,,33.1,,0
2017-11-28T00:55:56.986Z,48.3,,,,33.1,,0
2017-11-28T00:56:06.954Z,48.1,,,,33.1,,0
2017-11-28T00:56:17.123Z,47.9,,,,33.1,,0
2017-11-28T00:56:26.953Z,47.7,,,,33.1,,0
2017-11-28T00:56:36.953Z,47.6,,,,33.1,,0
2017-11-28T00:56:46.953Z,,,,,33.1,,0
2017-11-28T00:56:56.956Z,47.4,,,,33.1,,0
2017-11-28T00:57:06.953Z,,,,,33.1,,0
2017-11-28T00:57:17.346Z,,,,,33.1,,0
2017-11-28T00:57:26.959Z,47.3,,,,33.1,,0
2017-11-28T00:57:36.976Z,,,,,32.9,,0
2017-11-28T00:57:46.953Z,47.2,,,,32.9,,0
2017-11-28T00:57:56.958Z,,,,,33.1,,0
