Time,PrimTSet,PrimT,HwTOutlet,ActPow,HwActive,ChActive,HwTSet
2017-11-13T01:19:26.513Z,,39.9,23.2,,,,0
2017-11-13T01:19:36.502Z,,39.9,23.2,,,,0
2017-11-13T01:19:46.503Z,,,23.2,,,,0
2017-11-13T01:19:56.582Z,,,23.2,,,,0
2017-11-13T01:20:06.508Z,,,23.2,,,,0
2017-11-13T01:20:16.502Z,,,23.2,,,,0
2017-11-13T01:20:26.506Z,,,23.2,,,,0
2017-11-13T01:20:36.503Z,,,23.2,,,,0
2017-11-13T01:20:46.502Z,,,23.2,,,,0
2017-11-13T01:20:56.592Z,,39.8,23.2,,,,0
2017-11-13T01:21:06.502Z,,,23.2,,,,0
2017-11-13T01:21:16.502Z,,,23.2,,,,0
