Time,HwTOutlet,PrimT,HwTSet,ChActive,ActPow,PrimTSet,HwActive
2018-01-30T00:48:17.269Z,24.3,,0,,,,
2018-01-30T00:48:27.273Z,24.3,,0,,,,
2018-01-30T00:48:37.269Z,24.3,,0,,,,
2018-01-30T00:48:47.364Z,24.3,,0,,,,
2018-01-30T00:48:57.269Z,24.3,,0,,,,
2018-01-30T00:49:07.272Z,24.3,40.8,0,,,,
2018-01-30T00:49:17.272Z,24.3,,0,,,,
2018-01-30T00:49:27.270Z,24.2,,0,,,,
2018-01-30T00:49:37.269Z,24.2,,0,,,,
2018-01-30T00:49:47.359Z,24.2,,0,,,,
2018-01-30T00:49:57.269Z,24.2,,0,,,,
2018-01-30T00:50:07.269Z,24.2,,0,,,,
2018-01-30T00:50:17.271Z,24.2,,0,,,,
2018-01-30T00:50:27.275Z,24.2,40.7,0,,,,
2018-01-30T00:50:37.269Z,24.2,,0,,,,
2018-01-30T00:50:47.361Z,24.2,,0,,,,
2018-01-30T00:50:57.269Z,24.2,,0,,,,
2018-01-30T00:51:07.273Z,24.2,,0,,,,
2018-01-30T00:51:17.269Z,24.2,,0,,,,
2018-01-30T00:51:27.444Z,24,,0,,,,
2018-01-30T00:51:37.270Z,24,,0,,,,
2018-01-30T00:51:47.360Z,24,40.6,0,,,,
2018-01-30T00:51:57.274Z,24,,0,,,,
2018-01-30T00:52:07.270Z,24,,0,,,,
2018-01-30T00:52:17.273Z,24,,0,,,,
2018-01-30T00:52:27.271Z,24,,0,,,,
2018-01-30T00:52:37.274Z,24,,0,,,,
2018-01-30T00:52:47.360Z,24,,0,,,,
2018-01-30T00:52:57.269Z,24,,0,,,,
2018-01-30T00:53:07.276Z,24,,0,,,,
2018-01-30T00:53:17.269Z,24,,0,,,,
2018-01-30T00:53:27.273Z,24,40.5,0,,,,
2018-01-30T00:53:37.271Z,23.9,,0,,,,
2018-01-30T00:53:47.362Z,23.9,,0,,,,
2018-01-30T00:53:57.270Z,23.9,,0,,,,
2018-01-30T00:54:07.274Z,23.9,,0,,,,
