Time,HwTSet,ChActive,HwTOutlet,ActPow,HwActive,PrimT,PrimTSet
2017-12-14T01:01:08.465Z,0,,23.4,,,,
2017-12-14T01:01:28.465Z,0,,23.4,,,,
2017-12-14T01:01:38.464Z,0,,23.3,,,43.7,
2017-12-14T01:01:48.555Z,0,,23.3,,,,
2017-12-14T01:01:58.466Z,0,,23.3,,,,
2017-12-14T01:02:08.467Z,0,,23.3,,,,
2017-12-14T01:02:18.478Z,0,,23.3,,,,
2017-12-14T01:02:28.466Z,0,,23.3,,,,
2017-12-14T01:02:38.498Z,0,,23.2,,,,
2017-12-14T01:02:48.555Z,0,,23.2,,,43.6,
2017-12-14T01:02:58.465Z,0,,23.2,,,,
2017-12-14T01:03:08.476Z,0,,23.3,,,,
2017-12-14T01:03:28.466Z,0,,23.3,,,,
2017-12-14T01:03:38.466Z,0,,23.3,,,43.5,
2017-12-14T01:03:48.607Z,0,,23.3,,,,
2017-12-14T01:03:58.465Z,0,,23.2,,,,
2017-12-14T01:04:08.468Z,0,,23.2,,,,
2017-12-14T01:04:28.467Z,0,,23.2,,,,
2017-12-14T01:04:38.467Z,0,,23.2,,,,
2017-12-14T01:04:48.558Z,,,,,,43.4,
2017-12-14T01:04:58.466Z,0,,23.2,,,,
2017-12-14T01:05:08.468Z,0,,23.2,,,,
2017-12-14T01:05:28.465Z,0,,23.2,,,,
2017-12-14T01:05:38.466Z,0,,23.2,,,,
2017-12-14T01:05:48.549Z,0,,23.2,,,43.3,
2017-12-14T01:05:58.466Z,0,,23.1,,,,
2017-12-14T01:06:08.468Z,0,,23.1,,,,
2017-12-14T01:06:28.475Z,0,,23.1,,,,
2017-12-14T01:06:48.546Z,0,,23.1,,,,
2017-12-14T01:06:58.468Z,0,,23.1,,,,
2017-12-14T01:07:08.471Z,,,,,,43.2,
2017-12-14T01:07:18.469Z,0,,23.1,,,,
2017-12-14T01:07:38.468Z,0,,23.1,,,,
2017-12-14T01:07:48.558Z,0,,23,,,,
2017-12-14T01:07:58.631Z,0,,23,,,,
2017-12-14T01:08:18.466Z,0,,23,,,43.1,
2017-12-14T01:08:28.469Z,0,,23,,,,
2017-12-14T01:08:48.546Z,0,,23,,,,
2017-12-14T01:08:58.470Z,0,,23,,,,
2017-12-14T01:09:08.466Z,0,,23,,,,
2017-12-14T01:09:18.471Z,,,,,,43,
2017-12-14T01:09:28.466Z,0,,22.8,,,,
2017-12-14T01:09:38.469Z,0,,22.8,,,,
2017-12-14T01:09:58.468Z,0,,22.8,,,,
2017-12-14T01:10:08.473Z,0,,22.8,,,,
2017-12-14T01:10:28.472Z,0,,22.8,,,43,
2017-12-14T01:10:38.470Z,0,,22.8,,,42.9,
2017-12-14T01:10:48.559Z,0,,22.7,,,,
2017-12-14T01:11:08.466Z,0,,22.7,,,,
2017-12-14T01:11:28.466Z,0,,22.7,,,,
2017-12-14T01:11:38.466Z,0,,22.7,,,,
2017-12-14T01:11:48.547Z,,,,,,42.8,
2017-12-14T01:11:58.466Z,0,,22.7,,,,
2017-12-14T01:12:08.467Z,0,,22.7,,,,
2017-12-14T01:12:28.467Z,0,,22.6,,,,
2017-12-14T01:12:38.469Z,0,,22.6,,,,
2017-12-14T01:12:58.467Z,0,,22.6,,,,
2017-12-14T01:13:08.466Z,,,,,,42.7,
2017-12-14T01:13:18.468Z,0,,22.6,,,,
2017-12-14T01:13:28.466Z,0,,22.6,,,,
2017-12-14T01:13:38.467Z,0,,22.6,,,,
2017-12-14T01:13:58.468Z,0,,22.5,,,,
2017-12-14T01:14:08.467Z,0,,22.5,,,42.6,
2017-12-14T01:14:28.467Z,0,,22.5,,,,
2017-12-14T01:14:48.557Z,0,,22.5,,,,
2017-12-14T01:14:58.467Z,0,,22.5,,,,
2017-12-14T01:15:08.472Z,0,,22.5,,,,
2017-12-14T01:15:18.473Z,,,,,,42.4,
2017-12-14T01:15:28.467Z,0,,22.4,,,,
2017-12-14T01:15:38.468Z,0,,22.4,,,,
2017-12-14T01:15:48.547Z,0,,22.4,,,,
2017-12-14T01:15:58.467Z,0,,22.4,,,,
2017-12-14T01:16:08.467Z,0,,22.4,,,,
2017-12-14T01:16:18.467Z,0,,22.4,,,42.3,
2017-12-14T01:16:28.467Z,0,,22.4,,,,
2017-12-14T01:16:48.547Z,0,,22.4,,,,
2017-12-14T01:16:58.469Z,0,,22.4,,,,
2017-12-14T01:17:18.468Z,0,,22.2,,,,
