Time,HwTSet,ActPow,PrimT,ChActive,HwTOutlet,PrimTSet,HwActive
2018-01-19T00:55:58.899Z,0,,,,22.2,,
2018-01-19T00:56:08.899Z,0,,,,22.2,,
2018-01-19T00:56:18.902Z,0,,,,22.2,,
2018-01-19T00:56:29.105Z,0,,,,22.2,,
2018-01-19T00:56:38.899Z,0,,,,22.2,,
2018-01-19T00:56:48.899Z,0,,38.2,,22.2,,
2018-01-19T00:56:58.899Z,0,,,,22.2,,
2018-01-19T00:57:08.899Z,0,,,,22.2,,
2018-01-19T00:57:18.900Z,0,,,,22.2,,
2018-01-19T00:57:28.899Z,0,,,,22.2,,
2018-01-19T00:57:38.899Z,0,,,,22.2,,
2018-01-19T00:57:48.899Z,0,,,,22.2,,
2018-01-19T00:57:58.901Z,0,,,,22.2,,
2018-01-19T00:58:08.899Z,0,,,,22.1,,
2018-01-19T00:58:18.899Z,0,,,,22.1,,
2018-01-19T00:58:28.899Z,0,,38.1,,22.1,,
2018-01-19T00:58:38.899Z,0,,,,22.1,,
2018-01-19T00:58:48.900Z,0,,,,22.1,,
2018-01-19T00:58:58.899Z,0,,,,22.1,,
2018-01-19T00:59:08.899Z,0,,,,22.1,,
2018-01-19T00:59:18.899Z,0,,,,22.1,,
2018-01-19T00:59:28.899Z,0,,,,22.1,,
2018-01-19T00:59:38.899Z,0,,,,22.1,,
2018-01-19T00:59:48.899Z,0,,,,22.1,,
2018-01-19T00:59:58.899Z,0,,38,,22.1,,
2018-01-19T01:00:08.899Z,0,,,,22.1,,
2018-01-19T01:00:18.899Z,0,,,,22.1,,
2018-01-19T01:00:28.899Z,0,,,,22.1,,
2018-01-19T01:00:38.900Z,0,,,,22.1,,
2018-01-19T01:00:48.900Z,0,,,,22.1,,
2018-01-19T01:00:58.902Z,0,,,,22.1,,
2018-01-19T01:01:08.900Z,0,,,,22.1,,
2018-01-19T01:01:19.094Z,0,,,,22.1,,
2018-01-19T01:01:28.899Z,0,,37.9,,22.1,,
2018-01-19T01:01:38.904Z,0,,,,22.1,,
2018-01-19T01:01:48.899Z,0,,,,22.1,,
2018-01-19T01:01:58.900Z,0,,,,22,,
2018-01-19T01:02:08.900Z,0,,,,22,,
2018-01-19T01:02:18.902Z,0,,,,22,,
2018-01-19T01:02:28.900Z,0,,,,22,,
2018-01-19T01:02:38.904Z,0,,,,22,,
2018-01-19T01:02:48.899Z,0,,,,22,,
2018-01-19T01:02:58.900Z,0,,,,22,,
2018-01-19T01:03:08.899Z,0,,37.8,,22,,
2018-01-19T01:03:18.900Z,0,,,,22,,
2018-01-19T01:03:28.900Z,0,,,,22,,
2018-01-19T01:03:38.900Z,0,,,,22,,
2018-01-19T01:03:48.900Z,0,,,,22,,
2018-01-19T01:03:58.900Z,0,,,,22,,
2018-01-19T01:04:08.900Z,0,,,,22,,
2018-01-19T01:04:18.904Z,0,,,,22,,
2018-01-19T01:04:28.900Z,0,,,,22,,
2018-01-19T01:04:38.900Z,0,,,,22,,
2018-01-19T01:04:48.900Z,0,,,,22,,
2018-01-19T01:04:58.901Z,0,,37.7,,22,,
2018-01-19T01:05:08.907Z,0,,,,22,,
2018-01-19T01:05:18.900Z,0,,,,22,,
2018-01-19T01:05:28.900Z,0,,,,22,,
2018-01-19T01:05:38.900Z,0,,,,22,,
2018-01-19T01:05:48.900Z,0,,,,21.9,,
2018-01-19T01:05:58.905Z,0,,,,21.9,,
2018-01-19T01:06:08.900Z,0,,,,21.9,,
2018-01-19T01:06:18.905Z,0,,37.6,,21.9,,
2018-01-19T01:06:28.901Z,0,,,,21.9,,
2018-01-19T01:06:38.900Z,0,,,,21.9,,
2018-01-19T01:06:48.900Z,0,,,,21.9,,
2018-01-19T01:06:58.900Z,0,,,,21.9,,
2018-01-19T01:07:08.903Z,0,,,,21.9,,
2018-01-19T01:07:18.900Z,0,,,,21.9,,
2018-01-19T01:07:28.900Z,0,,,,21.9,,
2018-01-19T01:07:38.905Z,0,,,,21.9,,
2018-01-19T01:07:48.900Z,0,,,,21.9,,
2018-01-19T01:07:58.900Z,0,,,,21.9,,
2018-01-19T01:08:08.901Z,0,,,,21.9,,
2018-01-19T01:08:18.905Z,0,,37.5,,21.9,,
2018-01-19T01:08:28.901Z,0,,,,21.9,,
2018-01-19T01:08:38.900Z,0,,,,21.9,,
2018-01-19T01:08:48.900Z,0,,,,21.9,,
2018-01-19T01:08:58.900Z,0,,,,21.9,,
2018-01-19T01:09:08.900Z,0,,,,21.9,,
2018-01-19T01:09:18.904Z,0,,,,21.9,,
2018-01-19T01:09:28.900Z,0,,,,21.9,,
2018-01-19T01:09:38.901Z,0,,,,21.7,,
2018-01-19T01:09:48.901Z,0,,37.4,,21.9,,
2018-01-19T01:09:58.906Z,0,,,,21.7,,
2018-01-19T01:10:08.901Z,0,,,,21.7,,
2018-01-19T01:10:18.901Z,0,,,,21.7,,
2018-01-19T01:10:28.905Z,0,,,,21.7,,
2018-01-19T01:10:38.901Z,0,,,,21.7,,
2018-01-19T01:10:48.901Z,0,,,,21.7,,
2018-01-19T01:10:58.905Z,0,,,,21.7,,
2018-01-19T01:11:08.904Z,0,,,,21.7,,
2018-01-19T01:11:18.901Z,0,,,,21.7,,
