Time,HwTSet,HwActive,PrimTSet,ChActive,PrimT,ActPow,HwTOutlet
2017-11-02T00:53:22.076Z,0,,,,47.9,,32.8
2017-11-02T00:53:32.080Z,0,,,,47.1,,32.7
2017-11-02T00:53:42.075Z,0,,,,47,,32.7
2017-11-02T00:53:52.076Z,0,,,,,,32.7
2017-11-02T00:54:02.083Z,0,,,,46.9,,32.7
2017-11-02T00:54:12.078Z,0,0,5,0,46.7,,32.7
2017-11-02T00:54:22.075Z,0,0,54,2,46.6,,32.7
2017-11-02T00:54:32.076Z,0,0,54,2,51.2,39,32.7
2017-11-02T00:54:42.088Z,0,,,,56.6,29,32.7
2017-11-02T00:54:52.075Z,0,,,,56.2,30,32.7
2017-11-02T00:55:02.075Z,0,,,,56.8,29,32.7
2017-11-02T00:55:12.076Z,0,,,,56.5,,32.7
2017-11-02T00:55:22.076Z,0,,,,56.7,,32.7
2017-11-02T00:55:32.079Z,0,,,,56.6,,32.7
2017-11-02T00:55:42.077Z,0,,,,56.7,,32.6
2017-11-02T00:55:52.078Z,0,,,,,30,32.6
2017-11-02T00:56:02.079Z,0,,,,56.6,,32.6
2017-11-02T00:56:12.075Z,0,,,,56.4,29,32.6
2017-11-02T00:56:22.077Z,0,,,,,30,32.6
2017-11-02T00:56:32.080Z,0,,,,56.6,,32.6
2017-11-02T00:56:42.080Z,0,,,,57,29,32.6
2017-11-02T00:56:52.189Z,0,,,,57.2,,32.6
2017-11-02T00:57:02.077Z,0,,,,57.6,,32.6
2017-11-02T00:57:12.075Z,0,0,,2,56.9,0,32.6
2017-11-02T00:57:22.075Z,0,,,,52.9,,32.6
2017-11-02T00:57:32.077Z,0,,,,51.6,,32.6
2017-11-02T00:57:42.077Z,0,,,,50.9,,32.6
2017-11-02T00:57:52.076Z,0,,,,50.7,,32.5
2017-11-02T00:58:02.076Z,0,,,,,,32.6
2017-11-02T00:58:12.075Z,0,,,,51,,32.6
2017-11-02T00:58:22.075Z,0,,,,51.1,,32.6
2017-11-02T00:58:32.079Z,0,,,,51.2,,32.6
2017-11-02T00:58:42.079Z,0,,,,51.3,,32.6
2017-11-02T00:58:52.187Z,0,,,,51.5,,32.6
2017-11-02T00:59:02.076Z,0,,,,,,32.6
2017-11-02T00:59:12.076Z,0,,,,51.4,,32.6
2017-11-02T00:59:22.076Z,0,,,,51.1,,32.6
2017-11-02T00:59:32.185Z,0,,,,50.7,,32.6
2017-11-02T00:59:42.076Z,0,,,,50.4,,32.6
2017-11-02T00:59:52.078Z,0,,,,50.2,,32.6
2017-11-02T01:00:02.081Z,0,,,,50,,32.6
2017-11-02T01:00:12.079Z,0,,59,,49.7,,32.6
2017-11-02T01:00:22.077Z,0,0,,2,54.3,39,32.6
2017-11-02T01:00:32.076Z,0,,,,57.2,29,32.6
2017-11-02T01:00:42.077Z,0,,,,57.8,30,32.6
2017-11-02T01:00:52.081Z,0,,,,58,,32.6
2017-11-02T01:01:02.080Z,0,,,,,,32.6
2017-11-02T01:01:12.080Z,0,,,,58.2,29,32.6
2017-11-02T01:01:22.077Z,0,,,,,30,32.6
2017-11-02T01:01:32.080Z,0,,,,58,29,32.6
2017-11-02T01:01:42.080Z,0,,,,58.1,,32.6
2017-11-02T01:01:52.076Z,0,,,,58.2,30,32.6
2017-11-02T01:02:02.080Z,0,,,,58.1,29,32.6
2017-11-02T01:02:12.081Z,0,,,,,,32.6
2017-11-02T01:02:22.077Z,0,,,,58.4,30,32.6
2017-11-02T01:02:32.076Z,0,,,,58.8,29,32.6
2017-11-02T01:02:42.082Z,0,,,,59.1,,32.6
2017-11-02T01:02:52.077Z,0,,,,59.5,30,32.6
2017-11-02T01:03:02.077Z,0,,,,59.7,29,32.6
2017-11-02T01:03:12.081Z,0,,,,60,,32.6
2017-11-02T01:03:22.382Z,0,,,,60.5,30,32.6
2017-11-02T01:03:32.077Z,0,,,,61.1,29,32.6
2017-11-02T01:03:42.077Z,0,,,,61.3,,32.6
2017-11-02T01:03:52.079Z,0,,,,61.6,30,32.6
2017-11-02T01:04:02.077Z,0,,,,62,29,32.6
2017-11-02T01:04:12.325Z,0,,,,62.2,30,32.6
2017-11-02T01:04:27.643Z,0,,,,62.5,,32.7
2017-11-02T01:04:32.077Z,0,,,,62.6,,32.7
2017-11-02T01:04:42.077Z,0,,,,62.7,29,32.7
2017-11-02T01:04:52.083Z,0,,,,63.1,,32.7
2017-11-02T01:05:02.082Z,0,0,,2,59.8,0,32.7
2017-11-02T01:05:12.078Z,0,,,,56.8,,32.7
2017-11-02T01:05:22.077Z,0,,,,55.9,,32.7
2017-11-02T01:05:32.079Z,0,,,,55.2,,32.7
2017-11-02T01:05:42.078Z,0,,,,54.9,,32.7
2017-11-02T01:05:52.083Z,0,,,,55,,32.7
2017-11-02T01:06:02.079Z,0,,,,,,32.8
2017-11-02T01:06:12.077Z,0,,,,55.2,,32.8
2017-11-02T01:06:22.078Z,0,,,,55.3,,32.8
2017-11-02T01:06:32.078Z,0,,,,55.5,,32.8
2017-11-02T01:06:42.325Z,0,,,,55.7,,32.8
2017-11-02T01:06:52.077Z,0,,,,,,32.8
2017-11-02T01:07:02.077Z,0,,,,55.5,,32.8
2017-11-02T01:07:12.079Z,0,,,,55.1,,32.8
2017-11-02T01:07:22.079Z,0,,,,54.8,,32.9
2017-11-02T01:07:32.081Z,0,,,,54.5,,32.9
2017-11-02T01:07:42.077Z,0,,,,54.1,,32.9
2017-11-02T01:07:52.082Z,0,,,,53.9,,32.9
2017-11-02T01:08:02.122Z,0,,,,53.6,,32.9
2017-11-02T01:08:12.078Z,0,,,,53.3,,32.9
2017-11-02T01:08:22.081Z,0,,,,52.9,,32.9
2017-11-02T01:08:32.080Z,0,0,,2,56.7,39,32.9
2017-11-02T01:08:42.089Z,0,,,,60,29,32.9
2017-11-02T01:08:52.078Z,0,,,,60.5,,32.9
2017-11-02T01:09:02.078Z,0,,,,60.9,,32.9
2017-11-02T01:09:12.082Z,0,0,5,0,60.9,0,32.9
2017-11-02T01:09:22.078Z,0,0,59,2,56.3,,32.9
2017-11-02T01:09:32.078Z,0,,,,60.2,36,33.1
2017-11-02T01:09:42.079Z,0,0,,2,62.9,0,33.1
2017-11-02T01:09:52.078Z,0,,,,56.8,,33.1
2017-11-02T01:10:02.324Z,0,,,,53.8,,33.1
2017-11-02T01:10:12.078Z,0,,,,52.8,,33.1
2017-11-02T01:10:22.080Z,0,,,,51.9,,33.1
2017-11-02T01:10:32.078Z,0,0,5,0,51.8,,33.1
2017-11-02T01:10:42.081Z,0,0,59,2,51.9,,33.1
2017-11-02T01:10:52.081Z,0,,,,57.6,36,33.1
2017-11-02T01:11:02.081Z,0,,,,61.4,30,33.1
2017-11-02T01:11:12.080Z,0,0,5,0,60.8,0,33.1
2017-11-02T01:11:22.079Z,0,,,,56.6,,33.1
2017-11-02T01:11:32.078Z,0,,,,54.9,,33.1
2017-11-02T01:11:42.078Z,0,,,,54.3,,33.1
2017-11-02T01:11:52.084Z,0,0,59,2,53.5,,33.1
2017-11-02T01:12:02.080Z,0,,,,58.6,36,33.2
2017-11-02T01:12:12.082Z,0,,,,62.2,29,33.2
2017-11-02T01:12:22.087Z,0,0,5,0,60.7,0,33.2
2017-11-02T01:12:32.079Z,0,0,59,2,56.2,,33.2
2017-11-02T01:12:42.079Z,0,,,,60.4,36,33.2
2017-11-02T01:12:52.078Z,0,0,5,0,62.7,0,33.2
2017-11-02T01:13:02.079Z,0,,,,57.8,,33.2
2017-11-02T01:13:12.083Z,0,,,,55.4,,33.2
2017-11-02T01:13:22.089Z,0,0,59,2,53.7,,33.2
2017-11-02T01:13:32.079Z,0,0,,2,56.6,39,33.2
