Time,ChActive,HwTSet,HwTOutlet,PrimTSet,HwActive,ActPow,PrimT
2017-12-08T10:30:47.315Z,,0,21.1,,,,
2017-12-08T10:30:57.314Z,,0,21.1,,,,
2017-12-08T10:31:07.334Z,,0,21.1,,,,
2017-12-08T10:31:17.327Z,,0,21.1,,,,20.1
2017-12-08T10:31:27.334Z,,0,21.1,,,,
2017-12-08T10:31:37.368Z,,0,21.1,,,,
2017-12-08T10:31:47.335Z,,0,21.1,,,,
2017-12-08T10:31:57.314Z,,0,21.1,,,,
2017-12-08T10:32:07.314Z,,0,21.1,,,,
2017-12-08T10:32:17.319Z,,0,21.1,,,,
2017-12-08T10:32:27.314Z,,0,21.1,,,,
2017-12-08T10:32:37.317Z,,0,21.1,,,,
2017-12-08T10:32:47.317Z,,0,21.1,,,,
2017-12-08T10:32:57.320Z,,0,21.1,,,,
2017-12-08T10:33:07.313Z,,0,21.1,,,,
2017-12-08T10:33:17.313Z,,0,21.1,,,,
2017-12-08T10:33:27.326Z,,0,21.1,,,,
2017-12-08T10:33:37.314Z,,0,21.1,,,,
2017-12-08T10:33:47.320Z,,0,21.1,,,,
2017-12-08T10:33:57.316Z,,0,20.9,,,,
2017-12-08T10:34:07.315Z,,0,20.9,,,,
2017-12-08T10:34:17.325Z,,0,20.9,,,,
2017-12-08T10:34:27.321Z,,0,20.9,,,,
2017-12-08T10:34:37.328Z,,0,20.9,,,,
2017-12-08T10:34:47.321Z,,0,20.9,,,,
2017-12-08T10:34:57.315Z,,0,20.9,,,,
2017-12-08T10:35:07.329Z,,0,20.9,,,,
2017-12-08T10:35:17.323Z,,0,20.9,,,,
2017-12-08T10:35:27.320Z,,0,20.9,,,,20.2
2017-12-08T10:35:37.316Z,,0,20.9,,,,20.1
2017-12-08T10:35:47.320Z,,0,20.9,,,,20.2
2017-12-08T10:35:57.370Z,,0,20.9,,,,20.1
2017-12-08T10:36:07.314Z,,0,20.9,,,,
2017-12-08T10:36:17.370Z,,0,20.8,,,,
2017-12-08T10:36:27.320Z,,0,20.9,,,,
2017-12-08T10:36:37.316Z,,0,20.8,,,,
2017-12-08T10:36:47.315Z,,0,20.8,,,,
2017-12-08T10:36:57.319Z,,0,20.8,,,,
2017-12-08T10:37:07.325Z,,0,20.8,,,,20.2
2017-12-08T10:37:17.332Z,,0,20.8,,,,
2017-12-08T10:37:27.391Z,,0,20.8,,,,20.1
2017-12-08T10:37:37.327Z,,0,20.8,,,,
2017-12-08T10:37:47.321Z,,0,20.8,,,,
2017-12-08T10:37:57.323Z,,0,20.8,,,,
2017-12-08T10:38:07.326Z,,0,20.8,,,,
2017-12-08T10:38:17.320Z,,0,20.8,,,,
2017-12-08T10:38:27.315Z,,0,20.8,,,,19.9
2017-12-08T10:38:37.315Z,,0,20.8,,,,
2017-12-08T10:38:47.315Z,,0,20.8,,,,
2017-12-08T10:38:57.315Z,,0,20.8,,,,
2017-12-08T10:39:07.314Z,,0,20.8,,,,19.7
2017-12-08T10:39:17.314Z,,0,20.8,,,,
2017-12-08T10:39:27.315Z,,0,20.8,,,,
2017-12-08T10:39:37.318Z,,0,20.8,,,,
2017-12-08T10:39:47.315Z,,0,20.8,,,,
2017-12-08T10:39:57.314Z,,0,20.6,,,,
2017-12-08T10:40:07.317Z,,0,20.6,,,,
2017-12-08T10:40:17.323Z,,0,20.6,,,,
2017-12-08T10:40:27.315Z,,0,20.6,,,,
2017-12-08T10:40:37.319Z,,0,20.6,,,,
2017-12-08T10:40:47.314Z,,0,20.6,,,,
2017-12-08T10:40:57.315Z,,0,20.6,,,,
2017-12-08T10:41:07.316Z,,0,20.6,,,,19.6
2017-12-08T10:41:17.317Z,,0,20.6,,,,
2017-12-08T10:41:27.316Z,,0,20.6,,,,
2017-12-08T10:41:37.315Z,,0,20.6,,,,
2017-12-08T10:41:47.354Z,,0,20.6,,,,
2017-12-08T10:41:57.331Z,,0,20.6,,,,
2017-12-08T10:42:07.314Z,,0,20.6,,,,
2017-12-08T10:42:17.315Z,,0,20.6,,,,
2017-12-08T10:42:27.315Z,,0,20.6,,,,
2017-12-08T10:42:37.320Z,,0,20.6,,,,
2017-12-08T10:42:47.318Z,,0,20.6,,,,
2017-12-08T10:42:57.321Z,,0,20.6,,,,
2017-12-08T10:43:07.317Z,,0,20.6,,,,
2017-12-08T10:43:17.315Z,,0,20.6,,,,
2017-12-08T10:43:27.315Z,,0,20.6,,,,
2017-12-08T10:43:37.373Z,,0,20.6,,,,
2017-12-08T10:43:47.319Z,,0,20.5,,,,
2017-12-08T10:43:57.349Z,,0,20.6,,,,
2017-12-08T10:44:07.373Z,,0,20.5,,,,
2017-12-08T10:44:17.323Z,,0,20.5,,,,
2017-12-08T10:44:27.331Z,,0,20.5,,,,
2017-12-08T10:44:37.334Z,,0,20.5,,,,
2017-12-08T10:44:47.316Z,,0,20.5,,,,
2017-12-08T10:44:57.315Z,,0,20.5,,,,
2017-12-08T10:45:07.318Z,,0,20.5,,,,
2017-12-08T10:45:17.315Z,,0,20.5,,,,
2017-12-08T10:45:27.315Z,,0,20.5,,,,
2017-12-08T10:45:37.315Z,,0,20.5,,,,
2017-12-08T10:45:47.316Z,,0,20.5,,,,
