Time,PrimT,ChActive,HwTOutlet,PrimTSet,HwActive,HwTSet,ActPow
2017-11-27T01:07:36.727Z,42.2,,30.8,,,0,
2017-11-27T01:07:46.725Z,42,,30.8,,,0,
2017-11-27T01:07:56.727Z,42.1,1,30.8,,0,0,45
2017-11-27T01:08:06.730Z,47.6,,30.8,,,0,35
2017-11-27T01:08:16.726Z,49,,30.8,,,0,29
2017-11-27T01:08:26.726Z,49.4,,30.8,,,0,30
2017-11-27T01:08:36.727Z,49.6,,30.8,,,0,29
2017-11-27T01:08:46.726Z,,,30.8,,,0,30
2017-11-27T01:08:56.726Z,,,30.8,,,0,29
2017-11-27T01:09:06.727Z,,,30.8,,,0,
2017-11-27T01:09:16.726Z,,,30.8,,,0,30
2017-11-27T01:09:26.726Z,49.5,,30.8,,,0,29
2017-11-27T01:09:36.726Z,,,30.8,,,0,30
2017-11-27T01:09:46.725Z,49.7,,30.7,,,0,29
2017-11-27T01:09:56.726Z,50.1,,30.7,,,0,
2017-11-27T01:10:07.023Z,50.5,,30.7,,,0,30
2017-11-27T01:10:16.730Z,50.9,,30.7,,,0,
2017-11-27T01:10:26.726Z,51,,30.7,,,0,29
2017-11-27T01:10:36.725Z,51.1,,30.7,,,0,30
2017-11-27T01:10:46.992Z,50.9,,30.7,,,0,
2017-11-27T01:10:56.726Z,51.1,,30.7,,,0,29
2017-11-27T01:11:06.728Z,51.3,,30.7,,,0,30
2017-11-27T01:11:16.730Z,51.6,,30.7,,,0,29
2017-11-27T01:11:26.726Z,51.9,,30.7,,,0,
2017-11-27T01:11:36.726Z,49.8,1,30.7,,0,0,0
2017-11-27T01:11:46.730Z,47.7,,30.7,,,0,
2017-11-27T01:11:56.734Z,46.6,,30.8,,,0,
2017-11-27T01:12:06.728Z,46.2,,30.7,,,0,
2017-11-27T01:12:16.732Z,46,,30.8,,,0,
2017-11-27T01:12:26.726Z,,,30.7,,,0,
2017-11-27T01:12:36.729Z,,,30.8,,,0,
2017-11-27T01:12:46.730Z,46.1,,30.8,,,0,
2017-11-27T01:12:56.726Z,46.2,,30.8,,,0,
2017-11-27T01:13:06.726Z,,,30.8,,,0,
2017-11-27T01:13:16.727Z,,,30.8,,,0,
2017-11-27T01:13:26.726Z,45.9,,30.8,,,0,
2017-11-27T01:13:36.727Z,45.7,,30.8,,,0,
2017-11-27T01:13:46.729Z,45.4,,30.8,,,0,
2017-11-27T01:13:56.738Z,45.1,,30.8,,,0,
2017-11-27T01:14:06.728Z,44.9,,30.8,,,0,
2017-11-27T01:14:16.728Z,44.7,,30.8,,,0,
2017-11-27T01:14:26.726Z,44.6,,30.8,,,0,
2017-11-27T01:14:36.729Z,44.4,,30.8,,,0,
