Time,HwActive,PrimT,ActPow,HwTSet,HwTOutlet,ChActive,PrimTSet
2017-11-08T00:54:08.408Z,,,,0,23.6,,
2017-11-08T00:54:18.410Z,,,,0,23.6,,
2017-11-08T00:54:28.597Z,,,,0,23.6,,
2017-11-08T00:54:38.412Z,,,,0,23.6,,
2017-11-08T00:54:48.411Z,,,,0,23.6,,
2017-11-08T00:54:58.408Z,,,,0,23.6,,
2017-11-08T00:55:08.512Z,,,,0,23.6,,
2017-11-08T00:55:18.412Z,,39.2,,0,23.6,,
2017-11-08T00:55:28.498Z,,,,0,23.6,,
2017-11-08T00:55:38.409Z,,,,0,23.6,,
2017-11-08T00:55:48.692Z,,,,0,23.4,,
2017-11-08T00:55:58.408Z,,,,0,23.4,,
2017-11-08T00:56:08.408Z,,,,0,23.4,,
2017-11-08T00:56:18.407Z,,,,0,23.4,,
2017-11-08T00:56:28.491Z,,,,0,23.4,,
2017-11-08T00:56:38.410Z,,,,0,23.4,,
2017-11-08T00:56:48.408Z,,,,0,23.4,,
2017-11-08T00:56:58.407Z,,39.1,,0,23.4,,
2017-11-08T00:57:08.408Z,,,,0,23.4,,
2017-11-08T00:57:18.409Z,,,,0,23.4,,
2017-11-08T00:57:28.487Z,,,,0,23.4,,
2017-11-08T00:57:38.408Z,,,,0,23.4,,
2017-11-08T00:57:48.408Z,,,,0,23.4,,
2017-11-08T00:57:58.409Z,,,,0,23.4,,
2017-11-08T00:58:08.409Z,,,,0,23.4,,
2017-11-08T00:58:18.410Z,,,,0,23.4,,
2017-11-08T00:58:28.845Z,,39.1,,0,23.4,,
2017-11-08T00:58:43.521Z,,38.9,,0,23.3,,
2017-11-08T00:58:48.410Z,,,,0,23.3,,
2017-11-08T00:58:58.411Z,,,,0,23.3,,
2017-11-08T00:59:08.408Z,,,,0,23.3,,
2017-11-08T00:59:18.410Z,,,,0,23.3,,
2017-11-08T00:59:28.569Z,,,,0,23.3,,
2017-11-08T00:59:38.411Z,,,,0,23.3,,
2017-11-08T00:59:48.408Z,,,,0,23.3,,
2017-11-08T00:59:58.409Z,,,,0,23.3,,
2017-11-08T01:00:08.410Z,,38.8,,0,23.3,,
2017-11-08T01:00:18.409Z,,,,0,23.3,,
2017-11-08T01:00:28.619Z,,,,0,23.3,,
2017-11-08T01:00:38.409Z,,,,0,23.3,,
2017-11-08T01:00:48.409Z,,,,0,23.3,,
2017-11-08T01:00:58.409Z,,,,0,23.3,,
2017-11-08T01:01:08.408Z,,,,0,23.3,,
2017-11-08T01:01:18.410Z,,,,0,23.3,,
2017-11-08T01:01:28.590Z,,,,0,23.3,,
2017-11-08T01:01:38.410Z,,,,0,23.2,,
2017-11-08T01:01:48.409Z,,38.7,,0,23.2,,
2017-11-08T01:01:58.408Z,,,,0,23.2,,
2017-11-08T01:02:08.408Z,,,,0,23.2,,
2017-11-08T01:02:18.409Z,,,,0,23.2,,
2017-11-08T01:02:28.611Z,,,,0,23.2,,
2017-11-08T01:02:38.410Z,,,,0,23.2,,
2017-11-08T01:02:48.409Z,,,,0,23.2,,
2017-11-08T01:02:58.408Z,,,,0,23.2,,
2017-11-08T01:03:08.408Z,,,,0,23.2,,
2017-11-08T01:03:18.409Z,,,,0,23.2,,
2017-11-08T01:03:28.612Z,,38.6,,0,23.2,,
2017-11-08T01:03:38.409Z,,,,0,23.2,,
2017-11-08T01:03:48.412Z,,,,0,23.2,,
2017-11-08T01:03:58.413Z,0,38.6,0,0,23.2,0,5
2017-11-08T01:04:08.409Z,,,,0,23.2,,
2017-11-08T01:04:18.409Z,,,,0,23.2,,
2017-11-08T01:04:28.611Z,,,,0,23.2,,
2017-11-08T01:04:38.409Z,,,,0,23.2,,
2017-11-08T01:04:48.409Z,,,,0,23.2,,
2017-11-08T01:04:58.409Z,,38.5,,0,23.1,,
2017-11-08T01:05:08.410Z,,,,0,23.2,,
2017-11-08T01:05:18.411Z,,,,0,23.1,,
2017-11-08T01:05:28.812Z,,,,0,23.1,,
2017-11-08T01:05:38.417Z,,,,0,23.1,,
2017-11-08T01:05:48.410Z,,,,0,23.1,,
2017-11-08T01:05:58.410Z,,,,0,23.1,,
2017-11-08T01:06:08.409Z,,,,0,23.1,,
2017-11-08T01:06:18.409Z,,,,0,23.1,,
2017-11-08T01:06:28.630Z,,,,0,23.1,,
2017-11-08T01:06:38.409Z,,38.4,,0,23.1,,
2017-11-08T01:06:48.410Z,,,,0,23.1,,
2017-11-08T01:06:58.411Z,,,,0,23.1,,
2017-11-08T01:07:08.410Z,,,,0,23.1,,
2017-11-08T01:07:18.409Z,,,,0,23.1,,
2017-11-08T01:07:28.499Z,,,,0,23.1,,
2017-11-08T01:07:38.414Z,,,,0,23.1,,
2017-11-08T01:07:48.413Z,,,,0,23.1,,
2017-11-08T01:07:58.409Z,,,,0,23.1,,
2017-11-08T01:08:08.411Z,,38.3,,0,23.1,,
2017-11-08T01:08:18.412Z,,,,0,23.1,,
2017-11-08T01:08:28.501Z,,,,0,23.1,,
2017-11-08T01:08:38.410Z,,,,0,23,,
2017-11-08T01:08:48.591Z,,,,0,23,,
2017-11-08T01:08:58.410Z,,,,0,23,,
