Time,HwTSet,ChActive,HwTOutlet,ActPow,PrimT,HwActive,PrimTSet
2017-11-03T01:00:32.325Z,0,1,29.2,,43.9,0,45
2017-11-03T01:00:42.320Z,0,0,29.2,0,49.3,0,5
2017-11-03T01:00:52.317Z,0,1,29.2,,45.9,0,45
2017-11-03T01:01:02.316Z,0,,29.2,,44.9,,
2017-11-03T01:01:12.323Z,0,0,29.2,,43.9,0,5
2017-11-03T01:01:22.316Z,0,,29.2,,43.5,,
2017-11-03T01:01:32.318Z,0,1,29.2,,43,0,45
2017-11-03T01:01:42.316Z,0,0,29.2,0,48.1,0,5
2017-11-03T01:01:52.316Z,0,1,29.2,,44.9,0,45
2017-11-03T01:02:02.316Z,0,,29.2,,43.9,,
2017-11-03T01:02:12.316Z,0,0,29.2,,42.9,0,5
2017-11-03T01:02:22.316Z,0,,29.2,,42.6,,
2017-11-03T01:02:32.317Z,0,,29.2,,42.3,,
2017-11-03T01:02:42.320Z,0,,29.2,,42.2,,
2017-11-03T01:02:52.322Z,0,,29.3,,,,
2017-11-03T01:03:02.642Z,0,,29.3,,,,
2017-11-03T01:03:12.320Z,0,,29.3,,,,
2017-11-03T01:03:22.321Z,0,,29.3,,,,
2017-11-03T01:03:32.316Z,0,,29.3,,42.3,,
2017-11-03T01:03:42.317Z,0,,29.3,,,,
2017-11-03T01:03:52.315Z,0,,29.3,,42.2,,
2017-11-03T01:04:02.321Z,0,,29.3,,42.1,,
2017-11-03T01:04:12.318Z,0,,29.3,,41.9,,
2017-11-03T01:04:22.316Z,0,,29.3,,41.7,,
2017-11-03T01:04:32.318Z,0,,29.3,,41.6,,
2017-11-03T01:04:42.317Z,0,,29.3,,41.5,,
2017-11-03T01:04:52.316Z,0,,29.3,,41.3,,
2017-11-03T01:05:02.318Z,0,,29.3,,41.2,,
2017-11-03T01:05:12.317Z,0,,29.3,,41,,
2017-11-03T01:05:22.319Z,0,,29.3,,40.9,,
2017-11-03T01:05:32.318Z,0,,29.5,,,,
2017-11-03T01:05:42.318Z,0,,29.3,,,,
2017-11-03T01:05:52.325Z,0,,29.3,,40.8,,
2017-11-03T01:06:02.317Z,0,,29.3,,,,
2017-11-03T01:06:12.319Z,0,,29.5,,,,
2017-11-03T01:06:22.318Z,0,,29.5,,40.7,,
2017-11-03T01:06:32.316Z,0,,29.5,,,,
2017-11-03T01:06:42.317Z,0,,29.5,,,,
2017-11-03T01:06:52.317Z,0,,29.5,,,,
2017-11-03T01:07:02.327Z,0,,29.5,,,,
2017-11-03T01:07:12.323Z,0,,29.5,,40.6,,
2017-11-03T01:07:22.325Z,0,,29.5,,,,
2017-11-03T01:07:32.317Z,0,,29.5,,,,
2017-11-03T01:07:42.321Z,0,,29.5,,,,
2017-11-03T01:07:52.319Z,0,,29.5,,,,
2017-11-03T01:08:02.323Z,0,,29.5,,,,
2017-11-03T01:08:12.318Z,0,,29.5,,,,
2017-11-03T01:08:22.320Z,0,,29.5,,,,
2017-11-03T01:08:32.318Z,0,,29.5,,,,
2017-11-03T01:08:42.317Z,0,,29.5,,,,
2017-11-03T01:08:52.326Z,0,,29.5,,,,
2017-11-03T01:09:02.323Z,0,,29.5,,,,
2017-11-03T01:09:12.320Z,0,,29.3,,,,
2017-11-03T01:09:22.318Z,0,,29.3,,,,
2017-11-03T01:09:32.318Z,0,,29.3,,,,
2017-11-03T01:09:42.318Z,0,,29.5,,,,
2017-11-03T01:09:52.318Z,0,,29.3,,,,
2017-11-03T01:10:02.316Z,0,,29.3,,40.7,,
2017-11-03T01:10:12.320Z,0,,29.3,,40.6,,
2017-11-03T01:10:22.320Z,0,,29.3,,,,
2017-11-03T01:10:32.329Z,0,,29.3,,,,
2017-11-03T01:10:42.524Z,0,,29.3,,,,
2017-11-03T01:10:52.318Z,0,,29.3,,,,
2017-11-03T01:11:02.318Z,0,,29.3,,,,
2017-11-03T01:11:12.319Z,0,,29.3,,,,
2017-11-03T01:11:22.319Z,0,,29.3,,,,
2017-11-03T01:11:32.318Z,0,,29.3,,,,
2017-11-03T01:11:42.318Z,0,,29.3,,,,
2017-11-03T01:11:52.319Z,0,,29.3,,,,
2017-11-03T01:12:02.326Z,0,,29.3,,40.5,,
2017-11-03T01:12:12.328Z,0,,29.3,,,,
2017-11-03T01:12:22.322Z,0,,29.3,,,,
2017-11-03T01:12:32.322Z,0,,29.3,,,,
2017-11-03T01:12:42.321Z,0,,29.3,,,,
2017-11-03T01:12:52.321Z,0,,29.2,,,,
2017-11-03T01:13:02.324Z,0,,29.2,,,,
2017-11-03T01:13:12.319Z,0,,29.2,,,,
2017-11-03T01:13:22.323Z,0,,29.2,,40.4,,
2017-11-03T01:13:32.319Z,0,,29.2,,,,
2017-11-03T01:13:42.319Z,0,,29.2,,,,
2017-11-03T01:13:52.323Z,0,,29.2,,,,
2017-11-03T01:14:02.324Z,0,,29.2,,,,
2017-11-03T01:14:12.326Z,0,,29.2,,,,
2017-11-03T01:14:22.320Z,0,,29.2,,,,
2017-11-03T01:14:32.319Z,0,,29.2,,40.3,,
2017-11-03T01:14:42.325Z,0,,29.2,,,,
2017-11-03T01:14:52.319Z,0,,29.2,,,,
2017-11-03T01:15:02.322Z,0,,29.2,,,,
2017-11-03T01:15:12.321Z,0,,29.2,,,,
2017-11-03T01:15:22.321Z,0,,29.1,,,,
2017-11-03T01:15:32.320Z,0,,29.1,,,,
2017-11-03T01:15:42.320Z,0,,29.1,,40.2,,
2017-11-03T01:15:52.326Z,0,,29.1,,,,
2017-11-03T01:16:02.324Z,0,,29.1,,,,
2017-11-03T01:16:12.320Z,0,,29.1,,,,
2017-11-03T01:16:22.320Z,0,,29.1,,,,
2017-11-03T01:16:32.321Z,0,,29.1,,,,
2017-11-03T01:16:42.322Z,0,,29.1,,,,
2017-11-03T01:16:52.322Z,0,,29.1,,,,
2017-11-03T01:17:02.322Z,0,,29.1,,40.1,,
2017-11-03T01:17:12.320Z,0,,29.1,,,,
2017-11-03T01:17:22.326Z,0,,29,,,,
2017-11-03T01:17:32.322Z,0,,29,,,,
2017-11-03T01:17:42.331Z,0,,29,,,,
2017-11-03T01:17:52.322Z,0,,29,,,,
