Time,HwActive,ActPow,ChActive,PrimT,HwTSet,PrimTSet,HwTOutlet
2017-11-25T01:00:36.241Z,0,,2,47.6,0,57,31
2017-11-25T01:00:46.252Z,0,0,0,53.1,0,5,30.9
2017-11-25T01:00:56.321Z,0,44,2,48.8,0,57,30.9
2017-11-25T01:01:06.240Z,,35,,53.2,0,,30.9
2017-11-25T01:01:16.242Z,,30,,56.4,0,,30.9
2017-11-25T01:01:26.240Z,,,,56.2,0,,30.9
2017-11-25T01:01:36.240Z,,,,56.7,0,,30.9
2017-11-25T01:01:46.240Z,,,,56.4,0,,30.9
2017-11-25T01:01:56.323Z,,29,,56,0,,30.8
2017-11-25T01:02:06.240Z,,,,55.6,0,,30.8
2017-11-25T01:02:16.240Z,,29,,55.6,0,,30.8
2017-11-25T01:02:26.240Z,,29,,55.7,0,,30.8
2017-11-25T01:02:36.240Z,,30,,,0,,30.8
2017-11-25T01:02:46.244Z,,29,,,0,,30.8
2017-11-25T01:02:56.332Z,,30,,55.6,0,,30.8
2017-11-25T01:03:06.240Z,,,,56,0,,30.8
2017-11-25T01:03:16.241Z,,,,56.1,0,,30.8
2017-11-25T01:03:26.240Z,,,,56.7,0,,30.8
2017-11-25T01:03:36.241Z,,29,,57.7,0,,30.8
2017-11-25T01:03:46.240Z,,30,,58.2,0,,30.8
2017-11-25T01:03:56.320Z,,,,58.7,0,,30.8
2017-11-25T01:04:06.242Z,,30,,59,0,,30.8
2017-11-25T01:04:16.241Z,,29,,59.4,0,,30.8
2017-11-25T01:04:26.243Z,,,,59.7,0,,30.8
2017-11-25T01:04:36.241Z,,30,,60.1,0,,30.8
2017-11-25T01:04:46.248Z,,29,,60.2,0,,30.8
2017-11-25T01:04:56.421Z,,,,,0,,30.8
2017-11-25T01:05:06.240Z,,30,,,0,,30.8
2017-11-25T01:05:16.241Z,,29,,60.4,0,,30.8
2017-11-25T01:05:26.241Z,,,,60.5,0,,30.8
2017-11-25T01:05:36.242Z,,,,60.8,0,,30.9
2017-11-25T01:05:46.241Z,0,0,2,61.1,0,,30.9
2017-11-25T01:05:56.323Z,,,,57.6,0,,30.9
2017-11-25T01:06:06.241Z,,,,54.7,0,,30.9
2017-11-25T01:06:16.241Z,,,,53.2,0,,30.9
2017-11-25T01:06:26.241Z,,,,52.4,0,,30.9
2017-11-25T01:06:36.241Z,,,,52,0,,30.9
2017-11-25T01:06:46.241Z,,,,51.9,0,,31
2017-11-25T01:06:56.461Z,,,,,0,,31
2017-11-25T01:07:06.241Z,,,,52,0,,31
2017-11-25T01:07:16.244Z,,,,52.1,0,,31.2
2017-11-25T01:07:26.241Z,,,,52.2,0,,31.2
2017-11-25T01:07:36.244Z,,,,52.3,0,,31.2
2017-11-25T01:07:46.243Z,,,,52.6,0,,31.3
