Time,ActPow,PrimTSet,HwTSet,HwTOutlet,ChActive,PrimT,HwActive
2017-12-29T00:50:12.557Z,,,0,14.8,,,
2017-12-29T00:50:22.713Z,,,0,14.8,,,
2017-12-29T00:50:32.557Z,,,0,14.8,,,
2017-12-29T00:50:42.557Z,,,0,14.8,,,
2017-12-29T00:50:52.557Z,,,0,14.8,,,
2017-12-29T00:51:02.557Z,,,0,14.8,,,
2017-12-29T00:51:12.557Z,,,0,14.8,,,
2017-12-29T00:51:22.557Z,,,0,14.8,,,
2017-12-29T00:51:32.557Z,,,0,14.8,,,
2017-12-29T00:51:42.557Z,,,0,14.8,,,
2017-12-29T00:51:52.557Z,,,0,14.8,,,
2017-12-29T00:52:02.557Z,,,0,14.8,,,
2017-12-29T00:52:12.557Z,,,0,14.8,,,
2017-12-29T00:52:22.557Z,,,0,14.8,,,
2017-12-29T00:52:32.557Z,,,0,14.8,,,
2017-12-29T00:52:42.558Z,,,0,14.8,,,
2017-12-29T00:52:52.559Z,,,0,14.8,,,
2017-12-29T00:53:02.559Z,,,0,14.8,,,
2017-12-29T00:53:12.559Z,,,0,14.8,,,
2017-12-29T00:53:22.557Z,,,0,14.8,,,
2017-12-29T00:53:32.557Z,,,0,14.8,,,
2017-12-29T00:53:42.558Z,,,0,14.8,,,
2017-12-29T00:53:52.559Z,,,0,14.8,,,
2017-12-29T00:54:02.557Z,,,0,14.8,,,
2017-12-29T00:54:12.557Z,,,0,14.8,,,
2017-12-29T00:54:22.557Z,,,0,14.8,,,
2017-12-29T00:54:32.557Z,,,0,14.8,,,
2017-12-29T00:54:42.557Z,,,0,14.8,,,
2017-12-29T00:54:52.558Z,,,0,14.8,,,
2017-12-29T00:55:02.558Z,,,0,14.8,,,
2017-12-29T00:55:12.558Z,,,0,14.8,,,
2017-12-29T00:55:22.558Z,,,0,14.8,,,
2017-12-29T00:55:32.558Z,,,0,14.8,,,
2017-12-29T00:55:42.558Z,,,0,14.8,,,
2017-12-29T00:55:52.558Z,,,0,14.8,,,
2017-12-29T00:56:02.558Z,,,0,14.8,,,
2017-12-29T00:56:12.558Z,,,0,14.8,,,
2017-12-29T00:56:22.558Z,,,0,14.8,,,
2017-12-29T00:56:32.558Z,,,0,14.8,,,
2017-12-29T00:56:42.560Z,,,0,14.8,,,
2017-12-29T00:56:52.558Z,,,0,14.8,,,
2017-12-29T00:57:02.559Z,,,0,14.8,,,
2017-12-29T00:57:12.558Z,,,0,14.8,,,
2017-12-29T00:57:22.558Z,,,0,14.8,,,
2017-12-29T00:57:32.558Z,,,0,14.8,,,
2017-12-29T00:57:42.558Z,,,0,14.8,,,
2017-12-29T00:57:52.559Z,,,0,14.8,,,
2017-12-29T00:58:02.557Z,,,0,14.8,,,
2017-12-29T00:58:12.559Z,,,0,14.8,,,
2017-12-29T00:58:22.559Z,,,0,14.8,,,
2017-12-29T00:58:32.558Z,,,0,14.8,,,
2017-12-29T00:58:42.562Z,,,0,14.8,,,
2017-12-29T00:58:52.558Z,,,0,14.8,,,
2017-12-29T00:59:02.558Z,,,0,14.8,,,
2017-12-29T00:59:12.558Z,,,0,14.8,,,
2017-12-29T00:59:22.558Z,,,0,14.8,,,
2017-12-29T00:59:32.558Z,,,0,14.8,,,
2017-12-29T00:59:42.559Z,,,0,14.8,,,
2017-12-29T00:59:52.559Z,,,0,14.8,,,
2017-12-29T01:00:02.599Z,,,0,14.8,,,
2017-12-29T01:00:12.574Z,,,0,14.8,,,
2017-12-29T01:00:22.607Z,,,0,14.8,,,
2017-12-29T01:00:32.670Z,,,0,14.8,,,
2017-12-29T01:00:43.320Z,,,0,14.8,,,
2017-12-29T01:00:52.559Z,,,0,14.8,,,
2017-12-29T01:01:02.558Z,,,0,14.8,,,
