Time,HwTSet,HwTOutlet,PrimT,ChActive,ActPow,PrimTSet,HwActive
2017-11-15T01:11:16.930Z,0,30.8,52.2,,,,
2017-11-15T01:11:26.928Z,0,30.8,52.7,,,,
2017-11-15T01:11:36.930Z,0,30.8,51.8,1,0,,0
2017-11-15T01:11:47.165Z,0,30.8,48.9,,,,
2017-11-15T01:11:56.937Z,0,30.8,47.9,,,,
2017-11-15T01:12:06.933Z,0,30.8,47.4,,,,
2017-11-15T01:12:16.935Z,0,30.9,47.2,,,,
2017-11-15T01:12:26.932Z,0,30.9,,,,,
2017-11-15T01:12:36.930Z,0,30.9,47.4,,,,
2017-11-15T01:12:46.928Z,0,30.9,47.6,,,,
2017-11-15T01:12:56.928Z,0,30.9,47.7,,,,
2017-11-15T01:13:06.929Z,0,30.9,,,,,
2017-11-15T01:13:16.935Z,0,30.9,,,,,
2017-11-15T01:13:27.166Z,0,30.9,47.6,,,,
2017-11-15T01:13:36.933Z,0,30.9,47.3,,,,
2017-11-15T01:13:46.929Z,0,30.9,47.1,,,,
2017-11-15T01:13:56.933Z,0,30.9,46.9,,,,
2017-11-15T01:14:06.932Z,0,31,,,,,
2017-11-15T01:14:16.929Z,0,30.9,46.6,,,,
2017-11-15T01:14:26.931Z,0,31,46.4,,,,
2017-11-15T01:14:37.120Z,0,31,46.1,,,,
2017-11-15T01:14:46.937Z,0,31,45.9,1,0,49,0
2017-11-15T01:14:56.929Z,0,31,45.8,,,,
2017-11-15T01:15:06.929Z,0,31,45.6,,,,
2017-11-15T01:15:16.931Z,0,31,45.5,,,,
