Time,PrimTSet,HwTSet,ActPow,HwTOutlet,PrimT,ChActive,HwActive
2018-01-28T00:45:36.831Z,,0,,23.9,,,
2018-01-28T00:45:46.829Z,,0,,23.9,,,
2018-01-28T00:45:56.829Z,,0,,23.9,,,
2018-01-28T00:46:06.830Z,,0,,23.9,,,
2018-01-28T00:46:16.832Z,,0,,23.9,,,
2018-01-28T00:46:27.064Z,,0,,23.9,,,
2018-01-28T00:46:36.829Z,,0,,23.9,,,
2018-01-28T00:46:46.829Z,,0,,23.9,,,
2018-01-28T00:46:56.830Z,,0,,23.9,,,
2018-01-28T00:47:06.830Z,,0,,23.9,,,
2018-01-28T00:47:16.829Z,,0,,23.9,35.8,,
2018-01-28T00:47:26.829Z,,0,,23.9,,,
2018-01-28T00:47:36.829Z,,0,,23.9,,,
2018-01-28T00:47:46.830Z,,0,,23.9,,,
2018-01-28T00:47:56.830Z,,0,,23.9,,,
2018-01-28T00:48:06.830Z,,0,,23.8,,,
2018-01-28T00:48:16.829Z,,0,,23.9,,,
2018-01-28T00:48:26.831Z,,0,,23.8,,,
2018-01-28T00:48:36.829Z,,0,,23.8,,,
2018-01-28T00:48:56.831Z,,0,,23.8,,,
2018-01-28T00:49:06.830Z,,0,,23.8,,,
2018-01-28T00:49:16.833Z,,0,,23.8,,,
2018-01-28T00:49:26.830Z,,0,,23.8,35.7,,
2018-01-28T00:49:36.832Z,,0,,23.8,,,
2018-01-28T00:49:46.830Z,,0,,23.8,,,
2018-01-28T00:49:56.832Z,,0,,23.8,,,
2018-01-28T00:50:06.829Z,,0,,23.8,,,
2018-01-28T00:50:16.830Z,,0,,23.8,,,
2018-01-28T00:50:26.830Z,,0,,23.8,,,
2018-01-28T00:50:36.830Z,,0,,23.7,,,
2018-01-28T00:50:46.831Z,,0,,23.8,,,
2018-01-28T00:50:56.838Z,,0,,23.8,,,
2018-01-28T00:51:06.830Z,,0,,23.8,35.6,,
2018-01-28T00:51:16.830Z,,0,,23.7,35.7,,
2018-01-28T00:51:26.830Z,,0,,23.7,35.6,,
2018-01-28T00:51:36.830Z,,0,,23.7,,,
2018-01-28T00:51:46.837Z,,0,,23.7,,,
2018-01-28T00:51:56.860Z,,0,,23.7,,,
2018-01-28T00:52:06.830Z,,0,,23.7,,,
2018-01-28T00:52:16.830Z,,0,,23.7,,,
2018-01-28T00:52:26.936Z,,0,,23.7,,,
2018-01-28T00:52:37.090Z,,0,,23.7,,,
2018-01-28T00:52:46.831Z,,0,,23.7,,,
2018-01-28T00:52:56.831Z,,0,,23.7,,,
2018-01-28T00:53:07.049Z,,0,,23.7,,,
2018-01-28T00:53:16.836Z,,0,,23.7,,,
2018-01-28T00:53:26.830Z,,0,,23.7,35.5,,
2018-01-28T00:53:36.830Z,,0,,23.7,,,
2018-01-28T00:53:51.850Z,,0,,23.7,,,
2018-01-28T00:53:56.831Z,,0,,23.7,,,
2018-01-28T00:54:06.964Z,,0,,23.6,,,
2018-01-28T00:54:16.830Z,,0,,23.6,,,
2018-01-28T00:54:26.831Z,,0,,23.6,,,
2018-01-28T00:54:36.832Z,,0,,23.6,,,
2018-01-28T00:54:46.841Z,,0,,23.6,,,
2018-01-28T00:54:56.848Z,,0,,23.6,,,
2018-01-28T00:55:06.832Z,,0,,23.6,,,
2018-01-28T00:55:16.834Z,,0,,23.6,,,
2018-01-28T00:55:26.831Z,,0,,23.6,35.4,,
2018-01-28T00:55:36.831Z,,0,,23.6,,,
2018-01-28T00:55:46.831Z,,0,,23.6,,,
2018-01-28T00:56:02.049Z,,0,,23.6,,,
2018-01-28T00:56:06.831Z,,0,,23.6,,,
2018-01-28T00:56:16.830Z,,0,,23.6,,,
2018-01-28T00:56:26.830Z,,0,,23.6,,,
2018-01-28T00:56:36.832Z,,0,,23.6,,,
2018-01-28T00:56:46.831Z,,0,,23.6,,,
2018-01-28T00:56:56.839Z,,0,,23.6,,,
