Time,ChActive,HwTOutlet,ActPow,HwTSet,PrimT,HwActive,PrimTSet
2017-11-26T00:44:36.477Z,,36.5,,0,64.5,,61
2017-11-26T00:44:46.486Z,1,36.4,0,0,65.2,0,
2017-11-26T00:44:56.477Z,,36.5,,0,60.9,,62
2017-11-26T00:45:06.477Z,,36.5,,0,58.7,,
2017-11-26T00:45:16.483Z,,36.5,,0,57.2,,
2017-11-26T00:45:26.477Z,,36.5,,0,56.6,,61
2017-11-26T00:45:36.482Z,,36.5,,0,56.2,,
2017-11-26T00:45:46.481Z,,36.5,,0,55.9,,
2017-11-26T00:45:56.478Z,,36.5,,0,55.7,,62
2017-11-26T00:46:06.478Z,,36.5,,0,,,
2017-11-26T00:46:16.484Z,,36.5,,0,55.9,,61
2017-11-26T00:46:26.477Z,,36.5,,0,,,62
2017-11-26T00:46:36.477Z,,36.5,,0,56,,61
2017-11-26T00:46:46.479Z,,36.5,,0,56.1,,62
2017-11-26T00:46:56.478Z,,36.5,,0,56.2,,
2017-11-26T00:47:06.478Z,,36.5,,0,,,
2017-11-26T00:47:16.478Z,1,36.5,44,0,56.1,0,61
2017-11-26T00:47:26.480Z,,36.5,32,0,63.3,,
2017-11-26T00:47:36.487Z,1,36.5,0,0,65.3,0,
2017-11-26T00:47:46.481Z,,36.5,,0,60.6,,
2017-11-26T00:47:56.477Z,,36.5,,0,57.9,,62
2017-11-26T00:48:06.479Z,,36.5,,0,56.5,,
2017-11-26T00:48:16.480Z,,36.5,,0,55.3,,61
2017-11-26T00:48:26.485Z,,36.5,,0,54.5,,62
2017-11-26T00:48:36.483Z,,36.5,,0,53.8,,61
2017-11-26T00:48:46.477Z,,36.5,,0,53.4,,
2017-11-26T00:48:56.482Z,,36.5,,0,53.1,,
2017-11-26T00:49:06.478Z,,36.5,,0,52.8,,
2017-11-26T00:49:16.478Z,,36.5,,0,52.6,,
2017-11-26T00:49:26.481Z,,36.5,,0,52.4,,
2017-11-26T00:49:36.484Z,,36.4,,0,,,
2017-11-26T00:49:46.477Z,,36.5,,0,52.7,,
2017-11-26T00:49:56.481Z,,36.4,,0,53.1,,
2017-11-26T00:50:06.478Z,,36.4,,0,53.5,,
2017-11-26T00:50:16.477Z,,36.4,,0,53.7,,
2017-11-26T00:50:26.478Z,,36.4,,0,53.6,,
