Time,HwActive,HwTSet,HwTOutlet,PrimT,ActPow,PrimTSet,ChActive
2017-12-18T00:50:29.292Z,,0,23.9,,,,
2017-12-18T00:50:39.286Z,,0,23.9,,,,
2017-12-18T00:50:49.366Z,,0,23.9,,,,
2017-12-18T00:50:59.290Z,,0,23.8,,,,
2017-12-18T00:51:09.287Z,,0,23.8,,,,
2017-12-18T00:51:19.286Z,,0,23.8,43.4,,,
2017-12-18T00:51:29.306Z,,0,23.8,,,,
2017-12-18T00:51:39.286Z,,0,23.8,,,,
2017-12-18T00:51:49.366Z,,0,23.8,,,,
2017-12-18T00:51:59.292Z,,0,23.8,,,,
2017-12-18T00:52:09.398Z,,0,23.8,,,,
2017-12-18T00:52:19.286Z,,0,23.7,,,,
2017-12-18T00:52:29.289Z,,0,23.7,43.3,,,
2017-12-18T00:52:39.287Z,,0,23.7,,,,
2017-12-18T00:52:49.367Z,,0,23.7,,,,
2017-12-18T00:52:59.286Z,,0,23.7,,,,
2017-12-18T00:53:09.287Z,,0,23.7,,,,
2017-12-18T00:53:19.287Z,,0,23.7,,,,
2017-12-18T00:53:29.287Z,,0,23.7,,,,
2017-12-18T00:53:39.286Z,,0,23.7,,,,
2017-12-18T00:53:49.376Z,,0,23.7,43.2,,,
2017-12-18T00:53:59.288Z,,0,23.7,,,,
2017-12-18T00:54:09.287Z,,0,23.7,,,,
2017-12-18T00:54:19.287Z,,0,23.6,,,,
2017-12-18T00:54:29.287Z,,0,23.6,,,,
2017-12-18T00:54:39.287Z,,0,23.6,,,,
2017-12-18T00:54:49.562Z,,0,23.6,43.1,,,
2017-12-18T00:54:59.287Z,,0,23.6,,,,
2017-12-18T00:55:09.287Z,,0,23.6,,,,
2017-12-18T00:55:19.287Z,,0,23.6,,,,
2017-12-18T00:55:29.287Z,,0,23.6,,,,
2017-12-18T00:55:39.287Z,,0,23.6,,,,
2017-12-18T00:55:49.368Z,,0,23.4,,,,
2017-12-18T00:55:59.288Z,,0,23.4,,,,
2017-12-18T00:56:09.287Z,,0,23.4,,,,
2017-12-18T00:56:19.287Z,,0,23.4,43,,,
2017-12-18T00:56:29.287Z,,0,23.4,,,,
2017-12-18T00:56:39.535Z,,0,23.4,,,,
2017-12-18T00:56:49.327Z,,0,23.4,,,,
2017-12-18T00:56:59.292Z,,0,23.4,,,,
2017-12-18T00:57:09.287Z,,0,23.4,,,,
2017-12-18T00:57:19.287Z,,0,23.4,,,,
2017-12-18T00:57:29.287Z,,0,23.4,42.9,,,
2017-12-18T00:57:39.287Z,,0,23.4,,,,
2017-12-18T00:57:49.367Z,,0,23.4,,,,
2017-12-18T00:57:59.287Z,,0,23.4,,,,
2017-12-18T00:58:09.287Z,,0,23.3,,,,
2017-12-18T00:58:19.287Z,,0,23.3,,,,
2017-12-18T00:58:29.287Z,,0,23.3,,,,
2017-12-18T00:58:39.287Z,,0,36.2,42.8,,,
2017-12-18T00:58:49.377Z,,0,36.2,,,,
2017-12-18T00:58:59.287Z,,0,36,,,,
2017-12-18T00:59:09.288Z,,0,35.9,42.7,,,
2017-12-18T00:59:19.289Z,,0,35.8,42.6,,,
2017-12-18T00:59:29.287Z,,0,35.6,,,,
2017-12-18T00:59:39.288Z,,0,35.5,,,,
