Time,HwTOutlet,ActPow,PrimT,HwActive,PrimTSet,ChActive,HwTSet
2018-02-06T01:07:47.858Z,23.4,,,,,,0
2018-02-06T01:07:57.807Z,23.4,,44,,,,0
2018-02-06T01:08:07.810Z,23.4,,,,,,0
2018-02-06T01:08:17.816Z,23.4,,,,,,0
2018-02-06T01:08:27.818Z,23.4,,,,,,0
2018-02-06T01:08:37.808Z,23.4,,,,,,0
2018-02-06T01:08:47.812Z,23.4,,,,,,0
2018-02-06T01:08:57.809Z,23.4,,,,,,0
2018-02-06T01:09:07.812Z,23.4,,43.9,,,,0
2018-02-06T01:09:17.807Z,23.3,,,,,,0
2018-02-06T01:09:27.815Z,23.3,,,,,,0
2018-02-06T01:09:37.811Z,23.3,,,,,,0
2018-02-06T01:09:47.812Z,23.3,,,,,,0
2018-02-06T01:09:57.812Z,23.3,,,,,,0
2018-02-06T01:10:07.807Z,23.3,,,,,,0
2018-02-06T01:10:17.807Z,23.3,,43.8,,,,0
2018-02-06T01:10:27.812Z,23.2,,,,,,0
2018-02-06T01:10:37.807Z,23.2,,,,,,0
2018-02-06T01:10:47.808Z,23.2,,,,,,0
2018-02-06T01:10:57.807Z,23.2,,,,,,0
2018-02-06T01:11:07.948Z,23.2,,,,,,0
2018-02-06T01:11:17.808Z,23.2,,,,,,0
2018-02-06T01:11:27.808Z,23.2,,43.7,,,,0
2018-02-06T01:11:37.813Z,23.2,,,,,,0
2018-02-06T01:11:47.811Z,23.2,,,,,,0
2018-02-06T01:11:57.816Z,23.1,,,,,,0
2018-02-06T01:12:07.952Z,23.1,,,,,,0
2018-02-06T01:12:17.812Z,23.1,,,,,,0
2018-02-06T01:12:27.997Z,23.1,,,,,,0
2018-02-06T01:12:37.808Z,23.1,,43.6,,,,0
2018-02-06T01:12:47.807Z,23.1,,,,,,0
2018-02-06T01:12:57.816Z,23.1,,,,,,0
2018-02-06T01:13:07.808Z,23.1,,,,,,0
2018-02-06T01:13:17.807Z,23.1,,,,,,0
2018-02-06T01:13:27.809Z,23.1,,,,,,0
2018-02-06T01:13:37.808Z,23,,,,,,0
2018-02-06T01:13:47.808Z,23,,43.5,,,,0
