Time,HwTOutlet,ActPow,PrimTSet,HwActive,PrimT,HwTSet,ChActive
2017-12-06T01:18:30.804Z,24.4,,,,,0,
2017-12-06T01:18:40.805Z,24.4,,,,,0,
2017-12-06T01:18:50.809Z,24.4,,,,,0,
2017-12-06T01:19:10.804Z,24.4,,,,33.4,0,
2017-12-06T01:19:20.806Z,24.4,,,,33.5,0,
2017-12-06T01:19:30.805Z,24.4,,,,33.4,0,
2017-12-06T01:19:40.805Z,24.3,,,,,0,
2017-12-06T01:19:50.804Z,24.3,,,,,0,
2017-12-06T01:20:00.810Z,24.3,,,,,0,
2017-12-06T01:20:10.805Z,24.3,,,,,0,
2017-12-06T01:20:20.805Z,24.3,,,,,0,
2017-12-06T01:20:30.804Z,24.3,,,,,0,
2017-12-06T01:20:50.806Z,24.3,,,,,0,
2017-12-06T01:21:00.809Z,24.3,,,,,0,
2017-12-06T01:21:10.809Z,24.3,,,,,0,
2017-12-06T01:21:20.809Z,24.3,,,,33.3,0,
2017-12-06T01:21:30.810Z,24.3,,,,33.4,0,
2017-12-06T01:21:40.805Z,24.3,,,,,0,
2017-12-06T01:21:50.807Z,24.3,,,,,0,
2017-12-06T01:22:00.835Z,24.2,,,,33.3,0,
2017-12-06T01:22:10.807Z,24.2,,,,,0,
2017-12-06T01:22:30.807Z,24.2,,,,,0,
