Time,HwTSet,HwActive,HwTOutlet,PrimT,ChActive,PrimTSet,ActPow
2018-01-05T00:48:53.813Z,0,,21.6,,,,
2018-01-05T00:49:03.813Z,0,,21.7,,,,
2018-01-05T00:49:14.028Z,0,,21.7,,,,
2018-01-05T00:49:23.813Z,0,,21.6,,,,
2018-01-05T00:49:33.812Z,0,,21.6,,,,
2018-01-05T00:49:43.815Z,0,,21.6,,,,
2018-01-05T00:49:53.815Z,0,,21.6,,,,
2018-01-05T00:50:03.814Z,0,,21.6,,,,
2018-01-05T00:50:18.903Z,0,,21.6,,,,
2018-01-05T00:50:23.816Z,0,,21.6,37.3,,,
2018-01-05T00:50:33.813Z,0,,21.6,,,,
2018-01-05T00:50:43.813Z,0,,21.6,,,,
2018-01-05T00:50:53.814Z,0,,21.6,,,,
2018-01-05T00:51:03.813Z,0,,21.6,,,,
2018-01-05T00:51:13.819Z,0,,21.6,,,,
2018-01-05T00:51:23.815Z,0,,21.6,,,,
2018-01-05T00:51:33.813Z,0,,21.6,,,,
2018-01-05T00:51:43.816Z,0,,21.6,,,,
2018-01-05T00:51:53.813Z,0,,21.6,37.2,,,
2018-01-05T00:52:03.814Z,0,,21.6,,,,
2018-01-05T00:52:13.813Z,0,,21.6,,,,
2018-01-05T00:52:23.813Z,0,,21.6,,,,
2018-01-05T00:52:33.813Z,0,,21.6,,,,
2018-01-05T00:52:43.814Z,0,,21.6,,,,
2018-01-05T00:52:53.813Z,0,,21.6,,,,
2018-01-05T00:53:04.023Z,0,,21.6,,,,
2018-01-05T00:53:13.813Z,0,,21.6,,,,
2018-01-05T00:53:23.813Z,0,,21.5,,,,
2018-01-05T00:53:34.318Z,0,,21.6,37.1,,,
2018-01-05T00:53:43.813Z,0,,21.6,,,,
2018-01-05T00:53:53.813Z,0,,21.5,,,,
2018-01-05T00:54:03.814Z,0,,21.5,,,,
2018-01-05T00:54:13.814Z,0,,21.5,,,,
2018-01-05T00:54:23.813Z,0,,21.5,,,,
2018-01-05T00:54:33.820Z,0,,21.5,,,,
2018-01-05T00:54:43.813Z,0,,21.5,,,,
2018-01-05T00:54:53.814Z,0,,21.5,,,,
2018-01-05T00:55:03.817Z,0,,21.5,,,,
2018-01-05T00:55:13.814Z,0,,21.5,,,,
2018-01-05T00:55:23.814Z,0,,21.5,36.9,,,
2018-01-05T00:55:33.814Z,0,,21.5,,,,
2018-01-05T00:55:43.814Z,0,,21.5,,,,
2018-01-05T00:55:53.814Z,0,,21.5,,,,
2018-01-05T00:56:03.814Z,0,,21.5,,,,
2018-01-05T00:56:13.814Z,0,,21.5,,,,
2018-01-05T00:56:23.814Z,0,,21.5,,,,
2018-01-05T00:56:33.813Z,0,,21.5,,,,
2018-01-05T00:56:43.819Z,0,,21.5,,,,
2018-01-05T00:56:53.814Z,0,,21.5,36.8,,,
2018-01-05T00:57:03.814Z,0,,21.5,,,,
2018-01-05T00:57:13.837Z,0,,21.5,,,,
2018-01-05T00:57:23.818Z,0,,21.5,,,,
2018-01-05T00:57:33.816Z,0,,21.5,,,,
2018-01-05T00:57:43.816Z,0,,21.5,,,,
2018-01-05T00:57:54.008Z,0,,21.5,,,,
2018-01-05T00:58:03.820Z,0,,21.5,,,,
2018-01-05T00:58:13.818Z,0,,21.5,,,,
2018-01-05T00:58:23.821Z,0,,21.5,,,,
2018-01-05T00:58:33.814Z,0,,21.3,,,,
2018-01-05T00:58:43.825Z,0,,21.5,36.7,,,
2018-01-05T00:58:53.814Z,0,,21.3,,,,
2018-01-05T00:59:03.821Z,0,,21.3,,,,
2018-01-05T00:59:13.815Z,0,,21.3,,,,
2018-01-05T00:59:23.818Z,0,,21.3,,,,
2018-01-05T00:59:38.838Z,0,,21.3,,,,
2018-01-05T00:59:43.814Z,0,,21.3,,,,
2018-01-05T00:59:53.814Z,0,,21.3,,,,
2018-01-05T01:00:03.814Z,0,,21.3,,,,
2018-01-05T01:00:13.814Z,0,,21.3,36.6,,,
2018-01-05T01:00:23.815Z,0,,21.3,,,,
2018-01-05T01:00:33.816Z,0,,21.3,,,,
2018-01-05T01:00:43.815Z,0,,21.3,,,,
2018-01-05T01:00:53.814Z,0,,21.3,,,,
2018-01-05T01:01:03.817Z,0,,21.3,,,,
2018-01-05T01:01:13.815Z,0,,21.3,,,,
2018-01-05T01:01:23.814Z,0,,21.3,,,,
2018-01-05T01:01:33.818Z,0,,21.3,,,,
2018-01-05T01:01:43.820Z,0,,21.3,,,,
2018-01-05T01:01:53.814Z,0,,21.3,36.5,,,
2018-01-05T01:02:03.815Z,0,,21.3,36.6,,,
2018-01-05T01:02:13.815Z,0,,21.3,36.5,,,
2018-01-05T01:02:23.815Z,0,,21.3,,,,
2018-01-05T01:02:33.814Z,0,,21.3,,,,
2018-01-05T01:02:43.819Z,0,,21.3,,,,
2018-01-05T01:02:53.815Z,0,,21.3,,,,
2018-01-05T01:03:03.815Z,0,,21.3,,,,
2018-01-05T01:03:13.823Z,0,,21.3,,,,
2018-01-05T01:03:23.815Z,0,,21.3,,,,
2018-01-05T01:03:33.821Z,0,,21.3,,,,
2018-01-05T01:03:43.823Z,0,,21.3,36.4,,,
2018-01-05T01:03:53.816Z,0,,21.3,,,,
2018-01-05T01:04:03.815Z,0,,21.3,,,,
2018-01-05T01:04:13.817Z,0,,21.2,,,,
2018-01-05T01:04:23.821Z,0,,21.2,,,,
2018-01-05T01:04:33.818Z,0,,21.2,,,,
2018-01-05T01:04:43.815Z,0,,21.2,,,,
2018-01-05T01:04:53.815Z,0,,21.2,,,,
2018-01-05T01:05:03.815Z,0,,21.2,,,,
2018-01-05T01:05:13.823Z,0,,21.2,,,,
2018-01-05T01:05:23.820Z,0,,21.2,36.3,,,
2018-01-05T01:05:33.815Z,0,,21.2,,,,
2018-01-05T01:05:43.815Z,0,,21.2,,,,
2018-01-05T01:05:53.822Z,0,,21.2,,,,
