Time,PrimT,HwTSet,PrimTSet,ChActive,HwTOutlet,ActPow,HwActive
2017-12-11T00:52:27.973Z,,0,,,23.4,,
2017-12-11T00:52:37.857Z,46.4,0,,,23.4,,
2017-12-11T00:52:48.144Z,,0,,,23.4,,
2017-12-11T00:52:57.857Z,,0,,,23.3,,
2017-12-11T00:53:07.858Z,,0,,,23.3,,
2017-12-11T00:53:17.856Z,,0,,,23.3,,
2017-12-11T00:53:27.864Z,,0,,,23.3,,
2017-12-11T00:53:37.858Z,46.3,0,,,23.3,,
2017-12-11T00:53:47.937Z,,0,,,23.3,,
2017-12-11T00:53:57.865Z,,0,,,23.3,,
2017-12-11T00:54:07.857Z,,0,,,23.3,,
2017-12-11T00:54:17.858Z,,0,,,23.3,,
2017-12-11T00:54:27.857Z,,0,,,23.3,,
2017-12-11T00:54:37.858Z,,0,,,23.2,,
2017-12-11T00:54:47.998Z,46.2,0,,,23.2,,
2017-12-11T00:54:57.858Z,,0,,,23.2,,
2017-12-11T00:55:07.858Z,46.2,0,5,0,23.2,0,0
2017-12-11T00:55:17.858Z,,0,,,23.2,,
2017-12-11T00:55:27.857Z,,0,,,23.2,,
2017-12-11T00:55:37.857Z,,0,,,23.2,,
2017-12-11T00:55:47.948Z,46.1,0,,,23.2,,
2017-12-11T00:55:57.858Z,,0,,,23.1,,
2017-12-11T00:56:07.858Z,,0,,,23.1,,
2017-12-11T00:56:17.857Z,,0,,,23.1,,
2017-12-11T00:56:27.858Z,,0,,,23.1,,
2017-12-11T00:56:37.862Z,,0,,,23.1,,
2017-12-11T00:56:47.950Z,46,0,,,23.1,,
2017-12-11T00:56:57.859Z,,0,,,23.1,,
2017-12-11T00:57:07.859Z,,0,,,23.1,,
2017-12-11T00:57:17.858Z,,0,,,23.1,,
2017-12-11T00:57:27.858Z,,0,,,23.1,,
2017-12-11T00:57:37.858Z,,0,,,23.1,,
2017-12-11T00:57:47.938Z,46,0,,,23,,
2017-12-11T00:57:57.859Z,45.9,0,,,23,,
2017-12-11T00:58:07.859Z,,0,,,23,,
2017-12-11T00:58:17.858Z,,0,,,23,,
2017-12-11T00:58:27.858Z,,0,,,23,,
2017-12-11T00:58:37.858Z,,0,,,23,,
2017-12-11T00:58:48.038Z,,0,,,22.8,,
2017-12-11T00:58:57.862Z,45.8,0,,,23,,
2017-12-11T00:59:07.874Z,,0,,,22.8,,
2017-12-11T00:59:17.873Z,,0,,,22.8,,
2017-12-11T00:59:27.880Z,,0,,,22.8,,
2017-12-11T00:59:37.860Z,,0,,,22.8,,
2017-12-11T00:59:48.038Z,,0,,,22.8,,
2017-12-11T00:59:57.858Z,,0,,,22.8,,
2017-12-11T01:00:07.864Z,45.7,0,,,22.8,,
2017-12-11T01:00:17.859Z,,0,,,22.8,,
2017-12-11T01:00:27.859Z,,0,,,22.8,,
2017-12-11T01:00:37.858Z,,0,,,22.8,,
2017-12-11T01:00:47.948Z,,0,,,22.7,,
2017-12-11T01:00:57.859Z,,0,,,22.7,,
2017-12-11T01:01:07.861Z,45.6,0,,,22.7,,
2017-12-11T01:01:17.862Z,,0,,,22.7,,
2017-12-11T01:01:27.863Z,,0,,,22.7,,
2017-12-11T01:01:38.027Z,,0,,,22.7,,
2017-12-11T01:01:47.952Z,,0,,,22.7,,
2017-12-11T01:01:57.859Z,,0,,,22.7,,
2017-12-11T01:02:07.858Z,45.5,0,,,22.7,,
2017-12-11T01:02:17.858Z,,0,,,22.7,,
2017-12-11T01:02:27.860Z,,0,,,22.6,,
2017-12-11T01:02:37.859Z,,0,,,22.6,,
2017-12-11T01:02:47.939Z,,0,,,22.6,,
2017-12-11T01:02:57.859Z,,0,,,22.6,,
2017-12-11T01:03:07.986Z,45.4,0,,,22.6,,
2017-12-11T01:03:17.865Z,,0,,,22.6,,
2017-12-11T01:03:27.864Z,,0,,,22.6,,
2017-12-11T01:03:37.860Z,,0,,,22.6,,
2017-12-11T01:03:48.089Z,,0,,,22.6,,
2017-12-11T01:03:57.859Z,,0,,,22.6,,
2017-12-11T01:04:07.863Z,45.3,0,,,22.6,,
2017-12-11T01:04:17.858Z,,0,,,22.6,,
2017-12-11T01:04:27.859Z,,0,,,22.5,,
2017-12-11T01:04:37.860Z,,0,,,22.5,,
2017-12-11T01:04:47.940Z,,0,,,22.5,,
2017-12-11T01:04:57.868Z,,0,,,22.5,,
2017-12-11T01:05:07.860Z,,0,,,22.5,,
2017-12-11T01:05:17.860Z,45.2,0,,,22.5,,
2017-12-11T01:05:27.859Z,,0,,,22.5,,
2017-12-11T01:05:37.859Z,,0,,,22.5,,
2017-12-11T01:05:47.952Z,,0,,,22.5,,
2017-12-11T01:05:57.859Z,,0,,,22.4,,
2017-12-11T01:06:08.097Z,,0,,,22.4,,
2017-12-11T01:06:17.876Z,,0,,,22.4,,
2017-12-11T01:06:27.859Z,45.1,0,,,22.4,,
2017-12-11T01:06:37.859Z,,0,,,22.4,,
2017-12-11T01:06:47.980Z,,0,,,22.4,,
2017-12-11T01:06:57.861Z,,0,,,22.4,,
2017-12-11T01:07:07.880Z,,0,,,22.4,,
2017-12-11T01:07:17.862Z,,0,,,22.4,,
2017-12-11T01:07:27.866Z,45,0,,,22.4,,
2017-12-11T01:07:37.860Z,,0,,,22.4,,
2017-12-11T01:07:47.970Z,,0,,,22.4,,
2017-12-11T01:07:58.094Z,,0,,,22.4,,
2017-12-11T01:08:07.862Z,,0,,,22.2,,
2017-12-11T01:08:17.861Z,,0,,,22.2,,
2017-12-11T01:08:27.859Z,44.9,0,,,22.2,,
2017-12-11T01:08:37.859Z,,0,,,22.2,,
2017-12-11T01:08:48.062Z,,0,,,22.2,,
2017-12-11T01:08:57.870Z,,0,,,22.2,,
2017-12-11T01:09:07.862Z,,0,,,22.2,,
2017-12-11T01:09:17.860Z,,0,,,22.2,,
2017-12-11T01:09:27.860Z,,0,,,22.2,,
2017-12-11T01:09:37.860Z,44.8,0,,,22.2,,
2017-12-11T01:09:47.941Z,,0,,,22.1,,
2017-12-11T01:09:57.860Z,,0,,,22.1,,
2017-12-11T01:10:08.106Z,,0,,,22.1,,
2017-12-11T01:10:17.860Z,,0,,,22.1,,
2017-12-11T01:10:27.860Z,,0,,,22.1,,
2017-12-11T01:10:37.859Z,44.7,0,,,22.1,,
2017-12-11T01:10:47.963Z,,0,,,22.1,,
2017-12-11T01:10:57.860Z,,0,,,22.1,,
2017-12-11T01:11:07.868Z,,0,,,22.1,,
2017-12-11T01:11:17.862Z,,0,,,22.1,,
2017-12-11T01:11:27.860Z,,0,,,22.1,,
2017-12-11T01:11:37.864Z,,0,,,22.1,,
2017-12-11T01:11:48.090Z,44.6,0,,,22.1,,
2017-12-11T01:11:57.860Z,,0,,,22,,
2017-12-11T01:12:07.863Z,,0,,,22,,
2017-12-11T01:12:17.860Z,,0,,,22,,
2017-12-11T01:12:27.861Z,,0,,,22,,
2017-12-11T01:12:37.859Z,,0,,,22,,
2017-12-11T01:12:48.010Z,44.5,0,,,22,,
2017-12-11T01:12:57.860Z,,0,,,22,,
2017-12-11T01:13:07.862Z,,0,,,22,,
2017-12-11T01:13:17.859Z,,0,,,22,,
2017-12-11T01:13:27.860Z,,0,,,22,,
2017-12-11T01:13:37.860Z,,0,,,21.9,,
2017-12-11T01:13:47.960Z,,0,,,22,,
2017-12-11T01:13:57.860Z,,0,,,21.9,,
2017-12-11T01:14:07.862Z,44.4,0,,,21.9,,
2017-12-11T01:14:17.866Z,,0,,,21.9,,
2017-12-11T01:14:27.860Z,,0,,,21.9,,
2017-12-11T01:14:37.860Z,,0,,,21.9,,
2017-12-11T01:14:48.100Z,,0,,,21.9,,
2017-12-11T01:14:57.860Z,,0,,,21.9,,
2017-12-11T01:15:07.862Z,44.3,0,,,21.9,,
2017-12-11T01:15:17.868Z,,0,,,21.9,,
2017-12-11T01:15:27.999Z,,0,,,21.9,,
2017-12-11T01:15:37.860Z,,0,,,21.9,,
2017-12-11T01:15:47.940Z,,0,,,21.9,,
2017-12-11T01:15:57.861Z,,0,,,21.9,,
2017-12-11T01:16:07.860Z,44.2,0,,,21.9,,
2017-12-11T01:16:17.860Z,,0,,,21.7,,
2017-12-11T01:16:27.863Z,,0,,,21.7,,
2017-12-11T01:16:37.861Z,,0,,,21.7,,
2017-12-11T01:16:47.941Z,,0,,,21.7,,
2017-12-11T01:16:57.860Z,,0,,,21.7,,
2017-12-11T01:17:07.862Z,44.1,0,,,21.7,,
2017-12-11T01:17:17.869Z,,0,,,21.7,,
2017-12-11T01:17:27.861Z,,0,,,21.7,,
2017-12-11T01:17:37.861Z,,0,,,21.7,,
2017-12-11T01:17:48.093Z,,0,,,21.7,,
2017-12-11T01:17:57.861Z,,0,,,21.7,,
2017-12-11T01:18:07.863Z,,0,,,21.7,,
2017-12-11T01:18:17.861Z,44,0,,,21.7,,
2017-12-11T01:18:27.860Z,,0,,,21.6,,
2017-12-11T01:18:37.870Z,,0,,,21.6,,
2017-12-11T01:18:48.080Z,,0,,,21.6,,
2017-12-11T01:18:57.861Z,,0,,,21.6,,
2017-12-11T01:19:07.861Z,43.9,0,,,21.6,,
2017-12-11T01:19:17.867Z,44,0,,,21.6,,
2017-12-11T01:19:27.861Z,43.9,0,,,21.6,,
2017-12-11T01:19:37.860Z,,0,,,21.6,,
2017-12-11T01:19:47.941Z,,0,,,21.6,,
2017-12-11T01:19:57.862Z,,0,,,21.6,,
2017-12-11T01:20:07.861Z,,0,,,21.6,,
2017-12-11T01:20:17.861Z,,0,,,21.6,,
2017-12-11T01:20:27.861Z,,0,,,21.6,,
2017-12-11T01:20:37.861Z,43.8,0,,,21.5,,
2017-12-11T01:20:48.052Z,,0,,,21.5,,
2017-12-11T01:20:57.862Z,,0,,,21.5,,
2017-12-11T01:21:07.861Z,,0,,,21.5,,
2017-12-11T01:21:17.862Z,,0,,,21.5,,
