Time,HwTSet,PrimT,ActPow,HwActive,PrimTSet,ChActive,HwTOutlet
2018-02-07T01:00:28.026Z,0,,,,,,21.5
2018-02-07T01:00:38.026Z,0,,,,,,21.5
2018-02-07T01:00:48.026Z,0,,,,,,21.3
2018-02-07T01:00:58.026Z,0,,,,,,21.3
2018-02-07T01:01:08.028Z,0,,,,,,21.3
2018-02-07T01:01:18.107Z,0,,,,,,21.3
2018-02-07T01:01:28.028Z,0,,,,,,21.3
2018-02-07T01:01:38.032Z,0,,,,,,21.3
2018-02-07T01:01:48.027Z,0,,,,,,21.3
2018-02-07T01:01:58.026Z,0,36.1,,,,,21.3
2018-02-07T01:02:08.027Z,0,,,,,,21.3
2018-02-07T01:02:18.027Z,0,,,,,,21.3
2018-02-07T01:02:28.032Z,0,,,,,,21.3
2018-02-07T01:02:38.026Z,0,,,,,,21.3
2018-02-07T01:02:48.027Z,0,,,,,,21.3
2018-02-07T01:02:58.029Z,0,,,,,,21.3
2018-02-07T01:03:08.049Z,0,,,,,,21.3
2018-02-07T01:03:18.026Z,0,,,,,,21.3
2018-02-07T01:03:28.031Z,0,36,,,,,21.3
2018-02-07T01:03:38.027Z,0,36.1,,,,,21.3
2018-02-07T01:03:48.036Z,0,,,,,,21.3
2018-02-07T01:03:58.027Z,0,36,,,,,21.3
2018-02-07T01:04:08.028Z,0,,,,,,21.3
2018-02-07T01:04:18.027Z,0,,,,,,21.3
2018-02-07T01:04:28.029Z,0,,,,,,21.3
2018-02-07T01:04:38.026Z,0,,,,,,21.3
2018-02-07T01:04:48.031Z,0,,,,,,21.3
2018-02-07T01:04:58.027Z,0,,,,,,21.3
2018-02-07T01:05:08.028Z,0,,,,,,21.2
2018-02-07T01:05:18.034Z,0,,,,,,21.2
2018-02-07T01:05:28.030Z,0,35.9,,,,,21.2
2018-02-07T01:05:38.027Z,0,,,,,,21.2
2018-02-07T01:05:48.028Z,0,,,,,,21.2
2018-02-07T01:05:58.031Z,0,,,,,,21.2
2018-02-07T01:06:08.042Z,0,,,,,,21.2
2018-02-07T01:06:18.027Z,0,,,,,,21.2
2018-02-07T01:06:28.029Z,0,,,,,,21.2
2018-02-07T01:06:38.075Z,0,,,,,,21.2
2018-02-07T01:06:48.030Z,0,,,,,,21.2
2018-02-07T01:06:58.192Z,0,,,,,,21.2
2018-02-07T01:07:08.027Z,0,,,,,,21.2
2018-02-07T01:07:18.030Z,0,35.8,,,,,21.2
2018-02-07T01:07:28.027Z,0,,,,,,21.2
2018-02-07T01:07:38.031Z,0,,,,,,21.2
2018-02-07T01:07:48.030Z,0,,,,,,21.2
2018-02-07T01:07:58.030Z,0,,,,,,21.2
2018-02-07T01:08:08.027Z,0,,,,,,21.2
2018-02-07T01:08:18.027Z,0,,,,,,21.2
2018-02-07T01:08:28.028Z,0,,,,,,21.2
2018-02-07T01:08:38.027Z,0,,,,,,21.2
2018-02-07T01:08:48.029Z,0,35.7,,,,,21.2
2018-02-07T01:08:58.031Z,0,,,,,,21.2
2018-02-07T01:09:08.032Z,0,,,,,,21.2
2018-02-07T01:09:18.030Z,0,,,,,,21.2
2018-02-07T01:09:28.028Z,0,,,,,,21.2
2018-02-07T01:09:38.028Z,0,,,,,,21.1
2018-02-07T01:09:48.051Z,0,,,,,,21.1
2018-02-07T01:09:58.238Z,0,,,,,,21.1
2018-02-07T01:10:08.215Z,0,,,,,,21.1
2018-02-07T01:10:18.036Z,0,,,,,,21.1
2018-02-07T01:10:28.085Z,0,,,,,,21.1
2018-02-07T01:10:38.028Z,0,35.6,,,,,21.1
2018-02-07T01:10:48.027Z,0,,,,,,21.1
2018-02-07T01:10:58.028Z,0,,,,,,21.1
2018-02-07T01:11:08.028Z,0,,,,,,21.1
2018-02-07T01:11:18.028Z,0,,,,,,21.1
2018-02-07T01:11:28.029Z,0,,,,,,21.1
2018-02-07T01:11:38.028Z,0,,,,,,21.1
2018-02-07T01:11:48.029Z,0,,,,,,21.1
2018-02-07T01:11:58.027Z,0,,,,,,21.1
2018-02-07T01:12:08.030Z,0,,,,,,21.1
2018-02-07T01:12:18.029Z,0,,,,,,21.1
2018-02-07T01:12:28.028Z,0,,,,,,21.1
2018-02-07T01:12:38.028Z,0,,,,,,21.1
2018-02-07T01:12:48.028Z,0,35.5,,,,,21.1
2018-02-07T01:12:58.027Z,0,,,,,,21.1
