Time,HwTOutlet,PrimTSet,PrimT,HwTSet,ActPow,ChActive,HwActive
2018-01-27T01:06:42.554Z,31,,40.1,55,,,
2018-01-27T01:06:52.548Z,31,,40.2,55,,,
2018-01-27T01:07:02.549Z,31,,40.5,55,,,
2018-01-27T01:07:12.557Z,31,,40.6,55,,,
2018-01-27T01:07:22.628Z,31,,40.7,55,,,
2018-01-27T01:07:32.551Z,31,,41,55,,,
2018-01-27T01:07:42.548Z,31.1,,,55,,,
2018-01-27T01:07:52.548Z,31.1,,41.1,55,,,
2018-01-27T01:08:02.554Z,31.1,,41.2,55,,,
2018-01-27T01:08:12.550Z,31.1,,41.5,55,,,
2018-01-27T01:08:22.628Z,31.1,,41.6,55,,,
2018-01-27T01:08:32.548Z,31.1,,41.7,55,,,
2018-01-27T01:08:42.548Z,31.2,,42,55,,,
2018-01-27T01:08:52.554Z,31.2,,,55,,,
2018-01-27T01:09:02.550Z,31.2,,42.3,55,,,
2018-01-27T01:09:12.557Z,31.4,,42.4,55,,,
2018-01-27T01:09:22.629Z,31.4,,42.5,55,,,
2018-01-27T01:09:32.549Z,31.5,,42.6,55,,,
2018-01-27T01:09:42.549Z,31.5,,42.7,55,,,
2018-01-27T01:09:52.555Z,31.5,,43,55,,,
2018-01-27T01:10:02.552Z,31.6,,43.1,55,,,
2018-01-27T01:10:12.548Z,31.6,,43.2,55,,,
2018-01-27T01:10:22.628Z,31.7,,43.4,55,,,
2018-01-27T01:10:32.548Z,31.7,,43.5,55,,,
2018-01-27T01:10:42.549Z,31.9,,43.6,55,,,
2018-01-27T01:10:52.548Z,32,,43.7,55,,,
2018-01-27T01:11:02.549Z,32,,43.8,55,0,1,0
2018-01-27T01:11:12.548Z,32.1,,41.7,55,,,
2018-01-27T01:11:22.630Z,32.1,,40.5,55,,,
2018-01-27T01:11:32.553Z,32.2,,39.6,55,,,
2018-01-27T01:11:42.554Z,32.3,,39.4,55,,,
2018-01-27T01:11:52.549Z,32.3,,40,55,,,
2018-01-27T01:12:02.556Z,32.5,,,55,,,
2018-01-27T01:12:12.548Z,32.6,,40.6,55,,,
2018-01-27T01:12:22.654Z,32.6,,40.5,55,,,
2018-01-27T01:12:32.551Z,32.7,,40.2,55,,,
2018-01-27T01:12:42.549Z,32.7,,40.1,55,,,
2018-01-27T01:12:52.547Z,32.8,,39.9,55,,,
2018-01-27T01:13:02.601Z,32.8,,39.8,55,,,
2018-01-27T01:13:12.549Z,33,,39.6,55,,,
2018-01-27T01:13:22.646Z,33,,39.5,55,,,
2018-01-27T01:13:32.549Z,33,,39.4,55,,,
2018-01-27T01:13:42.547Z,33.1,,39.3,55,,,
2018-01-27T01:13:52.550Z,33.1,,,55,,,
2018-01-27T01:14:02.560Z,33.1,,39.1,55,,,
2018-01-27T01:14:12.548Z,33.1,,38.9,55,,,
2018-01-27T01:14:22.660Z,33.1,,,55,,,
2018-01-27T01:14:32.547Z,33.1,,38.8,55,,,
2018-01-27T01:14:42.548Z,33.1,,38.6,55,,,
2018-01-27T01:14:52.549Z,33.1,,38.5,55,,,
2018-01-27T01:15:02.637Z,33.2,,,55,,,
2018-01-27T01:15:12.548Z,33.2,,38.4,55,,,
2018-01-27T01:15:22.631Z,33.2,,,55,,,
2018-01-27T01:15:32.551Z,33.2,,38.5,55,,,
2018-01-27T01:15:42.548Z,33.2,,38.6,55,,,
2018-01-27T01:15:52.548Z,33.1,,38.8,55,,,
2018-01-27T01:16:02.549Z,33.1,,38.9,55,,,
2018-01-27T01:16:12.548Z,33.1,,39,55,,,
2018-01-27T01:16:22.637Z,33.1,,,55,,,
2018-01-27T01:16:32.553Z,33.1,,39.1,55,,,
2018-01-27T01:16:42.550Z,33.1,,39.3,55,,,
2018-01-27T01:16:52.555Z,33.1,,,55,,,
