Time,PrimT,PrimTSet,HwActive,HwTOutlet,ChActive,ActPow,HwTSet
2017-11-26T00:57:10.073Z,,,,43.1,,,55
2017-11-26T00:57:20.069Z,,,,43.2,,,55
2017-11-26T00:57:30.069Z,,,,43.2,,,55
2017-11-26T00:57:40.069Z,,,,43.3,,,55
2017-11-26T00:57:50.069Z,,,,43.3,,,55
2017-11-26T00:58:00.070Z,,,,43.4,,,55
2017-11-26T00:58:10.074Z,,,,43.4,,,55
2017-11-26T00:58:20.069Z,,,,43.4,,,55
2017-11-26T00:58:31.064Z,,,,43.4,,,55
2017-11-26T00:58:40.069Z,,,,43.4,,,55
2017-11-26T00:58:50.068Z,,,,43.4,,,55
2017-11-26T00:59:00.069Z,,,,43.5,,,55
2017-11-26T00:59:10.073Z,,,,43.4,,,55
2017-11-26T00:59:20.069Z,,,,43.4,,,55
2017-11-26T00:59:30.069Z,,,,43.4,,,55
2017-11-26T00:59:40.069Z,,,,43.4,,,55
2017-11-26T00:59:50.069Z,,,,43.4,,,55
2017-11-26T01:00:00.069Z,,,,43.4,,,55
2017-11-26T01:00:10.069Z,,,,43.4,,,55
2017-11-26T01:00:20.069Z,,,,43.3,,,55
2017-11-26T01:00:30.069Z,,,,43.4,,,55
2017-11-26T01:00:40.070Z,,,,43.3,,,55
2017-11-26T01:00:50.069Z,,,,43.3,,,55
2017-11-26T01:01:00.069Z,,,,43.3,,,55
2017-11-26T01:01:10.069Z,53.6,,,43.2,,,55
2017-11-26T01:01:25.089Z,,,,43.2,,,55
2017-11-26T01:01:30.070Z,,,,43.2,,,55
2017-11-26T01:01:40.069Z,,,,43.1,,,55
2017-11-26T01:01:50.069Z,,,,43.1,,,55
2017-11-26T01:02:00.070Z,,,,43.1,,,55
2017-11-26T01:02:10.069Z,,,,43.1,,,55
2017-11-26T01:02:20.069Z,,,,43,,,55
2017-11-26T01:02:30.072Z,,,,43,,,55
2017-11-26T01:02:40.070Z,53.4,,,43,,,55
2017-11-26T01:02:50.069Z,,,,42.8,,,55
2017-11-26T01:03:00.070Z,,,,42.8,,,55
2017-11-26T01:03:10.069Z,,,,42.7,,,55
2017-11-26T01:03:20.071Z,,,,42.7,,,55
2017-11-26T01:03:30.069Z,,,,42.7,,,55
2017-11-26T01:03:40.072Z,,,,42.6,,,55
2017-11-26T01:03:50.072Z,,,,42.6,,,55
2017-11-26T01:04:00.075Z,53.3,,,42.6,,,55
2017-11-26T01:04:15.089Z,,,,42.5,,,55
2017-11-26T01:04:20.069Z,,,,42.5,,,55
2017-11-26T01:04:30.071Z,,,,42.4,,,55
2017-11-26T01:04:40.070Z,,,,42.4,,,55
2017-11-26T01:04:50.070Z,,,,42.4,,,55
2017-11-26T01:05:00.069Z,53.2,,,42.3,,,55
2017-11-26T01:05:10.071Z,,,,42.3,,,55
2017-11-26T01:05:20.071Z,,,,42.2,,,55
2017-11-26T01:05:30.069Z,,,,42.2,,,55
2017-11-26T01:05:40.804Z,,,,42.2,,,55
2017-11-26T01:05:50.071Z,,,,42,,,55
2017-11-26T01:06:00.072Z,53.1,,,42,,,55
2017-11-26T01:06:10.069Z,,,,41.9,,,55
2017-11-26T01:06:20.072Z,,,,41.9,,,55
2017-11-26T01:06:30.069Z,,,,41.9,,,55
2017-11-26T01:06:40.074Z,,,,41.8,,,55
2017-11-26T01:06:50.070Z,,,,41.8,,,55
2017-11-26T01:07:05.826Z,53,,,41.7,,,55
2017-11-26T01:07:10.070Z,,,,41.7,,,55
2017-11-26T01:07:20.071Z,,,,41.6,,,55
2017-11-26T01:07:30.070Z,,,,41.6,,,55
2017-11-26T01:07:40.074Z,,,,41.6,,,55
2017-11-26T01:07:50.074Z,52.9,,,41.5,,,55
2017-11-26T01:08:00.074Z,,,,41.5,,,55
2017-11-26T01:08:10.075Z,,,,41.4,,,55
2017-11-26T01:08:20.070Z,,,,41.4,,,55
2017-11-26T01:08:30.127Z,,,,41.4,,,55
2017-11-26T01:08:40.073Z,,,,41.2,,,55
2017-11-26T01:08:50.069Z,52.8,,,41.2,,,55
2017-11-26T01:09:00.070Z,,,,41.1,,,55
2017-11-26T01:09:10.074Z,,,,41.1,,,55
2017-11-26T01:09:20.075Z,,,,41,,,55
2017-11-26T01:09:30.074Z,52.7,,,41,,,55
2017-11-26T01:09:40.070Z,,,,41,,,55
2017-11-26T01:09:50.070Z,,,,40.9,,,55
2017-11-26T01:10:00.072Z,,,,40.9,,,55
2017-11-26T01:10:10.070Z,,,,40.8,,,55
2017-11-26T01:10:20.070Z,,,,40.8,,,55
2017-11-26T01:10:30.070Z,52.6,,,40.8,,,55
2017-11-26T01:10:40.070Z,,,,40.7,,,55
