Time,ActPow,HwTOutlet,ChActive,PrimTSet,PrimT,HwTSet,HwActive
2017-12-11T00:59:01.851Z,,34.1,,,59.3,55,
2017-12-11T00:59:11.771Z,,34.1,,,,55,
2017-12-11T00:59:21.772Z,,34.1,,,,55,
2017-12-11T00:59:31.771Z,,34,,,59.2,55,
2017-12-11T00:59:42.762Z,,34,,,,55,
2017-12-11T00:59:51.771Z,,34,,,,55,
2017-12-11T01:00:01.850Z,,33.8,,,,55,
2017-12-11T01:00:11.771Z,,33.8,,,59.1,55,
2017-12-11T01:00:21.771Z,,33.8,,,,55,
2017-12-11T01:00:31.770Z,,33.7,,,,55,
2017-12-11T01:00:41.770Z,,33.7,,,,55,
2017-12-11T01:00:51.770Z,,33.7,,,59,55,
2017-12-11T01:01:01.851Z,,33.6,,,,55,
2017-12-11T01:01:11.771Z,,33.6,,,,55,
2017-12-11T01:01:21.771Z,,33.6,,,58.9,55,
2017-12-11T01:01:31.771Z,,33.5,,,,55,
2017-12-11T01:01:41.770Z,,33.5,,,,55,
2017-12-11T01:01:51.770Z,,33.5,,,,55,
2017-12-11T01:02:01.851Z,,33.3,,,58.7,55,
2017-12-11T01:02:11.773Z,,33.3,,,,55,
2017-12-11T01:02:21.771Z,,33.3,,,,55,
2017-12-11T01:02:32.825Z,,33.3,,,,55,
2017-12-11T01:02:46.851Z,,33.2,,,58.6,55,
2017-12-11T01:02:51.772Z,,33.2,,,,55,
2017-12-11T01:03:01.851Z,,33.2,,,,55,
2017-12-11T01:03:11.772Z,,33.2,,,58.5,55,
2017-12-11T01:03:21.771Z,,33.1,,,,55,
2017-12-11T01:03:31.782Z,,33.1,,,,55,
2017-12-11T01:03:41.772Z,,33.1,,,,55,
2017-12-11T01:03:51.772Z,,33,,,58.4,55,
2017-12-11T01:04:01.851Z,,33,,,,55,
2017-12-11T01:04:11.772Z,,33,,,,55,
2017-12-11T01:04:21.771Z,,32.8,,,,55,
2017-12-11T01:04:31.771Z,,32.8,,,58.3,55,
2017-12-11T01:04:41.772Z,,32.8,,,,55,
2017-12-11T01:04:51.773Z,,32.8,,,,55,
2017-12-11T01:05:01.851Z,,32.7,,,,55,
2017-12-11T01:05:11.804Z,,32.7,,,58.2,55,
2017-12-11T01:05:26.891Z,,32.7,,,,55,
2017-12-11T01:05:31.775Z,,32.6,,,,55,
2017-12-11T01:05:41.774Z,,32.6,,,58.1,55,
2017-12-11T01:05:51.774Z,,32.6,,,,55,
2017-12-11T01:06:01.857Z,,32.6,,,,55,
2017-12-11T01:06:11.774Z,,32.5,,,,55,
2017-12-11T01:06:21.772Z,,32.5,,,58,55,
2017-12-11T01:06:31.772Z,,32.5,,,,55,
2017-12-11T01:06:41.771Z,,32.3,,,,55,
2017-12-11T01:06:52.763Z,,32.3,,,58,55,
2017-12-11T01:07:01.852Z,,32.3,,,57.8,55,
2017-12-11T01:07:11.771Z,,32.3,,,,55,
2017-12-11T01:07:21.771Z,,32.2,,,,55,
2017-12-11T01:07:31.772Z,,32.2,,,,55,
2017-12-11T01:07:41.772Z,,32.2,,,57.7,55,
2017-12-11T01:07:51.772Z,,32.1,,,,55,
2017-12-11T01:08:01.852Z,,32.1,,,,55,
2017-12-11T01:08:11.772Z,,32.1,,,57.6,55,
2017-12-11T01:08:21.772Z,,32.1,,,,55,
2017-12-11T01:08:31.771Z,,32,,,,55,
2017-12-11T01:08:41.772Z,,32,,,,55,
2017-12-11T01:08:51.773Z,,32,,,57.5,55,
2017-12-11T01:09:01.852Z,,32,,,,55,
2017-12-11T01:09:11.772Z,,31.9,,,,55,
2017-12-11T01:09:21.772Z,,31.9,,,,55,
2017-12-11T01:09:31.772Z,,31.9,,,57.4,55,
2017-12-11T01:09:42.766Z,,31.9,,,,55,
2017-12-11T01:09:51.772Z,,31.7,,,,55,
2017-12-11T01:10:01.852Z,,31.7,,,,55,
2017-12-11T01:10:11.775Z,,31.7,,,57.3,55,
2017-12-11T01:10:21.772Z,,31.6,,,,55,
2017-12-11T01:10:31.772Z,,31.6,,,,55,
2017-12-11T01:10:41.772Z,,31.6,,,,55,
2017-12-11T01:10:51.773Z,,31.6,,,57.2,55,
2017-12-11T01:11:01.853Z,,31.5,,,,55,
2017-12-11T01:11:11.773Z,,31.5,,,,55,
2017-12-11T01:11:21.772Z,,31.5,,,57,55,
2017-12-11T01:11:31.773Z,,31.5,,,,55,
2017-12-11T01:11:41.772Z,,31.4,,,,55,
2017-12-11T01:11:51.773Z,,31.4,,,,55,
2017-12-11T01:12:01.857Z,,31.4,,,56.9,55,
2017-12-11T01:12:11.773Z,,31.2,,,,55,
2017-12-11T01:12:21.772Z,,31.2,,,,55,
2017-12-11T01:12:31.772Z,,31.2,,,,55,
2017-12-11T01:12:41.773Z,,31.2,,,56.8,55,
2017-12-11T01:12:51.773Z,,31.1,,,,55,
2017-12-11T01:13:01.853Z,,31.1,,,,55,
2017-12-11T01:13:11.773Z,,31.1,,,,55,
2017-12-11T01:13:21.773Z,,31.1,,,56.7,55,
2017-12-11T01:13:31.772Z,,31,,,,55,
2017-12-11T01:13:41.772Z,,31,,,,55,
2017-12-11T01:13:51.775Z,,31,,,56.6,55,
2017-12-11T01:14:01.865Z,,31,,,,55,
2017-12-11T01:14:11.773Z,,30.9,,,,55,
2017-12-11T01:14:21.773Z,,30.9,,,,55,
2017-12-11T01:14:31.773Z,,30.9,,,56.5,55,
2017-12-11T01:14:41.773Z,,30.9,,,,55,
2017-12-11T01:14:51.773Z,,30.9,,,,55,
2017-12-11T01:15:01.862Z,,30.7,,,,55,
2017-12-11T01:15:11.773Z,,30.7,,,56.4,55,
2017-12-11T01:15:22.765Z,,30.7,,,,55,
2017-12-11T01:15:31.774Z,,30.6,,,,55,
2017-12-11T01:15:41.773Z,,30.6,,,,55,
2017-12-11T01:15:51.773Z,,30.6,,,56.2,55,
2017-12-11T01:16:01.853Z,,30.6,,,,55,
2017-12-11T01:16:11.773Z,,30.5,,,,55,
2017-12-11T01:16:21.775Z,,30.5,,,,55,
2017-12-11T01:16:31.773Z,,30.5,,,56.1,55,
2017-12-11T01:16:41.772Z,,30.5,,,,55,
2017-12-11T01:16:51.773Z,,30.4,,,,55,
2017-12-11T01:17:01.852Z,,30.4,,,,55,
2017-12-11T01:17:11.773Z,,30.4,,,56,55,
2017-12-11T01:17:21.773Z,,30.4,,,,55,
2017-12-11T01:17:31.773Z,,30.2,,,,55,
2017-12-11T01:17:41.774Z,,30.2,,,56,55,
2017-12-11T01:17:51.773Z,,30.2,,,55.9,55,
2017-12-11T01:18:01.853Z,,30.2,,,,55,
2017-12-11T01:18:12.768Z,,30.1,,,,55,
2017-12-11T01:18:21.773Z,,30.1,,,,55,
2017-12-11T01:18:31.774Z,,30.1,,,55.8,55,
2017-12-11T01:18:41.773Z,,30.1,,,,55,
2017-12-11T01:18:51.773Z,,30.1,,,,55,
2017-12-11T01:19:01.853Z,,30,,,,55,
2017-12-11T01:19:11.774Z,,30,,,55.7,55,
2017-12-11T01:19:21.773Z,,30,,,,55,
2017-12-11T01:19:31.774Z,,30,,,,55,
2017-12-11T01:19:41.775Z,,29.9,,,55.6,55,
2017-12-11T01:19:51.774Z,,29.9,,,,55,
2017-12-11T01:20:01.855Z,,29.9,,,,55,
2017-12-11T01:20:11.773Z,,29.9,,,,55,
