Time,ActPow,HwTSet,PrimT,HwActive,HwTOutlet,PrimTSet,ChActive
2018-01-12T00:42:21.069Z,,55,,,24.8,,
2018-01-12T00:42:31.069Z,,55,,,24.8,,
2018-01-12T00:42:41.072Z,,55,,,24.8,,
2018-01-12T00:42:51.070Z,,55,43.7,,24.6,,
2018-01-12T00:43:01.069Z,,55,,,24.6,,
2018-01-12T00:43:11.074Z,,55,,,24.6,,
2018-01-12T00:43:21.069Z,,55,,,24.6,,
2018-01-12T00:43:32.114Z,,55,,,24.6,,
2018-01-12T00:43:46.089Z,,55,,,24.6,,
2018-01-12T00:43:51.069Z,,55,43.6,,24.6,,
2018-01-12T00:44:01.069Z,,55,,,24.6,,
2018-01-12T00:44:11.070Z,,55,,,24.5,,
2018-01-12T00:44:21.070Z,,55,,,24.5,,
2018-01-12T00:44:31.070Z,,55,,,24.5,,
2018-01-12T00:44:41.070Z,,55,,,24.5,,
2018-01-12T00:44:51.069Z,,55,,,24.5,,
2018-01-12T00:45:01.071Z,,55,43.5,,24.5,,
2018-01-12T00:45:11.737Z,,55,,,24.5,,
2018-01-12T00:45:21.069Z,,55,,,24.5,,
2018-01-12T00:45:31.069Z,,55,,,24.5,,
2018-01-12T00:45:41.070Z,,55,,,24.4,,
2018-01-12T00:45:51.070Z,,55,,,24.4,,
2018-01-12T00:46:01.069Z,,55,43.4,,24.4,,
2018-01-12T00:46:11.070Z,,55,,,24.4,,
2018-01-12T00:46:21.070Z,,55,,,24.4,,
2018-01-12T00:46:36.094Z,,55,,,24.4,,
2018-01-12T00:46:41.070Z,,55,,,24.4,,
2018-01-12T00:46:51.070Z,,55,43.3,,24.4,,
2018-01-12T00:47:01.070Z,,55,,,24.4,,
2018-01-12T00:47:11.070Z,,55,,,24.4,,
2018-01-12T00:47:26.161Z,,55,,,24.2,,
2018-01-12T00:47:31.070Z,,55,,,24.2,,
2018-01-12T00:47:41.069Z,,55,,,24.2,,
2018-01-12T00:47:51.070Z,,55,,,24.2,,
2018-01-12T00:48:02.170Z,,55,43.2,,24.2,,
2018-01-12T00:48:11.070Z,,55,,,24.2,,
2018-01-12T00:48:21.071Z,,55,,,24.2,,
2018-01-12T00:48:31.071Z,,55,,,24.2,,
2018-01-12T00:48:41.070Z,,55,,,24.1,,
2018-01-12T00:48:51.071Z,,55,43.1,,24.1,,
2018-01-12T00:49:01.073Z,,55,,,24.1,,
2018-01-12T00:49:11.070Z,,55,,,24.1,,
2018-01-12T00:49:21.070Z,,55,,,24.1,,
2018-01-12T00:49:31.071Z,,55,,,24.1,,
2018-01-12T00:49:41.070Z,,55,,,24.1,,
2018-01-12T00:49:51.073Z,,55,43,,24.1,,
2018-01-12T00:50:01.071Z,,55,,,24.1,,
2018-01-12T00:50:11.070Z,,55,,,24.1,,
2018-01-12T00:50:21.072Z,,55,,,23.9,,
2018-01-12T00:50:31.071Z,,55,,,23.9,,
2018-01-12T00:50:41.074Z,,55,,,23.9,,
2018-01-12T00:50:51.071Z,,55,43,,23.9,,
2018-01-12T00:51:01.070Z,,55,42.8,,23.9,,
2018-01-12T00:51:11.070Z,,55,,,23.9,,
2018-01-12T00:51:21.071Z,,55,,,23.9,,
2018-01-12T00:51:31.071Z,,55,,,23.9,,
2018-01-12T00:51:41.071Z,,55,,,23.8,,
2018-01-12T00:51:51.328Z,,55,,,23.8,,
2018-01-12T00:52:01.070Z,,55,42.7,,23.8,,
2018-01-12T00:52:11.070Z,,55,,,23.8,,
2018-01-12T00:52:21.071Z,,55,,,23.8,,
2018-01-12T00:52:31.071Z,,55,,,23.8,,
2018-01-12T00:52:41.071Z,,55,,,23.8,,
2018-01-12T00:52:51.071Z,,55,,,23.8,,
2018-01-12T00:53:01.070Z,,55,42.6,,23.8,,
2018-01-12T00:53:11.071Z,,55,,,23.8,,
2018-01-12T00:53:21.071Z,,55,,,23.7,,
2018-01-12T00:53:31.073Z,,55,,,23.7,,
2018-01-12T00:53:42.065Z,,55,,,23.7,,
2018-01-12T00:53:51.071Z,,55,,,23.7,,
2018-01-12T00:54:01.071Z,,55,42.5,,23.7,,
2018-01-12T00:54:11.071Z,,55,,,23.7,,
2018-01-12T00:54:21.071Z,,55,,,23.7,,
2018-01-12T00:54:31.071Z,,55,,,23.7,,
2018-01-12T00:54:41.071Z,,55,,,23.7,,
2018-01-12T00:54:51.070Z,,55,,,23.7,,
2018-01-12T00:55:01.071Z,,55,,,23.7,,
2018-01-12T00:55:11.071Z,,55,42.4,,23.7,,
2018-01-12T00:55:21.071Z,,55,,,23.7,,
2018-01-12T00:55:31.072Z,,55,,,23.7,,
2018-01-12T00:55:41.075Z,,55,,,23.7,,
2018-01-12T00:55:51.071Z,,55,,,23.5,,
2018-01-12T00:56:01.071Z,,55,,,23.7,,
2018-01-12T00:56:11.071Z,,55,42.3,,23.5,,
2018-01-12T00:56:21.071Z,,55,,,23.5,,
2018-01-12T00:56:32.070Z,,55,,,23.5,,
2018-01-12T00:56:41.071Z,,55,,,23.5,,
2018-01-12T00:56:51.072Z,,55,,,23.5,,
2018-01-12T00:57:01.080Z,,55,,,23.5,,
2018-01-12T00:57:11.071Z,,55,42.2,,23.5,,
2018-01-12T00:57:21.071Z,,55,,,23.5,,
2018-01-12T00:57:31.072Z,,55,,,23.5,,
2018-01-12T00:57:41.073Z,,55,,,23.5,,
2018-01-12T00:57:51.071Z,,55,,,23.4,,
2018-01-12T00:58:01.071Z,,55,,,23.5,,
2018-01-12T00:58:11.073Z,,55,42,,23.4,,
2018-01-12T00:58:21.071Z,,55,,,23.4,,
2018-01-12T00:58:31.071Z,,55,,,23.4,,
2018-01-12T00:58:41.072Z,,55,,,23.4,,
2018-01-12T00:58:51.072Z,,55,,,23.4,,
2018-01-12T00:59:01.071Z,,55,,,23.4,,
2018-01-12T00:59:11.072Z,,55,41.9,,23.4,,
2018-01-12T00:59:26.092Z,,55,,,23.4,,
2018-01-12T00:59:31.072Z,,55,,,23.4,,
2018-01-12T00:59:41.072Z,,55,,,23.4,,
2018-01-12T00:59:51.075Z,,55,,,23.4,,
2018-01-12T01:00:01.071Z,,55,,,23.4,,
2018-01-12T01:00:11.072Z,,55,,,23.4,,
2018-01-12T01:00:21.073Z,,55,41.8,,23.4,,
2018-01-12T01:00:31.073Z,,55,,,23.4,,
2018-01-12T01:00:41.072Z,,55,,,23.2,,
2018-01-12T01:00:51.073Z,,55,,,23.2,,
2018-01-12T01:01:01.075Z,,55,,,23.2,,
2018-01-12T01:01:11.075Z,,55,,,23.2,,
2018-01-12T01:01:21.072Z,,55,,,23.2,,
2018-01-12T01:01:31.077Z,,55,41.7,,23.2,,
2018-01-12T01:01:41.078Z,,55,,,23.2,,
2018-01-12T01:01:51.074Z,,55,,,23.2,,
2018-01-12T01:02:01.072Z,,55,,,23.2,,
2018-01-12T01:02:16.093Z,,55,,,23.2,,
2018-01-12T01:02:21.076Z,,55,,,23.2,,
2018-01-12T01:02:31.075Z,,55,,,23.2,,
2018-01-12T01:02:41.072Z,,55,41.6,,23.2,,
2018-01-12T01:02:51.077Z,,55,,,23.2,,
2018-01-12T01:03:01.072Z,,55,,,23.1,,
2018-01-12T01:03:11.072Z,,55,,,23.1,,
2018-01-12T01:03:21.077Z,,55,,,23.1,,
2018-01-12T01:03:31.074Z,,55,,,23.1,,
2018-01-12T01:03:41.077Z,,55,,,23.1,,
2018-01-12T01:03:51.072Z,,55,41.5,,23.1,,
2018-01-12T01:04:01.089Z,,55,,,23.1,,
