Time,HwActive,PrimTSet,ChActive,HwTOutlet,ActPow,HwTSet,PrimT
2017-11-25T01:15:29.886Z,,,,33.1,,55,
2017-11-25T01:15:39.884Z,,,,33.1,,55,
2017-11-25T01:15:49.886Z,,,,33.1,,55,
2017-11-25T01:15:59.882Z,,,,33.1,,55,48.3
2017-11-25T01:16:09.885Z,,,,33.1,,55,
2017-11-25T01:16:20.880Z,,,,33,,55,
2017-11-25T01:16:29.881Z,,,,33,,55,
2017-11-25T01:16:39.881Z,,,,33,,55,
2017-11-25T01:16:49.885Z,,,,33,,55,
2017-11-25T01:16:59.881Z,,,,33,,55,48.2
2017-11-25T01:17:09.888Z,,,,32.8,,55,
2017-11-25T01:17:19.882Z,,,,32.8,,55,
2017-11-25T01:17:29.882Z,,,,32.8,,55,
2017-11-25T01:17:39.881Z,,,,32.8,,55,
2017-11-25T01:17:49.882Z,,,,32.8,,55,
2017-11-25T01:17:59.887Z,,,,32.8,,55,48.1
2017-11-25T01:18:09.881Z,,,,32.7,,55,
2017-11-25T01:18:19.886Z,,,,32.7,,55,
2017-11-25T01:18:29.884Z,,,,32.7,,55,
2017-11-25T01:18:39.882Z,,,,32.7,,55,
2017-11-25T01:18:49.882Z,,,,32.7,,55,
2017-11-25T01:18:59.882Z,,,,32.6,,55,
2017-11-25T01:19:10.874Z,,,,32.6,,55,48
2017-11-25T01:19:19.882Z,,,,32.6,,55,
2017-11-25T01:19:29.882Z,,,,32.6,,55,
2017-11-25T01:19:39.882Z,,,,32.5,,55,
2017-11-25T01:19:49.882Z,,,,32.5,,55,
2017-11-25T01:19:59.882Z,,,,32.5,,55,
2017-11-25T01:20:09.882Z,,,,32.5,,55,47.8
