Time,PrimT,HwActive,ActPow,PrimTSet,ChActive,HwTSet,HwTOutlet
2017-12-25T01:12:53.463Z,12.3,,,,,55,12.8
2017-12-25T01:13:03.463Z,12.5,,,,,55,12.6
2017-12-25T01:13:13.463Z,12.3,,,,,55,12.8
2017-12-25T01:13:23.464Z,12.5,,,,,55,12.8
2017-12-25T01:13:33.463Z,12.3,,,,,55,12.8
2017-12-25T01:13:43.463Z,12.5,,,,,55,12.6
2017-12-25T01:13:53.463Z,12.3,,,,,55,12.8
2017-12-25T01:14:03.463Z,,,,,,55,12.8
2017-12-25T01:14:13.463Z,12.5,,,,,55,12.8
2017-12-25T01:14:23.463Z,,,,,,55,12.8
2017-12-25T01:14:33.466Z,12.3,,,,,55,12.6
2017-12-25T01:14:43.465Z,12.5,,,,,55,12.8
2017-12-25T01:14:53.466Z,,,,,,55,12.6
2017-12-25T01:15:03.463Z,12.3,,,,,55,12.8
2017-12-25T01:15:13.463Z,,,,,,55,12.6
2017-12-25T01:15:23.466Z,12.5,,,,,55,12.8
2017-12-25T01:15:33.463Z,12.3,,,,,55,12.6
2017-12-25T01:15:43.463Z,,,,,,55,12.6
2017-12-25T01:15:53.465Z,12.5,,,,,55,12.6
2017-12-25T01:16:03.465Z,12.3,,,,,55,12.8
2017-12-25T01:16:13.468Z,12.5,,,,,55,12.8
2017-12-25T01:16:23.463Z,,,,,,55,12.6
2017-12-25T01:16:33.464Z,12.3,,,,,55,12.6
2017-12-25T01:16:43.466Z,,,,,,55,12.8
2017-12-25T01:16:53.469Z,,,,,,55,12.8
2017-12-25T01:17:03.463Z,,,,,,55,12.8
2017-12-25T01:17:14.458Z,,,,,,55,12.6
2017-12-25T01:17:23.467Z,12.5,,,,,55,12.8
2017-12-25T01:17:33.463Z,12.3,,,,,55,12.6
2017-12-25T01:17:43.463Z,12.5,,,,,55,12.8
2017-12-25T01:17:53.463Z,,,,,,55,12.6
2017-12-25T01:18:03.466Z,12.3,,,,,55,12.6
