Time,ActPow,PrimT,HwTOutlet,HwActive,ChActive,PrimTSet,HwTSet
2017-11-19T01:13:01.746Z,,,31.6,,,,55
2017-11-19T01:13:11.747Z,,,31.6,,,,55
2017-11-19T01:13:21.746Z,,,31.6,,,,55
2017-11-19T01:13:31.836Z,,,31.5,,,,55
2017-11-19T01:13:41.747Z,,,31.5,,,,55
2017-11-19T01:13:51.752Z,,49.8,31.5,,,,55
2017-11-19T01:14:01.756Z,,,31.5,,,,55
2017-11-19T01:14:11.746Z,,,31.5,,,,55
2017-11-19T01:14:21.748Z,,,31.4,,,,55
2017-11-19T01:14:31.826Z,,,31.4,,,,55
2017-11-19T01:14:41.748Z,,49.7,31.4,,,,55
2017-11-19T01:14:51.746Z,,,31.4,,,,55
2017-11-19T01:15:01.746Z,,,31.4,,,,55
2017-11-19T01:15:11.747Z,,,31.2,,,,55
2017-11-19T01:15:21.751Z,,,31.2,,,,55
2017-11-19T01:15:31.837Z,,,31.2,,,,55
2017-11-19T01:15:41.747Z,,49.5,31.2,,,,55
2017-11-19T01:15:51.746Z,,,31.2,,,,55
2017-11-19T01:16:01.747Z,,,31.2,,,,55
2017-11-19T01:16:11.751Z,,,31.1,,,,55
2017-11-19T01:16:21.747Z,,,31.1,,,,55
2017-11-19T01:16:31.837Z,,49.4,31.1,,,,55
2017-11-19T01:16:42.738Z,,,31.1,,,,55
2017-11-19T01:16:51.746Z,,,31.1,,,,55
2017-11-19T01:17:01.750Z,,,31.1,,,,55
2017-11-19T01:17:11.747Z,,49.3,31,,,,55
2017-11-19T01:17:21.752Z,,,31,,,,55
2017-11-19T01:17:31.827Z,,,31,,,,55
2017-11-19T01:17:41.747Z,,,31,,,,55
2017-11-19T01:17:51.747Z,,,31,,,,55
2017-11-19T01:18:01.751Z,,,30.9,,,,55
2017-11-19T01:18:11.747Z,,49.2,30.9,,,,55
2017-11-19T01:18:21.753Z,,,30.9,,,,55
2017-11-19T01:18:31.838Z,,,30.9,,,,55
2017-11-19T01:18:41.747Z,,,30.9,,,,55
2017-11-19T01:18:51.747Z,,,30.7,,,,55
2017-11-19T01:19:01.747Z,,49.1,30.7,,,,55
2017-11-19T01:19:11.749Z,,,30.7,,,,55
