Time,PrimTSet,HwTOutlet,PrimT,HwActive,HwTSet,ActPow,ChActive
2018-02-12T01:15:55.025Z,,24.4,45.9,,55,,
2018-02-12T01:16:05.026Z,,24.4,,,55,,
2018-02-12T01:16:20.119Z,,24.4,,,55,,
2018-02-12T01:16:25.024Z,,24.4,,,55,,
2018-02-12T01:16:35.025Z,,24.4,45.8,,55,,
2018-02-12T01:16:45.024Z,,24.4,,,55,,
2018-02-12T01:16:55.024Z,,24.4,,,55,,
2018-02-12T01:17:05.025Z,,24.2,,,55,,
2018-02-12T01:17:20.075Z,,24.2,,,55,,
2018-02-12T01:17:25.024Z,,24.2,,,55,,
2018-02-12T01:17:35.025Z,,24.2,45.7,,55,,
2018-02-12T01:17:45.024Z,,24.2,,,55,,
2018-02-12T01:17:55.025Z,,24.2,,,55,,
2018-02-12T01:18:05.025Z,,24.2,,,55,,
2018-02-12T01:18:15.025Z,,24.2,,,55,,
2018-02-12T01:18:25.025Z,,24.1,45.6,,55,,
2018-02-12T01:18:35.025Z,,24.1,,,55,,
2018-02-12T01:18:45.027Z,,24.1,,,55,,
2018-02-12T01:18:55.025Z,,24.1,,,55,,
2018-02-12T01:19:05.024Z,,24.1,45.5,,55,,
2018-02-12T01:19:15.025Z,,24.1,,,55,,
2018-02-12T01:19:25.024Z,,23.9,,,55,,
2018-02-12T01:19:35.024Z,,23.9,,,55,,
2018-02-12T01:19:45.025Z,,23.9,,,55,,
2018-02-12T01:19:55.025Z,,23.9,,,55,,
2018-02-12T01:20:05.026Z,,23.9,45.3,,55,,
2018-02-12T01:20:15.025Z,,23.9,,,55,,
2018-02-12T01:20:25.025Z,,23.9,,,55,,
