Time,ActPow,HwActive,PrimT,PrimTSet,HwTOutlet,HwTSet,ChActive
2017-12-20T00:55:13.465Z,,,54,,45.5,55,
2017-12-20T00:55:23.464Z,,,53.8,,,,
2017-12-20T00:55:33.464Z,,,53.4,,45.6,55,
2017-12-20T00:55:43.463Z,,,53.1,,45.6,55,
2017-12-20T00:55:53.464Z,,,52.9,,,,
2017-12-20T00:56:03.464Z,,,52.7,,45.7,55,
2017-12-20T00:56:13.465Z,,,52.4,,45.6,55,
2017-12-20T00:56:23.464Z,,,52.3,,45.6,55,
2017-12-20T00:56:33.465Z,,,52.1,,45.6,55,
2017-12-20T00:56:43.465Z,,,52,,45.6,55,
2017-12-20T00:56:53.464Z,,,51.8,,,,
2017-12-20T00:57:03.464Z,,,51.7,,45.6,55,
2017-12-20T00:57:13.545Z,,,51.8,,45.5,55,
2017-12-20T00:57:24.455Z,,,51.9,,45.5,55,
2017-12-20T00:57:33.464Z,,,52.1,,,,
2017-12-20T00:57:43.464Z,,,52.2,,45.3,55,
2017-12-20T00:57:53.464Z,,,52.3,,45.3,55,
2017-12-20T00:58:03.464Z,,,52.4,,45.2,55,
2017-12-20T00:58:13.464Z,,,52.6,,45.2,55,
2017-12-20T00:58:23.464Z,,,52.7,,45.1,55,
2017-12-20T00:58:33.464Z,,,,,45.1,55,
2017-12-20T00:58:43.465Z,,,52.8,,45,55,
2017-12-20T00:58:53.464Z,,,52.9,,45,55,
2017-12-20T00:59:03.464Z,,,,,45,55,
2017-12-20T00:59:13.465Z,,,53,,,,
2017-12-20T00:59:23.465Z,,,53.1,,44.9,55,
2017-12-20T00:59:33.465Z,,,,,44.8,55,
2017-12-20T00:59:43.464Z,,,53.2,,44.8,55,
2017-12-20T00:59:53.464Z,,,,,44.7,55,
2017-12-20T01:00:03.465Z,,,53.3,,44.7,55,
2017-12-20T01:00:23.464Z,,,53.4,,44.5,55,
2017-12-20T01:00:33.465Z,,,,,44.4,55,
2017-12-20T01:00:53.465Z,,,53.6,,44.3,55,
2017-12-20T01:01:03.464Z,,,,,44.3,55,
2017-12-20T01:01:13.465Z,,,,,44.2,55,
2017-12-20T01:01:23.464Z,,,53.7,,44.2,55,
2017-12-20T01:01:33.464Z,,,,,44.1,55,
2017-12-20T01:01:43.466Z,,,,,44.1,55,
2017-12-20T01:01:53.466Z,,,,,44,55,
2017-12-20T01:02:03.466Z,,,53.8,,44,55,
2017-12-20T01:02:13.466Z,,,,,43.9,55,
2017-12-20T01:02:23.467Z,,,,,43.9,55,
2017-12-20T01:02:33.465Z,,,,,43.7,55,
2017-12-20T01:02:43.465Z,,,,,43.7,55,
2017-12-20T01:02:53.465Z,,,53.9,,43.6,55,
2017-12-20T01:03:08.774Z,,,,,43.6,55,
2017-12-20T01:03:23.465Z,,,,,43.5,55,
2017-12-20T01:03:33.465Z,,,,,43.5,55,
2017-12-20T01:03:53.465Z,,0,,,43.4,55,2
2017-12-20T01:04:03.466Z,79,,58.3,,43.3,55,
2017-12-20T01:04:13.465Z,41,,62.9,,43.3,55,
2017-12-20T01:04:23.465Z,29,,60.8,,43.2,55,
2017-12-20T01:04:34.456Z,,,55.9,,43.2,55,
2017-12-20T01:04:43.466Z,,,52.7,,,,
2017-12-20T01:04:53.465Z,,0,51.4,,43.1,55,0
2017-12-20T01:05:03.465Z,0,0,50.8,5,43.1,55,0
2017-12-20T01:05:13.467Z,,,50,,43,55,
2017-12-20T01:05:23.465Z,,,49.4,,43,55,
2017-12-20T01:05:33.465Z,,,48.9,,43,55,
2017-12-20T01:05:43.465Z,,,48.7,,43,55,
2017-12-20T01:05:53.466Z,,,,,43,55,
2017-12-20T01:06:03.465Z,,,48.4,,43,55,
2017-12-20T01:06:13.466Z,,,48.2,,43,55,
2017-12-20T01:06:23.468Z,,,47.8,,,,
2017-12-20T01:06:33.466Z,,,47.5,,42.8,55,
2017-12-20T01:06:43.466Z,,,47.3,,43,55,
2017-12-20T01:06:53.465Z,,,47,,,,
2017-12-20T01:07:03.465Z,,,46.9,,42.8,55,
2017-12-20T01:07:13.466Z,,,46.8,,42.8,55,
2017-12-20T01:07:24.459Z,,,46.6,,42.8,55,
2017-12-20T01:07:33.465Z,,,46.5,,,,
2017-12-20T01:07:43.465Z,,,46.4,,42.7,55,
2017-12-20T01:07:53.467Z,,,,,42.7,55,
2017-12-20T01:08:03.466Z,,,46.2,,,,
2017-12-20T01:08:13.466Z,,,46.4,,42.6,55,
2017-12-20T01:08:23.466Z,,,46.5,,42.6,55,
2017-12-20T01:08:33.465Z,,,46.6,,,,
2017-12-20T01:08:43.466Z,,,46.7,,42.5,55,
2017-12-20T01:08:53.468Z,,,,,42.5,55,
2017-12-20T01:09:03.465Z,,,46.9,,42.4,55,
2017-12-20T01:09:23.466Z,,,47,,42.3,55,
2017-12-20T01:09:33.466Z,,,,,42.3,55,
2017-12-20T01:09:43.465Z,,,47.2,,42.2,55,
2017-12-20T01:09:53.465Z,,,47.3,,,,
2017-12-20T01:10:03.466Z,,,,,42.2,55,
2017-12-20T01:10:13.472Z,,,47.4,,42,55,
2017-12-20T01:10:23.466Z,,,,,41.9,55,
2017-12-20T01:10:43.466Z,,,47.5,,41.8,55,
2017-12-20T01:10:53.466Z,,,,,41.8,55,
