Time,PrimT,HwTSet,PrimTSet,HwActive,ChActive,HwTOutlet,ActPow
2018-02-15T01:16:49.728Z,,54,,,,23.8,
2018-02-15T01:16:59.899Z,,54,,,,23.7,
2018-02-15T01:17:09.998Z,,54,,,,23.7,
2018-02-15T01:17:24.819Z,,54,,,,23.8,30
2018-02-15T01:17:34.777Z,,54,,,,23.8,29
2018-02-15T01:17:39.789Z,,54,,,,23.7,
2018-02-15T01:17:49.768Z,64.6,54,,,,23.7,
2018-02-15T01:17:59.809Z,,54,,,,23.7,30
2018-02-15T01:18:09.698Z,,54,,,,23.7,29
2018-02-15T01:18:19.810Z,,54,,,,23.8,30
2018-02-15T01:18:29.745Z,,54,,,,23.6,29
2018-02-15T01:18:40.033Z,,54,,,,23.8,
2018-02-15T01:18:49.700Z,,54,,,,23.6,
2018-02-15T01:18:59.825Z,64.7,54,,,,23.6,
2018-02-15T01:19:09.711Z,,54,,,,23.8,
