Time,ChActive,HwActive,HwTSet,HwTOutlet,PrimTSet,PrimT,ActPow
2017-12-21T00:57:18.654Z,,,54,22.6,,,
2017-12-21T00:57:28.655Z,,,54,22.5,,,
2017-12-21T00:57:38.652Z,,,54,22.5,,,
2017-12-21T00:57:48.653Z,,,54,22.5,,,
2017-12-21T00:57:58.657Z,,,54,22.5,,,
2017-12-21T00:58:08.765Z,,,54,22.5,,,
2017-12-21T00:58:18.654Z,,,54,22.4,,,
2017-12-21T00:58:28.654Z,,,54,22.4,,,
2017-12-21T00:58:38.654Z,,,54,22.4,,,
2017-12-21T00:58:48.653Z,,,54,22.4,,,
2017-12-21T00:58:58.659Z,,,54,22.4,,,
2017-12-21T00:59:08.759Z,,,54,22.4,,,
2017-12-21T00:59:18.654Z,,,54,22.4,,,
2017-12-21T00:59:28.655Z,,,54,22.2,,,
2017-12-21T00:59:38.653Z,,,54,22.2,,,
2017-12-21T00:59:48.656Z,,,54,22.2,,,
2017-12-21T00:59:58.656Z,,,54,22.2,,,
2017-12-21T01:00:08.758Z,,,54,22.2,,,
2017-12-21T01:00:18.658Z,,,54,22.2,,,
2017-12-21T01:00:28.659Z,,,54,22.1,,,
2017-12-21T01:00:38.656Z,,,54,22.1,,,
2017-12-21T01:00:48.659Z,,,54,22.1,,,
2017-12-21T01:00:58.661Z,,,54,22.1,,,
2017-12-21T01:01:08.745Z,,,54,22.1,,,
2017-12-21T01:01:18.661Z,,,54,22.1,,,
2017-12-21T01:01:28.659Z,,,54,22,,,
2017-12-21T01:01:38.661Z,,,54,22,,,
2017-12-21T01:01:48.654Z,,,54,22,,,
2017-12-21T01:01:58.660Z,,,54,22,,,
2017-12-21T01:02:08.846Z,,,54,22,,,
2017-12-21T01:02:18.656Z,,,54,22,,,
2017-12-21T01:02:28.657Z,,,54,22,,,
2017-12-21T01:02:38.657Z,,,54,21.9,,,
2017-12-21T01:02:48.658Z,,,54,21.9,,,
2017-12-21T01:02:58.659Z,,,54,21.9,,,
2017-12-21T01:03:08.759Z,,,54,21.9,,,
2017-12-21T01:03:18.660Z,,,54,21.9,,,
2017-12-21T01:03:28.660Z,,,54,21.7,,,
2017-12-21T01:03:38.661Z,,,54,21.7,,,
2017-12-21T01:03:48.662Z,,,54,21.7,,,
2017-12-21T01:03:58.659Z,,,54,21.7,,,
2017-12-21T01:04:08.780Z,,,54,21.7,,,
2017-12-21T01:04:18.660Z,,,54,21.7,,,
2017-12-21T01:04:28.663Z,,,54,21.6,,,
2017-12-21T01:04:38.660Z,,,54,21.6,,,
2017-12-21T01:04:48.656Z,,,54,21.6,,,
2017-12-21T01:04:58.657Z,,,54,21.6,,,
2017-12-21T01:05:08.747Z,,,54,21.6,,,
2017-12-21T01:05:18.658Z,,,54,21.6,,,
2017-12-21T01:05:28.659Z,,,54,21.5,,,
2017-12-21T01:05:38.660Z,,,54,21.5,,,
2017-12-21T01:05:48.660Z,,,54,21.5,,,
2017-12-21T01:05:58.662Z,,,54,21.5,,,
2017-12-21T01:06:08.752Z,,,54,21.5,,,
2017-12-21T01:06:18.661Z,,,54,21.5,,,
2017-12-21T01:06:28.660Z,,,54,21.5,,,
2017-12-21T01:06:38.657Z,,,54,21.3,,,
2017-12-21T01:06:48.667Z,,,54,21.3,,,
2017-12-21T01:06:58.657Z,,,54,21.3,,,
2017-12-21T01:07:08.751Z,,,54,21.3,,,
2017-12-21T01:07:18.666Z,,,54,21.3,,,
2017-12-21T01:07:28.659Z,,,54,21.3,,,
2017-12-21T01:07:38.668Z,,,54,21.2,,,
2017-12-21T01:07:48.658Z,,,54,21.2,,,
2017-12-21T01:07:58.664Z,1,0,54,21.2,61,24.8,0
2017-12-21T01:08:08.753Z,,,54,21.2,,,
2017-12-21T01:08:18.658Z,,,54,21.2,,,
2017-12-21T01:08:28.661Z,,,54,21.2,,,
2017-12-21T01:08:38.659Z,,,54,21.2,,,
2017-12-21T01:08:48.659Z,,,54,21.2,,,
2017-12-21T01:08:58.658Z,,,54,21.1,,,
2017-12-21T01:09:08.764Z,,,54,21.1,,,
2017-12-21T01:09:18.659Z,,,54,21.1,,,
2017-12-21T01:09:28.660Z,,,54,21.1,,,
2017-12-21T01:09:38.660Z,,,54,21.1,,,
2017-12-21T01:09:48.660Z,,,54,21.1,,24.7,
2017-12-21T01:09:58.667Z,1,0,54,21.1,,26.3,43
2017-12-21T01:10:08.771Z,,,54,20.9,,31.2,34
2017-12-21T01:10:18.669Z,,,54,20.9,,30.9,29
2017-12-21T01:10:28.661Z,,,54,20.9,,31.1,
2017-12-21T01:10:38.661Z,,,54,20.9,,31.6,
2017-12-21T01:10:48.663Z,,,54,20.9,,32,
2017-12-21T01:10:58.659Z,,,54,21.1,,32.3,
2017-12-21T01:11:08.759Z,,,54,21.2,,32.6,
2017-12-21T01:11:18.661Z,,,54,21.3,,32.8,
