Time,PrimTSet,HwTOutlet,HwActive,HwTSet,ActPow,PrimT,ChActive
2017-12-15T00:48:43.748Z,,24.7,,54,,37.9,
2017-12-15T00:48:53.750Z,,24.4,,54,,37.8,
2017-12-15T00:49:03.850Z,,24.3,,54,,37.6,
2017-12-15T00:49:23.746Z,,24,,54,,,
2017-12-15T00:49:33.749Z,,23.9,,54,,37.5,
2017-12-15T00:49:43.746Z,,24.2,,54,,,
2017-12-15T00:49:53.748Z,,24.2,,54,,,
2017-12-15T00:50:03.864Z,,24,,54,,,
2017-12-15T00:50:13.752Z,,23.7,,54,,,
2017-12-15T00:50:23.751Z,,23.3,,54,,,
2017-12-15T00:50:33.750Z,,23,,54,,,
2017-12-15T00:50:43.748Z,,22.7,,54,,,
2017-12-15T00:50:53.756Z,,22.5,,54,,,
2017-12-15T00:51:03.853Z,,22.2,,54,,,
2017-12-15T00:51:13.757Z,,22,,54,,,
2017-12-15T00:51:23.753Z,,21.9,,54,,37.6,
2017-12-15T00:51:33.748Z,,21.6,,54,,,
2017-12-15T00:51:43.753Z,,21.3,,54,,,
2017-12-15T00:51:53.753Z,,21.2,,54,,37.7,
2017-12-15T00:52:03.848Z,,20.9,,54,,,
2017-12-15T00:52:13.778Z,,20.8,,54,,37.8,
2017-12-15T00:52:23.755Z,,20.6,,54,,,
2017-12-15T00:52:33.755Z,,20.5,,54,,37.9,
2017-12-15T00:52:43.749Z,,20.4,,54,,,
2017-12-15T00:52:53.749Z,,20.2,,54,,38,
2017-12-15T00:53:03.840Z,,20.1,,54,,,
2017-12-15T00:53:13.755Z,,20,,54,,,
2017-12-15T00:53:23.750Z,,19.8,,54,,38.1,
2017-12-15T00:53:33.751Z,,19.7,,54,,,
2017-12-15T00:53:43.751Z,,19.7,,54,,,
2017-12-15T00:53:53.752Z,,19.6,,54,,,
2017-12-15T00:54:03.884Z,,19.6,,54,,38.2,
2017-12-15T00:54:23.756Z,,19.4,,54,,,
2017-12-15T00:54:33.860Z,,19.3,,54,,,
2017-12-15T00:54:43.750Z,,19.2,,54,,,
2017-12-15T00:54:53.757Z,,19.2,,54,,,
2017-12-15T00:55:03.857Z,,19,,54,,,
2017-12-15T00:55:13.754Z,,19,,54,,,
2017-12-15T00:55:23.757Z,,19,,54,,,
2017-12-15T00:55:33.751Z,,18.9,,54,,,
2017-12-15T00:55:43.751Z,,18.9,,54,,,
2017-12-15T00:55:53.752Z,,18.8,,54,,,
2017-12-15T00:56:03.855Z,,18.6,,54,,38.1,
2017-12-15T00:56:13.754Z,,18.6,,54,,,
2017-12-15T00:56:23.751Z,,18.6,,54,,,
2017-12-15T00:56:33.755Z,,18.5,,54,,,
2017-12-15T00:56:43.754Z,,18.5,,54,,,
2017-12-15T00:56:53.761Z,,18.5,,54,,,
2017-12-15T00:57:03.861Z,,18.4,,54,,,
2017-12-15T00:57:13.756Z,,18.4,,54,,,
2017-12-15T00:57:23.765Z,,18.4,,54,,38,
2017-12-15T00:57:33.760Z,,18.2,,54,,,
2017-12-15T00:57:43.751Z,,18.2,,54,,,
2017-12-15T00:57:53.758Z,61,18.2,0,54,0,38,2
2017-12-15T00:58:03.855Z,,18.1,,54,,,
2017-12-15T00:58:23.751Z,,18.1,,54,,37.9,
2017-12-15T00:58:33.754Z,,17.9,,54,,37.9,
2017-12-15T00:58:43.755Z,,17.9,,54,,,
2017-12-15T00:58:53.754Z,,17.9,,54,,,
2017-12-15T00:59:03.856Z,,17.8,,54,,,
2017-12-15T00:59:13.757Z,,17.8,,54,,,
2017-12-15T00:59:23.751Z,,17.8,,54,,,
2017-12-15T00:59:33.764Z,,17.8,,54,,37.8,
2017-12-15T00:59:43.752Z,,17.8,,54,,,
2017-12-15T00:59:53.752Z,,17.7,,54,,,
2017-12-15T01:00:03.843Z,,17.7,,54,,,
2017-12-15T01:00:13.758Z,,17.7,,54,,,
2017-12-15T01:00:23.753Z,,17.7,,54,,37.7,
2017-12-15T01:00:33.753Z,,17.7,,54,,,
2017-12-15T01:00:43.763Z,,17.5,,54,,,
2017-12-15T01:00:53.754Z,,17.5,,54,,,
2017-12-15T01:01:03.844Z,,17.4,,54,,,
2017-12-15T01:01:13.761Z,,,0,,40,41.5,2
2017-12-15T01:01:23.759Z,,17.4,,54,29,42.2,
2017-12-15T01:01:33.761Z,,17.8,,54,,40.4,
2017-12-15T01:01:43.757Z,,18.5,,54,,41.3,
2017-12-15T01:01:53.754Z,,19,,54,,,
2017-12-15T01:02:03.850Z,,19.8,,54,,,
2017-12-15T01:02:23.773Z,,20.9,,54,,,
2017-12-15T01:02:33.764Z,,21.2,,54,,,
2017-12-15T01:02:43.775Z,,21.6,,54,,,
2017-12-15T01:02:53.768Z,,21.6,,54,,41.4,
2017-12-15T01:03:03.853Z,,21.7,,54,,41.5,
2017-12-15T01:03:13.776Z,,22,,54,,,
2017-12-15T01:03:23.773Z,,22,,54,,41.7,
2017-12-15T01:03:33.762Z,,22.2,,54,,41.8,
2017-12-15T01:03:43.761Z,,22.4,,54,,,
2017-12-15T01:03:53.760Z,,22.5,,54,,,
