Time,HwTOutlet,HwActive,PrimT,HwTSet,ChActive,PrimTSet,ActPow
2017-12-20T01:11:27.844Z,25.5,,37.8,54,,,29
2017-12-20T01:11:37.843Z,25.5,,37.2,54,,,
2017-12-20T01:11:47.844Z,25.5,,38.2,54,,,30
2017-12-20T01:11:57.842Z,25.5,,38.1,54,,,29
2017-12-20T01:12:07.944Z,25.6,,38.2,54,,,
2017-12-20T01:12:17.843Z,25.7,,,54,,,
2017-12-20T01:12:27.844Z,25.9,,38.3,54,,,
2017-12-20T01:12:37.844Z,26.1,,38.4,54,,,
2017-12-20T01:12:47.844Z,26.3,,38.5,54,,,
2017-12-20T01:12:57.844Z,26.5,,,54,,,
2017-12-20T01:13:07.935Z,26.7,,38.6,54,,,
2017-12-20T01:13:17.847Z,26.8,,38.7,54,,,
2017-12-20T01:13:27.846Z,26.9,,38.8,54,,,
2017-12-20T01:13:37.845Z,27.1,,,54,,,
2017-12-20T01:13:47.846Z,27.2,,,54,,,
2017-12-20T01:13:57.852Z,27.3,,38.9,54,,,
2017-12-20T01:14:07.962Z,27.4,,39.1,54,,,
2017-12-20T01:14:17.844Z,27.4,,39.2,54,,,
2017-12-20T01:14:27.846Z,27.5,,39.4,54,,,
2017-12-20T01:14:37.846Z,27.7,,39.5,54,,,30
2017-12-20T01:14:47.857Z,27.7,,39.6,54,,,29
2017-12-20T01:14:57.846Z,27.8,,39.8,54,,,
2017-12-20T01:15:07.948Z,27.8,0,38.7,54,1,,0
2017-12-20T01:15:17.850Z,27.9,,36.7,54,,,
2017-12-20T01:15:27.843Z,27.9,,35.9,54,,,
2017-12-20T01:15:37.847Z,28,,34.9,54,,,
2017-12-20T01:15:47.848Z,28,,34.5,54,,,
2017-12-20T01:15:57.843Z,28,,33.9,54,,,
2017-12-20T01:16:07.947Z,28,,33.6,54,,,
2017-12-20T01:16:17.843Z,28,0,34.2,54,1,,44
2017-12-20T01:16:27.868Z,28.1,,40.2,54,,,32
2017-12-20T01:16:37.843Z,28,,39.5,54,,,29
2017-12-20T01:16:47.847Z,28,,39.1,54,,,
2017-12-20T01:16:57.845Z,28,,40,54,,,
2017-12-20T01:17:07.937Z,28.1,,40.2,54,,,
2017-12-20T01:17:17.847Z,28.1,,40.7,54,,,
2017-12-20T01:17:27.850Z,28.1,,40.9,54,,,
2017-12-20T01:17:37.849Z,28.3,,41.1,54,,,
2017-12-20T01:17:47.849Z,28.4,0,40.9,54,1,,0
