Time,PrimTSet,HwTOutlet,HwTSet,PrimT,HwActive,ActPow,ChActive
2017-12-28T00:54:56.423Z,,32,54,43.5,,,
2017-12-28T00:55:06.430Z,,32,54,43.6,,,
2017-12-28T00:55:16.408Z,,32.1,54,43.7,,,
2017-12-28T00:55:26.414Z,,32.2,54,43.8,,,
2017-12-28T00:55:36.411Z,,32.2,54,43.9,,,
2017-12-28T00:55:46.411Z,,32.3,54,44,,,
2017-12-28T00:55:56.411Z,,32.3,54,44.1,,,
2017-12-28T00:56:06.411Z,,32.4,54,44.2,,,
2017-12-28T00:56:16.411Z,,32.4,54,,,,
2017-12-28T00:56:26.410Z,,32.5,54,44.3,,,
2017-12-28T00:56:36.670Z,,32.6,54,44.4,,,
2017-12-28T00:56:46.446Z,,32.6,54,44.5,,,
2017-12-28T00:56:56.415Z,,32.7,54,44.6,,,
2017-12-28T00:57:06.411Z,,32.8,54,,,,
2017-12-28T00:57:16.410Z,,32.8,54,44.7,,,
2017-12-28T00:57:26.413Z,,32.9,54,44.8,,30,
2017-12-28T00:57:36.415Z,,33.1,54,44.9,,29,
2017-12-28T00:57:46.412Z,,33.1,54,45,,29,
2017-12-28T00:57:56.412Z,,33.2,54,,,,
2017-12-28T00:58:06.412Z,,33.3,54,45.1,,,
2017-12-28T00:58:16.414Z,,33.3,54,45.2,,,
2017-12-28T00:58:26.419Z,,33.4,54,,,,
2017-12-28T00:58:36.414Z,,33.4,54,45.3,,,
2017-12-28T00:58:46.410Z,,33.5,54,45.4,,,
2017-12-28T00:58:56.419Z,,33.6,54,45.5,,,
2017-12-28T00:59:06.416Z,,33.6,54,45.6,,,
2017-12-28T00:59:16.417Z,,33.7,54,45.6,0,0,1
2017-12-28T00:59:26.422Z,,33.7,54,43.8,,,
2017-12-28T00:59:36.416Z,,33.8,54,42.6,,,
2017-12-28T00:59:46.417Z,,33.8,54,41.5,,,
2017-12-28T00:59:56.413Z,,33.9,54,40.9,,,
2017-12-28T01:00:06.413Z,,33.9,54,40.5,,,
2017-12-28T01:00:16.422Z,,34,54,39.9,,,
2017-12-28T01:00:26.413Z,,34,54,39.6,,,
2017-12-28T01:00:36.414Z,,34,54,38.9,,,
2017-12-28T01:00:46.413Z,,34,54,38.7,,,
2017-12-28T01:00:56.414Z,,33.9,54,38.4,,,
2017-12-28T01:01:06.423Z,,33.9,54,37.9,,,
2017-12-28T01:01:16.412Z,,33.9,54,37.8,,,
2017-12-28T01:01:26.415Z,,33.9,54,37.6,,,
2017-12-28T01:01:36.416Z,,33.8,54,37.4,,,
2017-12-28T01:01:46.415Z,,33.8,54,37.2,,,
2017-12-28T01:01:56.411Z,,33.7,54,36.9,,,
2017-12-28T01:02:06.417Z,,33.7,54,36.8,,,
2017-12-28T01:02:16.413Z,,33.6,54,36.5,,,
2017-12-28T01:02:26.419Z,,33.6,54,,,,
2017-12-28T01:02:36.420Z,,33.5,54,,,,
2017-12-28T01:02:46.418Z,,33.5,54,36.4,,,
2017-12-28T01:02:56.415Z,,33.4,54,,,,
2017-12-28T01:03:06.416Z,,33.4,54,,,,
2017-12-28T01:03:16.414Z,,33.4,54,,,,
2017-12-28T01:03:26.591Z,,33.4,54,,,,
2017-12-28T01:03:36.418Z,,33.3,54,,,,
2017-12-28T01:03:46.419Z,,33.3,54,36.3,,,
2017-12-28T01:03:56.417Z,,33.3,54,,,,
2017-12-28T01:04:06.417Z,,33.2,54,,,,
2017-12-28T01:04:16.418Z,,33.2,54,,,,
2017-12-28T01:04:26.417Z,,33.1,54,,,,
2017-12-28T01:04:36.419Z,,33.1,54,,,,
2017-12-28T01:04:46.414Z,,32.9,54,,,,
2017-12-28T01:04:56.415Z,,32.8,54,,,,
2017-12-28T01:05:06.421Z,,32.7,54,,,,
2017-12-28T01:05:16.422Z,,32.7,54,36.4,,,
2017-12-28T01:05:26.421Z,,32.6,54,,,,
2017-12-28T01:05:36.421Z,,32.5,54,,,,
2017-12-28T01:05:46.419Z,,32.4,54,36.5,,,
2017-12-28T01:05:56.419Z,,32.3,54,,,,
