Time,HwTOutlet,HwActive,PrimT,ActPow,ChActive,PrimTSet,HwTSet
2017-12-10T01:03:25.651Z,33.4,,,,,,54
2017-12-10T01:03:35.650Z,33.2,,,,,,54
2017-12-10T01:03:45.653Z,33.1,,,30,,,54
2017-12-10T01:03:55.650Z,33.2,,,29,,,54
2017-12-10T01:04:05.652Z,33.2,,62.8,30,,,54
2017-12-10T01:04:15.649Z,33.2,,,29,,,54
2017-12-10T01:04:25.652Z,33.3,,,,,,54
2017-12-10T01:04:35.650Z,33.4,,,,,,54
2017-12-10T01:04:45.651Z,33.1,,,,,,54
2017-12-10T01:04:55.650Z,32.9,,,30,,,54
2017-12-10T01:05:05.661Z,32.9,,,,,,54
2017-12-10T01:05:15.651Z,32.8,,62.9,29,,,54
2017-12-10T01:05:25.656Z,32.9,,,,,,54
2017-12-10T01:05:35.653Z,33.2,,,,,,54
2017-12-10T01:05:45.653Z,33.2,,,,,,54
2017-12-10T01:05:55.655Z,33.4,,,,,,54
2017-12-10T01:06:05.655Z,33.2,,,,,,54
2017-12-10T01:06:15.656Z,33.3,,,,,,54
2017-12-10T01:06:25.655Z,33.2,,,,,,54
2017-12-10T01:06:35.658Z,33.1,,,,,,54
2017-12-10T01:06:45.660Z,33.1,,62.9,,,,54
2017-12-10T01:06:55.662Z,33.2,,63.1,30,,,54
2017-12-10T01:07:05.659Z,33.3,,,29,,,54
2017-12-10T01:07:15.650Z,33.3,,,,,,54
2017-12-10T01:07:25.651Z,33.2,,,,,,54
2017-12-10T01:07:35.651Z,33.3,,,,,,54
2017-12-10T01:07:45.651Z,33.2,,,,,,54
2017-12-10T01:07:55.706Z,33.3,,,,,,54
2017-12-10T01:08:05.653Z,33.2,,63.2,30,,,54
2017-12-10T01:08:15.654Z,33.2,,,29,,,54
2017-12-10T01:08:25.653Z,33.3,,,,,,54
2017-12-10T01:08:35.659Z,33.4,,,,,,54
2017-12-10T01:08:45.656Z,33.3,,,,,,54
2017-12-10T01:08:55.654Z,33.4,,,30,,,54
2017-12-10T01:09:05.652Z,33.3,,,29,,,54
2017-12-10T01:09:15.658Z,33.3,,,,,,54
2017-12-10T01:09:25.653Z,33.4,,,,,,54
2017-12-10T01:09:35.653Z,33.4,,,,,,54
2017-12-10T01:09:45.663Z,33.3,,63.3,,,,54
2017-12-10T01:09:55.652Z,33.2,,,30,,,54
2017-12-10T01:10:05.652Z,33.3,,,29,,,54
2017-12-10T01:10:15.665Z,33.4,,,,,,54
2017-12-10T01:10:25.660Z,33.3,,,,,,54
2017-12-10T01:10:35.652Z,33.5,,,,,,54
2017-12-10T01:10:45.654Z,33.6,,,,,,54
2017-12-10T01:10:55.656Z,33.7,,,,,,54
2017-12-10T01:11:05.658Z,33.6,,,,,,54
2017-12-10T01:11:15.657Z,33.5,,63.4,,,,54
2017-12-10T01:11:25.658Z,33.4,,,,,,54
2017-12-10T01:11:35.653Z,33.4,,,30,,,54
2017-12-10T01:11:45.662Z,33.4,,,29,,,54
2017-12-10T01:11:55.674Z,33.4,,,,,,54
2017-12-10T01:12:05.660Z,33.4,,,,,,54
2017-12-10T01:12:15.664Z,33.2,,,,,,54
2017-12-10T01:12:25.666Z,33.3,,,,,,54
2017-12-10T01:12:35.664Z,33.5,,,,,,54
2017-12-10T01:12:45.659Z,33.7,,,,,,54
2017-12-10T01:12:55.660Z,33.5,,,,,,54
2017-12-10T01:13:05.669Z,33.7,,63.5,,,,54
2017-12-10T01:13:15.678Z,33.5,,,,,,54
2017-12-10T01:13:25.662Z,33.6,,,,,,54
2017-12-10T01:13:35.663Z,33.6,,,,,,54
2017-12-10T01:13:45.664Z,33.5,,,,,,54
2017-12-10T01:13:55.657Z,33.4,,,,,,54
2017-12-10T01:14:05.668Z,33.2,,,,,,54
2017-12-10T01:14:15.664Z,33.1,,,30,,,54
2017-12-10T01:14:25.667Z,33.4,,,29,,,54
2017-12-10T01:14:35.660Z,33.4,,,,,,54
2017-12-10T01:14:45.660Z,33.4,,,,,,54
2017-12-10T01:14:55.660Z,33.4,,,,,,54
2017-12-10T01:15:05.660Z,33.4,,63.6,30,,,54
2017-12-10T01:15:15.661Z,33.4,,,29,,,54
2017-12-10T01:15:25.661Z,33.4,,,30,,,54
