Time,HwTSet,HwTOutlet,PrimTSet,PrimT,ChActive,HwActive,ActPow
2018-02-14T01:07:19.310Z,54,14.2,,53.9,,,
2018-02-14T01:07:28.870Z,54,14.3,,,,,
2018-02-14T01:07:38.877Z,54,14.3,,54,,,29
2018-02-14T01:07:48.912Z,54,14.3,,,,,
2018-02-14T01:07:58.878Z,54,14.3,,54.1,,,
2018-02-14T01:08:08.872Z,54,14.2,,,,,
2018-02-14T01:08:19.154Z,54,14.3,,54.3,,,
2018-02-14T01:08:28.951Z,54,14.3,,,,,
2018-02-14T01:08:38.952Z,54,14.3,,54.4,,,
2018-02-14T01:08:48.916Z,54,14.3,,,,,
2018-02-14T01:08:58.877Z,54,14.5,,54.5,,,
2018-02-14T01:09:08.892Z,54,14.3,,,,,
2018-02-14T01:09:18.973Z,54,14.3,,54.6,,,30
2018-02-14T01:09:28.903Z,54,14.3,,,,,29
2018-02-14T01:09:38.920Z,54,14.5,,54.7,,,
2018-02-14T01:09:48.880Z,54,14.3,,,,,
2018-02-14T01:10:04.048Z,54,14.5,,,,,
2018-02-14T01:10:08.940Z,54,14.3,,54.8,,,
2018-02-14T01:10:18.969Z,54,14.3,,,,,
2018-02-14T01:10:28.922Z,54,14.3,,54.9,,,
2018-02-14T01:10:38.869Z,54,14.5,,,,,
2018-02-14T01:10:48.906Z,54,14.3,,55,,,
2018-02-14T01:10:59.063Z,54,14.3,,,,,
2018-02-14T01:11:09.215Z,54,14.3,,,,,
2018-02-14T01:11:19.343Z,54,14.3,,55.1,,,
2018-02-14T01:11:29.085Z,54,14.3,,,,,
2018-02-14T01:11:38.964Z,54,14.5,,55.2,,,
2018-02-14T01:11:48.869Z,54,14.5,,,,,
2018-02-14T01:11:58.875Z,54,14.3,,,,,
2018-02-14T01:12:08.995Z,54,14.5,,55.3,,,
2018-02-14T01:12:18.986Z,54,14.3,,,,,
2018-02-14T01:12:28.871Z,54,14.3,,,,,
2018-02-14T01:12:39.006Z,54,14.5,,55.4,,,
2018-02-14T01:12:48.916Z,54,14.7,,,,,30
2018-02-14T01:12:58.967Z,54,14.7,,,,,
2018-02-14T01:13:08.986Z,54,14.7,,55.5,,,29
2018-02-14T01:13:19.025Z,54,14.5,,,,,
2018-02-14T01:13:28.897Z,54,14.5,,55.6,,,
2018-02-14T01:13:38.941Z,54,14.5,,,,,
2018-02-14T01:13:48.910Z,54,14.5,,54.4,1,0,0
2018-02-14T01:13:58.918Z,54,13.7,,52.2,,,
2018-02-14T01:14:08.870Z,54,13.2,,51.5,,,
2018-02-14T01:14:19.058Z,54,13.1,,50.6,,,
2018-02-14T01:14:28.898Z,54,12.9,,49.8,,,
2018-02-14T01:14:39.127Z,54,12.8,,49.3,,,
2018-02-14T01:14:48.899Z,54,12.8,,48.8,,,
2018-02-14T01:14:58.915Z,54,12.6,,48.3,,,
2018-02-14T01:15:08.898Z,54,12.6,,47.9,,,
2018-02-14T01:15:19.037Z,54,12.5,,47.4,,,
2018-02-14T01:15:28.958Z,54,12.5,,47,,,
2018-02-14T01:15:38.899Z,54,12.3,,46.8,,,
2018-02-14T01:15:49.045Z,54,12.3,,46.5,,,
2018-02-14T01:15:58.911Z,54,12.5,,46.2,,,
2018-02-14T01:16:08.877Z,54,12.3,,46,,,
2018-02-14T01:16:18.998Z,54,12.3,,45.8,,,
2018-02-14T01:16:29.088Z,54,12.3,,45.6,,,
2018-02-14T01:16:38.909Z,54,12.3,,45.4,,,
2018-02-14T01:16:48.992Z,54,11.8,,45.2,,,
