Time,PrimTSet,ActPow,HwActive,PrimT,HwTSet,ChActive,HwTOutlet
2018-01-03T01:14:56.353Z,,,,,54,,27.5
2018-01-03T01:15:06.351Z,,,,40.2,54,,27.4
2018-01-03T01:15:16.351Z,,,,,54,,27.1
2018-01-03T01:15:36.352Z,,,,40.3,54,,26.8
2018-01-03T01:15:46.358Z,,,,,54,,26.6
2018-01-03T01:15:56.357Z,,,,40.4,54,,26.5
2018-01-03T01:16:06.352Z,,,,,54,,26.3
2018-01-03T01:16:16.364Z,,,,40.5,54,,26.1
2018-01-03T01:16:26.351Z,,,,,54,,26
2018-01-03T01:16:36.352Z,,,,,54,,26
2018-01-03T01:16:46.354Z,,44,0,40.5,54,2,25.7
2018-01-03T01:16:56.353Z,,35,,45.1,54,,25.7
2018-01-03T01:17:06.352Z,,29,,44.9,54,,25.6
2018-01-03T01:17:16.357Z,,,,44.3,54,,25.6
2018-01-03T01:17:26.352Z,,29,,45,54,,25.7
2018-01-03T01:17:36.353Z,,,,45.7,54,,26.1
2018-01-03T01:17:46.358Z,,30,,45.3,54,,26.5
2018-01-03T01:17:56.355Z,,29,,45.6,54,,26.8
2018-01-03T01:18:06.352Z,,,,,54,,27.2
2018-01-03T01:18:16.356Z,,,,,54,,27.5
2018-01-03T01:18:26.353Z,,,,45.7,54,,27.9
2018-01-03T01:18:36.362Z,,,,45.8,54,,28.1
2018-01-03T01:18:46.353Z,,,,46,54,,28.4
2018-01-03T01:18:56.360Z,,,,,54,,28.6
