Time,HwActive,HwTOutlet,PrimTSet,ActPow,PrimT,ChActive,HwTSet
2017-11-03T01:05:08.005Z,,32.2,,29,65.1,,54
2017-11-03T01:05:18.002Z,0,32.3,,0,62.7,2,54
2017-11-03T01:05:28.002Z,,32.3,,,61.5,,54
2017-11-03T01:05:38.003Z,,32.2,,,60.1,,54
2017-11-03T01:05:48.006Z,,32.1,,,59.4,,54
2017-11-03T01:05:58.007Z,,31.9,,,58.5,,54
2017-11-03T01:06:08.012Z,,31.9,,,57.7,,54
2017-11-03T01:06:18.018Z,,31.9,,,56.9,,54
2017-11-03T01:06:28.004Z,,32.3,,,56.3,,54
2017-11-03T01:06:38.013Z,,32.1,,,55.6,,54
2017-11-03T01:06:48.004Z,,32.1,,,55.1,,54
2017-11-03T01:06:58.020Z,,32.1,,,54.7,,54
2017-11-03T01:07:08.014Z,,32,,,54.3,,54
2017-11-03T01:07:18.005Z,,31.8,,,53.8,,54
2017-11-03T01:07:28.003Z,,31.8,,,53.4,,54
2017-11-03T01:07:38.011Z,0,31.9,,42,55.6,2,54
2017-11-03T01:07:48.008Z,,31.6,,34,57.6,,54
2017-11-03T01:07:58.007Z,,31.4,,30,,,54
2017-11-03T01:08:08.009Z,,31.3,,29,59,,54
2017-11-03T01:08:18.008Z,,31.3,,,59.6,,54
2017-11-03T01:08:28.003Z,,31.4,,,60.4,,54
2017-11-03T01:08:38.022Z,,31.6,,30,61.1,,54
2017-11-03T01:08:48.008Z,,31.8,,29,61.8,,54
2017-11-03T01:08:58.013Z,,31.9,,30,62.4,,54
2017-11-03T01:09:08.004Z,,32,,29,62.8,,54
2017-11-03T01:09:18.008Z,,32.1,,,63.3,,54
2017-11-03T01:09:28.007Z,,32.1,,,63.6,,54
2017-11-03T01:09:38.018Z,,32.2,,,64,,54
2017-11-03T01:09:48.004Z,,32.2,,,64.4,,54
2017-11-03T01:09:58.008Z,,32.3,,,64.6,,54
2017-11-03T01:10:08.010Z,,32.3,,30,64.8,,54
2017-11-03T01:10:18.022Z,0,32.3,,0,63.5,2,54
2017-11-03T01:10:28.004Z,,32.3,,,61.8,,54
2017-11-03T01:10:38.004Z,,32.3,,,60.9,,54
2017-11-03T01:10:48.031Z,,32.1,,,59.8,,54
2017-11-03T01:10:58.010Z,,32,,,58.8,,54
2017-11-03T01:11:08.007Z,,32.2,,,57.9,,54
2017-11-03T01:11:18.004Z,,32.1,,,57.2,,54
2017-11-03T01:11:28.013Z,,32.2,,,56.6,,54
2017-11-03T01:11:38.013Z,,32.1,,,55.9,,54
2017-11-03T01:11:48.013Z,,32.2,,,55.3,,54
2017-11-03T01:11:58.010Z,,32,,,54.9,,54
2017-11-03T01:12:08.006Z,,32.1,,,54.4,,54
2017-11-03T01:12:18.019Z,,32,,,53.9,,54
2017-11-03T01:12:28.021Z,,31.8,,,53.6,,54
2017-11-03T01:12:38.013Z,0,31.6,,44,55.1,2,54
2017-11-03T01:12:48.005Z,,31.5,,34,57.7,,54
2017-11-03T01:12:58.006Z,,31.3,,29,58,,54
2017-11-03T01:13:08.005Z,,31.2,,,59,,54
2017-11-03T01:13:18.039Z,,31.3,,,59.7,,54
2017-11-03T01:13:28.008Z,,31.4,,,60.5,,54
2017-11-03T01:13:38.018Z,,31.5,,,61.2,,54
2017-11-03T01:13:48.005Z,,31.6,,,62,,54
2017-11-03T01:13:58.010Z,,31.8,,,62.4,,54
2017-11-03T01:14:08.007Z,,32,,,63.1,,54
