Time,HwTOutlet,HwActive,PrimTSet,ActPow,HwTSet,ChActive,PrimT
2018-01-07T01:16:09.652Z,25.4,,,,54,,37.6
2018-01-07T01:16:19.660Z,25.4,0,,41,54,2,40.7
2018-01-07T01:16:29.672Z,25,,,34,54,,44.1
2018-01-07T01:16:39.652Z,24.9,,,29,54,,43.9
2018-01-07T01:16:49.656Z,24.8,,,,54,,44.1
2018-01-07T01:16:59.668Z,24.8,,,30,54,,44.2
2018-01-07T01:17:09.655Z,24.8,,,29,54,,45
2018-01-07T01:17:19.655Z,25,,,30,54,,45.2
2018-01-07T01:17:29.656Z,25.1,,,29,54,,46
2018-01-07T01:17:39.656Z,25.4,,,,54,,
2018-01-07T01:17:49.661Z,25.5,,,,54,,46.4
2018-01-07T01:17:59.651Z,25.7,,,,54,,46.6
2018-01-07T01:18:09.652Z,25.9,,,,54,,47
2018-01-07T01:18:19.652Z,26,,,,54,,47.1
2018-01-07T01:18:29.653Z,26.1,0,,0,54,2,44.7
2018-01-07T01:18:39.661Z,26.1,,,,54,,43.8
2018-01-07T01:18:49.657Z,26.2,,,,54,,42.6
2018-01-07T01:18:59.659Z,26.1,,,,54,,41.9
2018-01-07T01:19:09.653Z,26,,,,54,,41.6
2018-01-07T01:19:19.660Z,25.7,,,,54,,40.9
2018-01-07T01:19:29.654Z,25.6,,,,54,,40.7
2018-01-07T01:19:39.654Z,25.5,,,,54,,39.9
2018-01-07T01:19:49.653Z,25.4,,,,54,,39.7
