Time,HwTSet,PrimTSet,HwActive,ChActive,ActPow,HwTOutlet,PrimT
2017-12-30T00:55:03.056Z,54,,,,,30,40.4
2017-12-30T00:55:13.060Z,54,,,,,30.1,40.3
2017-12-30T00:55:23.060Z,54,,,,,30.2,40.4
2017-12-30T00:55:33.055Z,54,,,,,30.2,
2017-12-30T00:55:43.055Z,54,,,,30,30.3,40.5
2017-12-30T00:55:53.053Z,54,,,,29,30.3,
2017-12-30T00:56:03.051Z,54,,,,,30.3,40.6
2017-12-30T00:56:13.052Z,54,,,,,30.4,40.7
2017-12-30T00:56:23.051Z,54,,,,,30.4,40.8
2017-12-30T00:56:33.052Z,54,,,,,30.4,41
2017-12-30T00:56:43.056Z,54,,,,,30.6,41.1
2017-12-30T00:56:53.050Z,54,,,,,30.6,41.2
2017-12-30T00:57:03.050Z,54,,,,,30.6,41.3
2017-12-30T00:57:13.058Z,54,,,,,30.7,
2017-12-30T00:57:23.051Z,54,,,,,30.7,41.4
2017-12-30T00:57:33.052Z,54,,,,,30.8,41.6
2017-12-30T00:57:43.055Z,54,,,,,30.8,41.7
2017-12-30T00:57:53.057Z,54,,,,30,30.9,41.8
2017-12-30T00:58:03.052Z,54,,,,29,30.9,41.9
2017-12-30T00:58:13.052Z,54,,,,,31,42
2017-12-30T00:58:23.053Z,54,,,,,31,42.1
2017-12-30T00:58:33.052Z,54,,,,,31.2,42.2
2017-12-30T00:58:43.053Z,54,,,,30,31.2,42.3
2017-12-30T00:58:53.056Z,54,,,,29,31.3,42.4
2017-12-30T00:59:03.054Z,54,,,,,31.4,
2017-12-30T00:59:13.054Z,54,,,,,31.4,42.7
2017-12-30T00:59:23.052Z,54,,,,,31.5,42.8
2017-12-30T00:59:33.054Z,54,,,,29,31.6,43
2017-12-30T00:59:43.056Z,54,,0,2,0,31.6,41.7
2017-12-30T00:59:53.058Z,54,,,,,31.8,40.9
2017-12-30T01:00:03.055Z,54,,,,,31.9,39.8
2017-12-30T01:00:13.055Z,54,,,,,32,38.9
2017-12-30T01:00:23.055Z,54,,,,,32,38.4
2017-12-30T01:00:33.064Z,54,,,,,32.1,37.9
2017-12-30T01:00:43.059Z,54,,,,,32.1,37.4
2017-12-30T01:00:53.059Z,54,,,,,32.2,36.9
2017-12-30T01:01:03.059Z,54,,,,,32.2,36.6
2017-12-30T01:01:13.055Z,54,,,,,32.2,36.3
2017-12-30T01:01:23.055Z,54,,,,,32.2,35.9
2017-12-30T01:01:33.055Z,54,,,,,32.2,35.8
2017-12-30T01:01:43.056Z,54,,,,,32.1,35.5
2017-12-30T01:01:53.053Z,54,,,,,32.1,35.3
2017-12-30T01:02:03.059Z,54,,,,,32.1,34.9
2017-12-30T01:02:13.062Z,54,,,,,32.1,
2017-12-30T01:02:23.057Z,54,,,,,32,34.8
2017-12-30T01:02:33.057Z,54,,,,,32,34.6
2017-12-30T01:02:43.058Z,54,,,,,32,34.5
2017-12-30T01:02:53.058Z,54,,,,,31.9,
2017-12-30T01:03:03.062Z,54,,,,,31.9,
2017-12-30T01:03:13.063Z,54,,,,,31.8,
2017-12-30T01:03:23.061Z,54,,,,,31.8,34.4
2017-12-30T01:03:33.056Z,54,,,,,31.8,
2017-12-30T01:03:43.054Z,54,,,,,31.8,
2017-12-30T01:03:53.060Z,54,,,,,31.8,
