Time,PrimT,PrimTSet,HwActive,HwTOutlet,ActPow,ChActive,HwTSet
2018-01-29T01:02:38.742Z,,,,29.7,,,54
2018-01-29T01:02:48.635Z,35.3,,,29.7,,,54
2018-01-29T01:02:58.635Z,,,,29.6,,,54
2018-01-29T01:03:08.644Z,,,,29.6,,,54
2018-01-29T01:03:18.658Z,,,,29.6,,,54
2018-01-29T01:03:28.643Z,,,,29.6,,,54
2018-01-29T01:03:38.738Z,,,,29.5,,,54
2018-01-29T01:03:48.658Z,,,,29.5,,,54
2018-01-29T01:03:58.648Z,,,,29.5,,,54
2018-01-29T01:04:08.676Z,35.2,,,29.3,,,54
2018-01-29T01:04:18.638Z,,,,29.3,,,54
2018-01-29T01:04:28.633Z,,,,29.3,,,54
2018-01-29T01:04:38.732Z,,,,29.2,,,54
2018-01-29T01:04:48.666Z,,,,29.2,,,54
2018-01-29T01:04:58.665Z,39.3,,0,29.2,39,2,54
2018-01-29T01:05:08.632Z,40.7,,,29.1,29,,54
2018-01-29T01:05:18.658Z,38.6,,,29.1,,,54
2018-01-29T01:05:28.651Z,39.5,,,29.1,,,54
2018-01-29T01:05:38.754Z,39.8,,,29.1,30,,54
2018-01-29T01:05:48.666Z,,,,29.1,29,,54
2018-01-29T01:05:58.638Z,,,,29.1,,,54
2018-01-29T01:06:08.666Z,39.9,,,29.1,30,,54
2018-01-29T01:06:18.644Z,,,,29.2,,,54
2018-01-29T01:06:28.635Z,40,,,29.3,29,,54
2018-01-29T01:06:38.794Z,,,,29.5,,,54
2018-01-29T01:06:48.668Z,40.1,,,29.6,30,,54
2018-01-29T01:06:58.644Z,40.2,,,29.7,29,,54
2018-01-29T01:07:08.661Z,40.3,,,29.8,,,54
2018-01-29T01:07:18.669Z,40.4,,,30,,,54
2018-01-29T01:07:28.691Z,40.5,,,30.1,,,54
2018-01-29T01:07:38.738Z,40.6,,,30.2,,,54
2018-01-29T01:07:48.753Z,40.7,,,30.3,,,54
2018-01-29T01:07:58.633Z,40.8,,,30.4,,,54
2018-01-29T01:08:08.677Z,41,,,30.4,,,54
2018-01-29T01:08:18.651Z,41.1,,,30.6,,,54
2018-01-29T01:08:29.863Z,41.3,,,30.6,,,54
2018-01-29T01:08:38.715Z,41.4,,,30.7,,,54
2018-01-29T01:08:48.647Z,41.6,,,30.8,,,54
2018-01-29T01:08:58.637Z,41.7,,,30.8,,,54
2018-01-29T01:09:08.677Z,41.8,,,30.9,,,54
2018-01-29T01:09:18.648Z,42,,,30.9,30,,54
2018-01-29T01:09:28.676Z,42.1,,,31,29,,54
2018-01-29T01:09:38.785Z,42.3,,,31,,,54
2018-01-29T01:09:48.651Z,42.4,,,31.2,,,54
2018-01-29T01:09:58.688Z,42.7,,,31.3,,,54
2018-01-29T01:10:08.645Z,42.8,,,31.3,30,,54
2018-01-29T01:10:18.641Z,43,,,31.4,29,,54
2018-01-29T01:10:28.641Z,43.1,,,31.4,,,54
2018-01-29T01:10:38.766Z,43.3,,,31.5,,,54
2018-01-29T01:10:48.656Z,42.9,,0,31.6,0,2,54
2018-01-29T01:10:58.693Z,40.5,,,31.8,,,54
2018-01-29T01:11:08.638Z,39.5,,,31.8,,,54
2018-01-29T01:11:18.665Z,38.7,,,31.9,,,54
2018-01-29T01:11:28.645Z,37.9,,,32,,,54
