Time,HwActive,PrimT,HwTSet,ChActive,PrimTSet,HwTOutlet,ActPow
2018-02-01T01:14:31.183Z,,,54,,,13.2,
2018-02-01T01:14:41.165Z,,48.7,54,,,13.2,
2018-02-01T01:14:51.262Z,,,54,,,13.2,
2018-02-01T01:15:01.171Z,,,54,,,13.2,
2018-02-01T01:15:11.174Z,,,54,,,13.2,
2018-02-01T01:15:21.160Z,,,54,,,13.2,
2018-02-01T01:15:31.146Z,,,54,,,13.2,
2018-02-01T01:15:41.152Z,,,54,,,13.2,
2018-02-01T01:15:51.363Z,,48.6,54,,,13.2,
2018-02-01T01:16:01.198Z,,,54,,,13.2,
2018-02-01T01:16:11.212Z,,,54,,,13.2,
2018-02-01T01:16:21.167Z,,,54,,,13.2,
2018-02-01T01:16:31.186Z,,,54,,,13.2,
2018-02-01T01:16:41.157Z,,,54,,,13.2,
2018-02-01T01:16:51.276Z,,,54,,,13.2,
2018-02-01T01:17:01.206Z,,,54,,,13.2,
2018-02-01T01:17:11.150Z,,48.5,54,,,13.2,
2018-02-01T01:17:31.211Z,,,54,,,13.1,
2018-02-01T01:17:41.210Z,,,54,,,13.2,
2018-02-01T01:17:51.230Z,,,54,,,13.1,
2018-02-01T01:18:01.150Z,,,54,,,13.1,
2018-02-01T01:18:11.147Z,,,54,,,13.1,
2018-02-01T01:18:21.157Z,,48.4,54,,,13.1,
2018-02-01T01:18:31.212Z,,,54,,,13.1,
2018-02-01T01:18:41.311Z,,,54,,,13.1,
2018-02-01T01:19:01.154Z,,,54,,,13.1,
2018-02-01T01:19:12.414Z,,48.3,54,,,13.1,
2018-02-01T01:19:31.198Z,,,54,,,13.1,
2018-02-01T01:19:41.158Z,,,54,,,13.1,
2018-02-01T01:20:01.155Z,,,54,,,13.1,
2018-02-01T01:20:11.163Z,,,54,,,13.1,
2018-02-01T01:20:21.195Z,,48.2,,,,,
2018-02-01T01:20:31.170Z,,,54,,,13.1,
2018-02-01T01:20:41.244Z,,,54,,,13.1,
