Time,HwActive,PrimT,ActPow,ChActive,HwTSet,PrimTSet,HwTOutlet
2017-12-26T00:41:12.760Z,,37.8,29,,54,,27.2
2017-12-26T00:41:22.755Z,,37.9,,,54,,27.3
2017-12-26T00:41:32.760Z,,38,29,,54,,27.4
2017-12-26T00:41:42.756Z,,38.2,30,,54,,27.4
2017-12-26T00:41:52.758Z,,38.3,29,,54,,27.5
2017-12-26T00:42:02.761Z,,38.4,30,,54,,27.5
2017-12-26T00:42:12.762Z,,38.6,29,,54,,27.5
2017-12-26T00:42:22.760Z,,38.7,,,54,,27.7
2017-12-26T00:42:32.767Z,,38.8,,,54,,27.7
2017-12-26T00:42:42.761Z,,39.1,29,,54,,27.8
2017-12-26T00:42:52.757Z,,39.2,,,54,,27.8
2017-12-26T00:43:02.762Z,,39.3,,,54,,27.9
2017-12-26T00:43:12.758Z,,39.5,,,54,,28
2017-12-26T00:43:22.756Z,,39.6,,,54,,28
2017-12-26T00:43:32.759Z,,39.7,,,54,,28.1
2017-12-26T00:43:42.759Z,,39.8,,,54,,28.3
2017-12-26T00:43:52.770Z,,39.9,,,54,,28.3
2017-12-26T00:44:02.761Z,0,38.9,0,1,54,,28.4
2017-12-26T00:44:12.765Z,,36.9,,,54,,28.5
2017-12-26T00:44:22.761Z,,36.4,,,54,,28.6
2017-12-26T00:44:32.760Z,,35.8,,,54,,28.7
2017-12-26T00:44:42.760Z,,34.9,,,54,,28.7
2017-12-26T00:44:52.760Z,,34.6,,,54,,28.9
2017-12-26T00:45:02.764Z,,34.2,,,54,,28.9
2017-12-26T00:45:12.769Z,,33.9,,,54,,29
2017-12-26T00:45:22.760Z,,33.6,,,54,,29
2017-12-26T00:45:32.758Z,,33.3,,,54,,29
2017-12-26T00:45:42.765Z,,32.9,,,54,,29
2017-12-26T00:45:52.759Z,,32.7,,,54,,29
2017-12-26T00:46:02.758Z,,32.5,,,54,,29
2017-12-26T00:46:12.761Z,,32.4,,,54,,29
2017-12-26T00:46:22.761Z,,32.2,,,54,,29
2017-12-26T00:46:32.760Z,,32.1,,,54,,29
2017-12-26T00:46:42.766Z,,32,,,54,,29
2017-12-26T00:46:52.761Z,,31.8,,,54,,29
2017-12-26T00:47:02.762Z,,31.8,,,54,,28.9
2017-12-26T00:47:12.761Z,,31.7,,,54,,28.9
2017-12-26T00:47:22.763Z,,,,,54,,28.9
2017-12-26T00:47:32.764Z,,,,,54,,28.9
2017-12-26T00:47:42.761Z,,,,,54,,28.9
2017-12-26T00:47:52.762Z,,,,,54,,28.9
2017-12-26T00:48:02.760Z,,,,,54,,28.9
2017-12-26T00:48:12.762Z,,,,,54,,28.9
2017-12-26T00:48:22.767Z,,,,,54,,28.9
2017-12-26T00:48:32.764Z,,,,,54,,28.9
2017-12-26T00:48:42.763Z,,,,,54,,28.9
2017-12-26T00:48:52.762Z,,,,,54,,28.7
2017-12-26T00:49:02.760Z,,,,,54,,28.7
2017-12-26T00:49:12.773Z,,,,,54,,28.7
2017-12-26T00:49:22.763Z,,,,,54,,28.7
2017-12-26T00:49:32.762Z,,,,,54,,28.6
2017-12-26T00:49:42.764Z,,,,,54,,28.6
2017-12-26T00:49:52.764Z,,,,,54,,28.6
2017-12-26T00:50:02.765Z,,,,,54,,28.5
2017-12-26T00:50:12.769Z,,,,,54,,28.5
2017-12-26T00:50:22.763Z,,31.8,,,54,,28.5
2017-12-26T00:50:32.766Z,,,,,54,,28.4
2017-12-26T00:50:42.766Z,,,,,54,,28.4
2017-12-26T00:50:52.763Z,,,,,54,,28.4
2017-12-26T00:51:02.760Z,,,,,54,,28.3
2017-12-26T00:51:12.767Z,,31.9,,,54,,28.3
2017-12-26T00:51:22.765Z,,,,,54,,28.1
2017-12-26T00:51:32.764Z,,,,,54,,28.1
2017-12-26T00:51:42.762Z,,31.9,,,54,,28
2017-12-26T00:51:52.762Z,,32,,,54,,28
2017-12-26T00:52:02.762Z,,,,,54,,27.9
2017-12-26T00:52:12.765Z,,,,,54,,27.9
2017-12-26T00:52:22.764Z,,32.1,,,54,,27.8
2017-12-26T00:52:32.762Z,,,,,54,,27.8
2017-12-26T00:52:42.763Z,,,,,54,,27.7
2017-12-26T00:52:52.763Z,,,,,54,,27.7
2017-12-26T00:53:02.762Z,,,,,54,,27.5
2017-12-26T00:53:12.771Z,,,,,54,,27.5
2017-12-26T00:53:22.762Z,,,,,54,,27.5
2017-12-26T00:53:32.763Z,,,,,54,,27.4
2017-12-26T00:53:42.769Z,,32.2,,,54,,27.4
2017-12-26T00:53:52.763Z,,,,,54,,27.3
2017-12-26T00:54:02.764Z,,,,,54,,27.3
2017-12-26T00:54:12.774Z,,,,,54,,27.2
2017-12-26T00:54:22.763Z,,,,,54,,27.2
2017-12-26T00:54:32.771Z,,,,,54,,27.1
2017-12-26T00:54:42.763Z,,,,,54,,27.1
2017-12-26T00:54:52.767Z,,,,,54,,26.9
2017-12-26T00:55:02.769Z,,32.1,,,54,,26.9
2017-12-26T00:55:12.767Z,,,,,54,,26.8
2017-12-26T00:55:22.765Z,,32.2,,,54,,26.8
2017-12-26T00:55:32.770Z,,32.1,,,54,,26.7
2017-12-26T00:55:42.769Z,,,,,54,,26.7
2017-12-26T00:55:52.765Z,,,,,54,,26.6
2017-12-26T00:56:02.765Z,,,,,54,,26.6
2017-12-26T00:56:12.767Z,,,,,54,,26.6
2017-12-26T00:56:22.763Z,,,,,54,,26.5
2017-12-26T00:56:32.770Z,,,,,54,,26.5
2017-12-26T00:56:42.766Z,,,,,54,,26.3
2017-12-26T00:56:52.765Z,,,,,54,,26.3
2017-12-26T00:57:02.773Z,,,,,54,,26.2
2017-12-26T00:57:12.767Z,,32,,,54,,26.2
2017-12-26T00:57:22.764Z,,,,,54,,26.2
2017-12-26T00:57:32.767Z,,,,,54,,26.1
2017-12-26T00:57:42.767Z,,,,,54,,26.1
2017-12-26T00:57:52.766Z,,,,,54,,26.1
2017-12-26T00:58:02.766Z,,,,,54,,26
2017-12-26T00:58:12.770Z,,,,,54,,26
2017-12-26T00:58:22.766Z,,,,,54,,25.9
2017-12-26T00:58:32.768Z,,,,,54,,25.9
2017-12-26T00:58:42.768Z,,31.9,,,54,,25.9
2017-12-26T00:58:52.774Z,,31.9,,,54,,25.7
2017-12-26T00:59:02.768Z,,,,,54,,25.7
2017-12-26T00:59:12.772Z,,,,,54,,25.7
2017-12-26T00:59:22.769Z,,,,,54,,25.6
2017-12-26T00:59:32.769Z,,,,,54,,25.6
2017-12-26T00:59:42.767Z,,,,,54,,25.6
2017-12-26T00:59:52.768Z,,,,,54,,25.6
2017-12-26T01:00:02.769Z,,,,,54,,25.5
2017-12-26T01:00:12.765Z,,,,,54,,25.5
2017-12-26T01:00:22.780Z,,31.8,,,54,,25.5
2017-12-26T01:00:32.766Z,,,,,54,,25.4
2017-12-26T01:00:42.767Z,,,,,54,,25.4
2017-12-26T01:00:52.766Z,,,,,54,,25.4
2017-12-26T01:01:02.781Z,0,33.6,43,1,54,,25.3
2017-12-26T01:01:12.787Z,,37.4,31,,54,,25.3
2017-12-26T01:01:22.767Z,,35.7,30,,54,,25.3
2017-12-26T01:01:32.770Z,,36.1,29,,54,,25.1
2017-12-26T01:01:42.767Z,,36.3,,,54,,25.3
2017-12-26T01:01:52.770Z,,36.4,,,54,,25.3
2017-12-26T01:02:02.768Z,,36.6,,,54,,25.4
2017-12-26T01:02:12.772Z,,,30,,54,,25.5
2017-12-26T01:02:22.770Z,,36.8,,,54,,25.6
2017-12-26T01:02:32.772Z,,36.9,29,,54,,25.7
2017-12-26T01:02:42.778Z,,37.1,,,54,,26
2017-12-26T01:02:52.772Z,,37.2,,,54,,26.1
2017-12-26T01:03:02.854Z,,37.3,30,,54,,26.3
2017-12-26T01:03:12.774Z,,37.4,29,,54,,26.5
2017-12-26T01:03:22.767Z,,,,,54,,26.6
2017-12-26T01:03:32.769Z,,37.5,,,54,,26.7
