Time,HwActive,ActPow,HwTSet,PrimT,PrimTSet,ChActive,HwTOutlet
2017-11-11T00:52:35.648Z,,,54,54,,,32
2017-11-11T00:52:46.304Z,,,54,53.8,,,32
2017-11-11T00:52:55.647Z,,,54,53.5,,,31.9
2017-11-11T00:53:05.647Z,0,43,54,55.2,,2,31.8
2017-11-11T00:53:15.735Z,,34,54,57.7,,,31.5
2017-11-11T00:53:25.648Z,,29,54,58,,,31.5
2017-11-11T00:53:35.653Z,,,54,59.1,,,30.9
2017-11-11T00:53:45.648Z,,30,54,60,,,30.6
2017-11-11T00:53:55.645Z,,29,54,61.1,,,30.9
2017-11-11T00:54:05.648Z,,,54,61.6,,,31.2
2017-11-11T00:54:15.750Z,,29,54,62.2,,,30.9
2017-11-11T00:54:25.646Z,,,54,63.1,,,30.9
2017-11-11T00:54:35.646Z,,,54,63.4,,,31
2017-11-11T00:54:45.649Z,,30,54,64,,,31.2
2017-11-11T00:54:55.643Z,,29,54,64.4,,,31.3
2017-11-11T00:55:05.644Z,,,54,64.7,,,31.4
2017-11-11T00:55:15.741Z,0,0,54,64.8,,2,31.5
2017-11-11T00:55:25.648Z,,,54,61.9,,,31.4
2017-11-11T00:55:35.649Z,,,54,61.4,,,31.3
2017-11-11T00:55:45.648Z,,,54,59.9,,,31.3
2017-11-11T00:55:55.644Z,,,54,59.4,,,31.3
2017-11-11T00:56:05.648Z,,,54,58.6,,,31.2
2017-11-11T00:56:15.743Z,,,54,57.9,,,31
2017-11-11T00:56:25.644Z,,,54,57.1,,,31.3
2017-11-11T00:56:35.651Z,,,54,56.6,,,31
2017-11-11T00:56:45.649Z,,,54,55.9,,,31.2
2017-11-11T00:56:55.651Z,,,54,55.5,,,31.4
2017-11-11T00:57:05.649Z,,,54,55.1,,,31.2
2017-11-11T00:57:15.750Z,,,54,54.8,,,31
2017-11-11T00:57:25.648Z,,,54,54.4,,,31
2017-11-11T00:57:35.652Z,,,54,53.9,,,31.2
2017-11-11T00:57:45.648Z,,,54,53.8,,,31
2017-11-11T00:57:55.648Z,,,54,53.5,,,30.9
2017-11-11T00:58:05.647Z,0,43,54,55.2,,2,31
2017-11-11T00:58:15.743Z,,34,54,57.7,,,30.9
2017-11-11T00:58:25.654Z,,29,54,58.1,,,30.6
2017-11-11T00:58:35.649Z,,,54,59.1,,,30.6
2017-11-11T00:58:45.649Z,,29,54,60,,,30.7
2017-11-11T00:58:55.650Z,,,54,60.7,,,30.8
2017-11-11T00:59:05.651Z,,29,54,61.5,,,30.8
2017-11-11T00:59:15.742Z,,29,54,62.2,,,31
2017-11-11T00:59:25.655Z,,,54,62.8,,,30.9
2017-11-11T00:59:40.755Z,,,54,63.4,,,31
2017-11-11T00:59:45.646Z,,,54,64,,,31.2
2017-11-11T00:59:55.652Z,,30,54,64.2,,,31.3
2017-11-11T01:00:10.736Z,,29,54,64.6,,,31.4
2017-11-11T01:00:15.741Z,,29,54,65.1,,,31.4
2017-11-11T01:00:25.650Z,0,0,54,62.8,,2,31.6
2017-11-11T01:00:35.647Z,,,54,61.6,,,31.6
2017-11-11T01:00:46.302Z,,,54,60.4,,,31.4
2017-11-11T01:00:55.653Z,,,54,59.6,,,31.2
2017-11-11T01:01:05.648Z,,,54,58.8,,,31.2
2017-11-11T01:01:15.739Z,,,54,57.9,,,31
2017-11-11T01:01:25.653Z,,,54,57.3,,,31
2017-11-11T01:01:35.654Z,,,54,56.7,,,31
2017-11-11T01:01:45.648Z,,,54,56.2,,,31.3
2017-11-11T01:01:55.655Z,,,54,55.6,,,31.3
2017-11-11T01:02:05.651Z,,,54,55.2,,,31.3
2017-11-11T01:02:15.743Z,,,54,54.8,,,31.4
2017-11-11T01:02:25.648Z,,,54,54.5,,,31.2
2017-11-11T01:02:35.650Z,,,54,54.1,,,31.3
2017-11-11T01:02:45.653Z,,,54,53.8,,,30.9
2017-11-11T01:03:00.736Z,0,0,54,53.6,61,2,30.8
2017-11-11T01:03:05.656Z,0,43,54,55.3,,2,30.9
2017-11-11T01:03:15.738Z,,34,54,57.7,,,31
2017-11-11T01:03:25.650Z,,29,54,58,,,30.8
2017-11-11T01:03:35.657Z,,,54,59.1,,,30.7
2017-11-11T01:03:45.650Z,,,54,60,,,30.7
2017-11-11T01:03:55.655Z,,,54,60.7,,,30.8
2017-11-11T01:04:05.651Z,,,54,61.4,,,30.9
2017-11-11T01:04:15.747Z,,,54,62,,,31.3
2017-11-11T01:04:25.653Z,,,54,62.6,,,31.3
2017-11-11T01:04:40.744Z,,,54,63.2,,,31.3
2017-11-11T01:04:45.648Z,,,54,63.5,,,31.4
2017-11-11T01:04:55.653Z,,,54,64,,,31.4
2017-11-11T01:05:05.650Z,,30,54,64.4,,,31.5
2017-11-11T01:05:15.755Z,,29,54,64.6,,,31.4
2017-11-11T01:05:25.651Z,,30,54,64.8,,,31.8
2017-11-11T01:05:36.317Z,0,0,54,63.5,,2,31.8
2017-11-11T01:05:45.658Z,,,54,61.8,,,31.8
2017-11-11T01:05:55.659Z,,,54,60.9,,,31.4
2017-11-11T01:06:05.659Z,,,54,59.8,,,31.2
2017-11-11T01:06:15.738Z,,,54,58.8,,,31
2017-11-11T01:06:25.657Z,,,54,57.9,,,31.2
2017-11-11T01:06:35.660Z,,,54,57.2,,,31.4
2017-11-11T01:06:45.651Z,,,54,56.5,,,31.5
2017-11-11T01:06:55.651Z,,,54,55.9,,,31.3
2017-11-11T01:07:05.690Z,,,54,55.3,,,31.3
2017-11-11T01:07:15.746Z,,,54,54.7,,,31.2
2017-11-11T01:07:25.655Z,,,54,54.3,,,31.3
2017-11-11T01:07:35.652Z,,,54,53.7,,,31.4
2017-11-11T01:07:45.652Z,,,54,53.3,,,31.2
2017-11-11T01:07:55.652Z,,,54,52.9,,,31.2
2017-11-11T01:08:05.652Z,0,43,54,54.5,,2,30.9
2017-11-11T01:08:15.749Z,,35,54,56.8,,,30.9
2017-11-11T01:08:25.653Z,,29,54,57,,,30.7
2017-11-11T01:08:35.652Z,,29,54,58,,,30.6
2017-11-11T01:08:45.658Z,,,54,58.6,,,30.8
2017-11-11T01:08:55.654Z,,29,54,59.3,,,30.9
