Time,ChActive,HwTOutlet,ActPow,PrimTSet,HwTSet,PrimT,HwActive
2018-01-11T00:55:52.810Z,,16.2,,,54,,
2018-01-11T00:56:02.843Z,,16.1,,,54,,
2018-01-11T00:56:12.859Z,,16.1,,,54,,
2018-01-11T00:56:22.798Z,,15.9,,,54,40.8,
2018-01-11T00:56:32.805Z,,15.9,,,54,,
2018-01-11T00:56:42.783Z,,15.9,,,54,,
2018-01-11T00:56:53.630Z,,15.7,,,54,,
2018-01-11T00:57:02.781Z,,15.6,,,54,,
2018-01-11T00:57:12.754Z,,15.6,,,54,40.7,
2018-01-11T00:57:22.813Z,,15.6,,,54,,
2018-01-11T00:57:32.753Z,,15.6,,,54,,
2018-01-11T00:57:42.865Z,,15.4,,,54,,
2018-01-11T00:57:52.825Z,1,15.4,,,54,40.6,0
2018-01-11T00:58:02.926Z,,15.4,40,,54,44.3,
2018-01-11T00:58:12.886Z,,15.4,31,,54,45.8,
2018-01-11T00:58:22.827Z,,15.7,29,,54,43.9,
2018-01-11T00:58:32.986Z,,17.4,,,54,45,
2018-01-11T00:58:47.931Z,,17.9,,,54,45.1,
2018-01-11T00:58:52.826Z,,18.9,,,54,45,
2018-01-11T00:59:02.836Z,,19.3,29,,54,44.9,
2018-01-11T00:59:12.762Z,,19.8,,,54,,
2018-01-11T00:59:23.638Z,1,20.2,0,,54,43.9,0
2018-01-11T00:59:32.759Z,,20.5,,,54,41.9,
2018-01-11T00:59:42.838Z,,20.6,,,54,40.7,
2018-01-11T00:59:57.856Z,,20.4,,,54,39.9,
2018-01-11T01:00:02.983Z,,20.2,,,54,38.8,
2018-01-11T01:00:12.806Z,,20.1,,,54,37.9,
2018-01-11T01:00:22.856Z,,20.1,,,54,37.7,
2018-01-11T01:00:32.843Z,,20.1,,,54,36.9,
2018-01-11T01:00:42.906Z,,20,,,54,36.7,
2018-01-11T01:00:52.774Z,,20,,,54,36.3,
2018-01-11T01:01:02.994Z,,19.7,,,54,35.8,
2018-01-11T01:01:12.845Z,,19.7,,,54,35.5,
2018-01-11T01:01:22.756Z,,19.7,,,54,35.2,
2018-01-11T01:01:32.839Z,,19.7,,,54,34.9,
2018-01-11T01:01:43.837Z,,19.7,,,54,34.8,
2018-01-11T01:01:52.812Z,,19.7,,,54,34.7,
