Time,PrimTSet,PrimT,ChActive,HwTOutlet,HwActive,ActPow,HwTSet
2018-01-12T01:08:31.584Z,,53.5,,41.1,,,54
2018-01-12T01:08:41.584Z,,53.6,,41.1,,30,54
2018-01-12T01:08:51.593Z,,,,41.1,,29,54
2018-01-12T01:09:01.666Z,,53.7,,41.1,,,54
2018-01-12T01:09:11.627Z,,53.8,,41.1,,,54
2018-01-12T01:09:21.629Z,,,,41.2,,,54
2018-01-12T01:09:31.590Z,,53.9,,41.2,,30,54
2018-01-12T01:09:41.589Z,,54,,41.2,,29,54
2018-01-12T01:09:51.585Z,,,,41.2,,30,54
2018-01-12T01:10:01.583Z,,54.1,,41.2,,29,54
2018-01-12T01:10:11.608Z,,,,41.2,,,54
2018-01-12T01:10:21.681Z,,54.3,,41.3,,30,54
2018-01-12T01:10:31.598Z,,52.8,1,41.3,0,0,54
2018-01-12T01:10:41.665Z,,50.7,,41.3,,,54
2018-01-12T01:10:51.728Z,,49.9,,41.4,,,54
2018-01-12T01:11:01.616Z,,49.5,,41.4,,,54
2018-01-12T01:11:11.872Z,,48.7,,41.4,,,54
2018-01-12T01:11:21.594Z,,47.9,,41.4,,,54
2018-01-12T01:11:31.651Z,,47.4,,41.5,,,54
2018-01-12T01:11:41.589Z,,46.9,,41.5,,,54
2018-01-12T01:11:51.606Z,,46.5,,41.5,,,54
2018-01-12T01:12:01.591Z,,46.2,,41.5,,,54
2018-01-12T01:12:11.723Z,,45.8,,41.6,,,54
2018-01-12T01:12:21.609Z,,45.5,,41.6,,,54
2018-01-12T01:12:31.590Z,,45.3,,41.6,,,54
2018-01-12T01:12:41.633Z,,44.9,,41.6,,,54
2018-01-12T01:12:51.653Z,,44.8,,41.7,,,54
2018-01-12T01:13:01.616Z,,44.6,,41.7,,,54
2018-01-12T01:13:11.585Z,,44.4,,41.7,,,54
2018-01-12T01:13:21.583Z,,44.3,,41.7,,,54
2018-01-12T01:13:31.587Z,,44.1,,41.7,,,54
2018-01-12T01:13:41.618Z,,,,41.7,,,54
2018-01-12T01:13:51.638Z,,,,41.7,,,54
2018-01-12T01:14:01.602Z,,,,41.7,,,54
2018-01-12T01:14:11.612Z,,44,,41.7,,,54
2018-01-12T01:14:21.600Z,,,,41.7,,,54
2018-01-12T01:14:31.598Z,,,,41.7,,,54
2018-01-12T01:14:41.619Z,,,,41.7,,,54
2018-01-12T01:14:51.591Z,,,,41.7,,,54
2018-01-12T01:15:01.584Z,61,44,1,41.7,0,0,54
2018-01-12T01:15:11.590Z,,,,41.7,,,54
2018-01-12T01:15:21.586Z,,,,41.7,,,54
2018-01-12T01:15:31.664Z,,,,41.6,,,54
2018-01-12T01:15:41.601Z,,,,41.6,,,54
