Time,PrimT,HwTOutlet,HwTSet,ActPow,HwActive,ChActive,PrimTSet
2017-11-19T01:06:27.290Z,60.4,49.6,54,,,,
2017-11-19T01:06:37.293Z,61.1,49.6,54,,,,
2017-11-19T01:06:47.290Z,62,49.6,54,,,,
2017-11-19T01:06:57.296Z,62.1,49.6,54,,,,
2017-11-19T01:07:07.287Z,63.1,49.6,54,29,,,
2017-11-19T01:07:17.289Z,63.2,49.6,54,,,,
2017-11-19T01:07:27.296Z,63.5,49.6,54,,,,
2017-11-19T01:07:37.295Z,64,49.6,54,,,,
2017-11-19T01:07:47.297Z,64.2,49.6,54,,,,
2017-11-19T01:07:57.290Z,64.6,49.6,54,,,,
2017-11-19T01:08:07.288Z,65.1,49.4,54,0,,,
2017-11-19T01:08:17.295Z,62.9,49.6,54,,0,2,
2017-11-19T01:08:27.297Z,61.8,49.6,54,,,,
2017-11-19T01:08:37.293Z,60,49.6,54,,,,
2017-11-19T01:08:47.295Z,58.9,49.6,54,,,,
2017-11-19T01:08:57.292Z,58.8,49.6,54,,,,
2017-11-19T01:09:07.290Z,57.9,49.6,54,,,,
2017-11-19T01:09:17.291Z,56.9,49.6,54,,,,
2017-11-19T01:09:27.293Z,55.9,49.6,54,,,,
2017-11-19T01:09:37.294Z,55.6,49.6,54,,,,
2017-11-19T01:09:47.288Z,54.9,49.7,54,,,,
2017-11-19T01:09:57.288Z,54.5,49.7,54,,,,
2017-11-19T01:10:07.288Z,53.9,49.7,54,,,,
2017-11-19T01:10:22.394Z,53.4,49.7,54,,,,
2017-11-19T01:10:27.297Z,54.6,49.7,54,44,0,2,
2017-11-19T01:10:37.298Z,57,49.8,54,35,,,
2017-11-19T01:10:47.292Z,57.2,49.8,54,29,,,
2017-11-19T01:10:57.289Z,58.1,49.8,54,,,,
2017-11-19T01:11:07.292Z,59,49.8,54,30,,,
2017-11-19T01:11:22.415Z,60,49.8,54,29,,,
2017-11-19T01:11:32.391Z,60.2,49.8,54,,,,
2017-11-19T01:11:37.838Z,61.1,49.7,54,,,,
2017-11-19T01:11:47.295Z,62,49.7,54,,,,
2017-11-19T01:11:57.296Z,62.1,49.7,54,,,,
2017-11-19T01:12:07.300Z,63.1,49.7,54,,,,
2017-11-19T01:12:17.293Z,63.2,49.7,54,,,,
2017-11-19T01:12:27.296Z,63.5,49.6,54,,,,
2017-11-19T01:12:37.296Z,64,49.6,54,30,,,
2017-11-19T01:12:47.290Z,64.4,49.6,54,29,,,
2017-11-19T01:12:57.300Z,64.6,49.6,54,30,,,
2017-11-19T01:13:07.298Z,63.5,49.6,54,0,0,2,
2017-11-19T01:13:17.294Z,61.9,49.6,54,,,,
2017-11-19T01:13:27.293Z,60.9,49.6,54,,,,
2017-11-19T01:13:37.298Z,59.8,49.4,54,,,,
2017-11-19T01:13:47.292Z,58.9,49.4,54,,,,
2017-11-19T01:13:57.296Z,57.9,49.4,54,,,,
2017-11-19T01:14:07.294Z,57.6,49.4,54,,,,
2017-11-19T01:14:17.299Z,56.8,49.6,54,,,,
2017-11-19T01:14:27.291Z,55.9,49.6,54,,,,
