Time,ChActive,ActPow,HwActive,PrimT,HwTOutlet,PrimTSet,HwTSet
2018-01-10T00:54:26.945Z,,,,34.2,18.8,,54
2018-01-10T00:54:37.078Z,,,,33.9,18.8,,54
2018-01-10T00:54:46.948Z,,,,33.8,18.6,,54
2018-01-10T00:54:56.954Z,,,,33.7,18.6,,54
2018-01-10T00:55:06.936Z,,,,33.5,18.6,,54
2018-01-10T00:55:16.955Z,,,,,18.5,,54
2018-01-10T00:55:27.053Z,,,,33.4,18.6,,54
2018-01-10T00:55:36.978Z,,,,33.3,18.5,,54
2018-01-10T00:55:46.926Z,,,,33.2,18.4,,54
2018-01-10T00:55:56.924Z,,,,33.1,18.4,,54
2018-01-10T00:56:06.970Z,,,,32.9,18.4,,54
2018-01-10T00:56:16.930Z,,,,,18.4,,54
2018-01-10T00:56:26.956Z,,,,32.8,18.5,,54
2018-01-10T00:56:36.971Z,,,,32.7,18.5,,54
2018-01-10T00:56:46.926Z,,,,32.6,18.5,,54
2018-01-10T00:56:56.956Z,1,41,0,35.4,18.5,,54
2018-01-10T00:57:07.006Z,,35,,37.1,18.5,,54
2018-01-10T00:57:16.931Z,,29,,38.1,18.5,,54
2018-01-10T00:57:26.971Z,,29,,39.1,18.6,,54
2018-01-10T00:57:37.008Z,,,,39.2,18.9,,54
2018-01-10T00:57:46.935Z,,,,40,19.2,,54
2018-01-10T00:57:56.931Z,,,,40.4,19.4,,54
2018-01-10T00:58:06.948Z,,,,41,19.6,,54
2018-01-10T00:58:16.933Z,,,,41.2,19.8,,54
2018-01-10T00:58:26.972Z,,,,41.5,20,,54
2018-01-10T00:58:36.930Z,,,,42,20.2,,54
2018-01-10T00:58:46.944Z,,,,,20.4,,54
2018-01-10T00:58:56.925Z,,,,42.2,20.5,,54
2018-01-10T00:59:07.011Z,,,,42.4,20.6,,54
2018-01-10T00:59:16.949Z,,,,42.7,20.8,,54
2018-01-10T00:59:26.929Z,,,,43,20.9,,54
2018-01-10T00:59:36.928Z,,,,43.1,20.8,,54
2018-01-10T00:59:46.948Z,,30,,43.3,21.1,,54
2018-01-10T00:59:56.989Z,,29,,43.5,21.2,,54
2018-01-10T01:00:06.934Z,,,,43.6,21.3,,54
2018-01-10T01:00:16.960Z,1,0,0,42.8,21.5,,54
2018-01-10T01:00:26.982Z,,,,40.9,21.5,,54
2018-01-10T01:00:36.952Z,,,,39.9,21.6,,54
2018-01-10T01:00:46.933Z,,,,38.9,21.3,,54
2018-01-10T01:00:56.995Z,,,,38.7,21.1,,54
2018-01-10T01:01:06.943Z,,,,37.9,20.9,,54
