Time,PrimTSet,HwTOutlet,HwActive,ChActive,PrimT,ActPow,HwTSet
2017-12-12T01:02:46.303Z,,15.7,,,54.9,,54
2017-12-12T01:02:56.303Z,,17.8,,,54.8,,54
2017-12-12T01:03:06.310Z,61,21.9,0,2,,,54
2017-12-12T01:03:16.304Z,,25.7,,,54.7,,54
2017-12-12T01:03:26.315Z,,29.7,,,54.6,,54
2017-12-12T01:03:36.303Z,,33.2,,,54.5,,54
2017-12-12T01:03:46.305Z,,35.8,,,54.4,,54
2017-12-12T01:03:56.305Z,,37.8,,,54,,54
2017-12-12T01:04:06.303Z,,39.4,0,2,52.8,43,54
2017-12-12T01:04:16.306Z,,40.5,,,55,31,54
2017-12-12T01:04:26.300Z,,41.5,,,54.8,29,54
2017-12-12T01:04:36.304Z,,42.1,,,54.1,30,54
2017-12-12T01:04:46.302Z,,42.7,,,54,29,54
2017-12-12T01:04:56.306Z,,43.2,,,53.9,30,54
2017-12-12T01:05:06.303Z,,43.7,,,53.7,29,54
2017-12-12T01:05:16.303Z,,44,,,53.6,,54
2017-12-12T01:05:26.305Z,,44.4,,,53.4,30,54
2017-12-12T01:05:36.305Z,,44.8,,,53.3,29,54
2017-12-12T01:05:46.303Z,,45,,,,,54
2017-12-12T01:05:56.302Z,,45.2,,,,,54
2017-12-12T01:06:06.466Z,,45.3,,,,,54
2017-12-12T01:06:16.306Z,,45.3,,,,,54
2017-12-12T01:06:26.307Z,,45.3,,,,,54
2017-12-12T01:06:36.308Z,,45.3,,,,,54
2017-12-12T01:06:46.303Z,,45.2,,,53.4,,54
2017-12-12T01:06:56.304Z,,45.2,,,,,54
2017-12-12T01:07:06.302Z,,45.1,,,53.5,,54
2017-12-12T01:07:16.305Z,,45,,,,,54
2017-12-12T01:07:26.305Z,,44.9,,,53.6,,54
2017-12-12T01:07:36.303Z,,44.8,,,53.7,,54
2017-12-12T01:07:46.302Z,,44.7,,,,,54
2017-12-12T01:07:56.312Z,,44.6,,,53.8,,54
2017-12-12T01:08:06.305Z,,44.3,,,53.9,,54
2017-12-12T01:08:16.305Z,,44.2,,,,30,54
2017-12-12T01:08:26.308Z,,44.1,,,54,29,54
2017-12-12T01:08:36.305Z,,44,,,,,54
2017-12-12T01:08:46.308Z,,43.9,,,54.1,,54
2017-12-12T01:08:56.306Z,,43.8,,,,,54
2017-12-12T01:09:06.309Z,,43.7,,,54.3,,54
2017-12-12T01:09:16.310Z,,43.6,,,,,54
2017-12-12T01:09:26.324Z,,43.5,,,,,54
2017-12-12T01:09:36.306Z,,43.4,,,54.4,,54
2017-12-12T01:09:46.311Z,,43.3,,,,,54
2017-12-12T01:09:56.312Z,,43.2,,,54.5,,54
2017-12-12T01:10:06.316Z,,43.1,,,,,54
2017-12-12T01:10:16.312Z,,43,,,54.6,,54
2017-12-12T01:10:26.312Z,,42.9,,,,,54
2017-12-12T01:10:36.306Z,,42.8,,,54.7,,54
2017-12-12T01:10:46.303Z,,42.7,,,,,54
2017-12-12T01:10:56.306Z,,42.7,,,,,54
2017-12-12T01:11:11.423Z,,42.6,,,54.8,,54
2017-12-12T01:11:16.308Z,,42.6,,,,,54
2017-12-12T01:11:26.304Z,,42.6,,,54.9,,54
2017-12-12T01:11:41.384Z,,42.6,,,,,54
2017-12-12T01:11:46.306Z,,42.6,,,55,,54
2017-12-12T01:11:56.305Z,,42.6,,,,,54
2017-12-12T01:12:06.309Z,,42.6,,,,30,54
2017-12-12T01:12:16.310Z,,42.6,,,,29,54
2017-12-12T01:12:26.304Z,,42.5,,,55.1,,54
2017-12-12T01:12:36.306Z,,42.5,,,,,54
2017-12-12T01:12:46.311Z,,42.4,,,55.2,,54
2017-12-12T01:12:56.305Z,,42.4,,,,,54
2017-12-12T01:13:06.304Z,,42.3,,,,,54
2017-12-12T01:13:16.315Z,,42.3,,,55.3,,54
2017-12-12T01:13:26.306Z,,42.3,,,,,54
2017-12-12T01:13:36.308Z,,42.2,,,,,54
2017-12-12T01:13:46.318Z,,42.2,,,55.4,,54
2017-12-12T01:13:56.305Z,,42.1,,,,,54
2017-12-12T01:14:06.307Z,,42.1,,,,,54
2017-12-12T01:14:16.308Z,,42,,,55.5,30,54
2017-12-12T01:14:26.306Z,,42,,,,,54
2017-12-12T01:14:36.307Z,,41.9,,,,29,54
2017-12-12T01:14:46.307Z,,41.9,,,55.6,,54
2017-12-12T01:14:56.308Z,,41.9,,,,,54
2017-12-12T01:15:11.418Z,,41.9,,,,,54
2017-12-12T01:15:16.307Z,,41.8,,,55.7,,54
2017-12-12T01:15:26.312Z,,41.8,,,,,54
2017-12-12T01:15:36.309Z,,41.8,,,,,54
2017-12-12T01:15:46.308Z,,41.8,,,55.9,,54
2017-12-12T01:15:56.308Z,,41.9,,,,,54
