Time,ActPow,PrimT,HwActive,ChActive,HwTOutlet,PrimTSet,HwTSet
2017-11-21T01:09:38.044Z,,60.8,,,51.6,,54
2017-11-21T01:09:47.942Z,,59.5,,,51.6,,54
2017-11-21T01:09:57.947Z,,58.7,,,51.6,,54
2017-11-21T01:10:07.948Z,,,,,51.6,,54
2017-11-21T01:10:17.953Z,,57.9,,,,,
2017-11-21T01:10:27.942Z,,56.7,,,51.6,,54
2017-11-21T01:10:38.033Z,,,,,51.7,,54
2017-11-21T01:10:47.944Z,,55.7,,,,,
2017-11-21T01:11:03.045Z,,,,,51.7,,54
2017-11-21T01:11:07.944Z,,55.3,,,51.7,,54
2017-11-21T01:11:17.948Z,,54.6,,,51.7,,54
2017-11-21T01:11:27.945Z,,,,,51.7,,54
2017-11-21T01:11:38.045Z,,54.3,,,51.7,,54
2017-11-21T01:11:47.947Z,,53.8,,,,,
2017-11-21T01:11:57.955Z,40,57.1,0,2,51.7,,54
2017-11-21T01:12:07.951Z,34,58,,,51.7,,54
2017-11-21T01:12:17.950Z,29,59.1,,,51.7,,54
2017-11-21T01:12:27.950Z,29,60.1,,,51.7,,54
2017-11-21T01:12:38.039Z,,,,,51.7,,54
2017-11-21T01:12:47.954Z,,61.5,,,51.7,,54
2017-11-21T01:12:57.948Z,,62,,,51.7,,54
2017-11-21T01:13:07.946Z,,62.1,,,51.7,,54
2017-11-21T01:13:23.055Z,30,63.2,,,,,
2017-11-21T01:13:27.954Z,,,,,51.6,,54
2017-11-21T01:13:43.088Z,29,64,,,51.6,,54
2017-11-21T01:13:47.949Z,,,,,51.6,,54
2017-11-21T01:13:57.953Z,,64.4,,,51.6,,54
2017-11-21T01:14:07.948Z,29,64.9,,,51.5,,54
2017-11-21T01:14:17.948Z,0,63.8,0,2,51.5,,54
2017-11-21T01:14:27.948Z,,61.9,,,51.5,,54
2017-11-21T01:14:38.036Z,,61.8,,,51.5,,54
2017-11-21T01:14:47.948Z,,59.9,,,,,
2017-11-21T01:14:57.950Z,,58.9,,,51.5,,54
2017-11-21T01:15:07.947Z,,58.8,,,51.5,,54
2017-11-21T01:15:17.945Z,,57.9,,,51.5,,54
2017-11-21T01:15:27.948Z,,56.9,,,51.5,,54
