Time,ChActive,HwTSet,HwActive,ActPow,HwTOutlet,PrimT,PrimTSet
2017-11-13T01:04:27.317Z,,54,,,45,,
2017-11-13T01:04:37.320Z,,54,,,45.1,64.4,
2017-11-13T01:04:47.315Z,,54,,,45.1,,
2017-11-13T01:04:57.405Z,,54,,,45.2,64.5,
2017-11-13T01:05:07.314Z,,54,,30,45.3,,
2017-11-13T01:05:17.322Z,,54,,29,45.3,,
2017-11-13T01:05:27.317Z,,54,,,45.3,64.6,
2017-11-13T01:05:37.314Z,,54,,,45.4,64.7,
2017-11-13T01:05:47.315Z,,54,,,45.4,,
2017-11-13T01:05:57.406Z,1,54,0,29,45.4,64.8,61
2017-11-13T01:06:07.316Z,,54,,,45.5,64.9,
2017-11-13T01:06:17.351Z,1,54,0,0,45.5,63.6,
2017-11-13T01:06:27.323Z,,54,,,45.6,61.8,
2017-11-13T01:06:37.321Z,,54,,,45.6,60.9,
2017-11-13T01:06:47.317Z,,54,,,45.6,59.8,
2017-11-13T01:06:57.406Z,,54,,,45.6,58.7,
2017-11-13T01:07:07.320Z,,54,,,45.5,57.9,
2017-11-13T01:07:17.319Z,,54,,,45.5,56.9,
2017-11-13T01:07:27.317Z,,54,,,45.4,56.5,
2017-11-13T01:07:37.321Z,,54,,,45.4,55.7,
2017-11-13T01:07:47.323Z,,54,,,45.3,55.3,
2017-11-13T01:07:57.409Z,1,54,0,44,45.2,55,
2017-11-13T01:08:07.320Z,,54,,39,45.1,58.2,
2017-11-13T01:08:17.322Z,,54,,29,45,58.9,
2017-11-13T01:08:27.320Z,,54,,29,44.9,60,
2017-11-13T01:08:37.315Z,,54,,30,44.9,60.5,
2017-11-13T01:08:47.315Z,,54,,30,44.9,61.2,
2017-11-13T01:08:57.409Z,,54,,29,44.8,62,
2017-11-13T01:09:07.320Z,,54,,30,44.9,62.4,
2017-11-13T01:09:17.320Z,,54,,29,44.9,63.1,
2017-11-13T01:09:27.320Z,,54,,,45,63.3,
2017-11-13T01:09:37.327Z,,54,,,45,63.6,
2017-11-13T01:09:47.325Z,,54,,30,45.1,64,
2017-11-13T01:09:57.410Z,,54,,29,45.1,64.1,
2017-11-13T01:10:07.316Z,,54,,,45.2,64.4,
2017-11-13T01:10:17.323Z,,54,,,45.2,64.6,
2017-11-13T01:10:27.318Z,,54,,,45.3,64.7,
2017-11-13T01:10:37.321Z,,54,,,45.3,64.8,
2017-11-13T01:10:52.426Z,,54,,0,45.3,65.1,
2017-11-13T01:10:57.421Z,1,54,0,,45.4,62.9,
2017-11-13T01:11:07.319Z,,54,,,45.4,60.9,
2017-11-13T01:11:17.320Z,,54,,,45.4,59.6,
2017-11-13T01:11:27.322Z,,54,,,45.4,58.9,
2017-11-13T01:11:37.324Z,,54,,,45.4,57.9,
2017-11-13T01:11:47.319Z,,54,,,45.3,56.9,
2017-11-13T01:11:57.417Z,,,,,,56.4,
2017-11-13T01:12:07.317Z,,54,,,45.2,55.7,
2017-11-13T01:12:17.322Z,,54,,,45.1,54.9,
2017-11-13T01:12:27.318Z,,54,,,45,54.6,
2017-11-13T01:12:37.332Z,,54,,,44.9,53.9,
2017-11-13T01:12:47.318Z,,54,,,44.8,53.6,
2017-11-13T01:12:57.410Z,1,54,0,,44.7,53.2,
2017-11-13T01:13:07.325Z,,54,,37,44.6,57.1,
2017-11-13T01:13:17.322Z,,54,,29,44.4,57.4,
2017-11-13T01:13:28.116Z,,54,,,44.3,58.1,
2017-11-13T01:13:37.327Z,,54,,,44.2,59,
2017-11-13T01:13:47.324Z,,54,,30,44.2,59.5,
2017-11-13T01:13:57.411Z,,54,,29,44.2,60.1,
2017-11-13T01:14:07.324Z,,54,,,44.2,60.7,
2017-11-13T01:14:17.326Z,,54,,29,44.2,61.2,
2017-11-13T01:14:27.326Z,,54,,,44.2,61.6,
2017-11-13T01:14:37.326Z,,54,,,44.2,62,
