Time,HwTSet,HwActive,PrimTSet,ActPow,PrimT,ChActive,HwTOutlet
2017-12-31T01:23:42.770Z,50,,,,,,29.8
2017-12-31T01:23:52.771Z,50,,,,,,29.8
2017-12-31T01:24:02.770Z,50,,,,,,29.7
2017-12-31T01:24:12.771Z,50,,,,35.1,,29.7
2017-12-31T01:24:22.771Z,50,,,,,,29.7
2017-12-31T01:24:32.770Z,50,,,,,,29.6
2017-12-31T01:24:42.771Z,50,,,,,,29.6
2017-12-31T01:24:52.770Z,50,,,,,,29.6
2017-12-31T01:25:02.770Z,50,,,,,,29.5
2017-12-31T01:25:12.771Z,50,,,,,,29.5
2017-12-31T01:25:22.770Z,50,,,,,,29.5
