Time,HwTSet,HwActive,ActPow,PrimT,PrimTSet,ChActive,HwTOutlet
2017-12-08T10:29:50.541Z,50,,,,,,44.8
2017-12-08T10:30:00.547Z,50,,,,,,44.6
2017-12-08T10:30:10.540Z,50,,,,,,44.4
2017-12-08T10:30:20.546Z,50,,,,,,44.3
2017-12-08T10:30:30.540Z,50,,,,,,44.2
2017-12-08T10:30:40.553Z,50,,,,,,44
2017-12-08T10:30:50.543Z,50,,,,,,43.9
2017-12-08T10:31:00.550Z,50,,,46.2,,,43.8
2017-12-08T10:31:10.566Z,50,,,46.3,,,43.7
2017-12-08T10:31:20.621Z,50,,,46.2,,,43.6
2017-12-08T10:31:30.580Z,50,,,,,,43.5
2017-12-08T10:31:40.560Z,50,,,,,,43.3
2017-12-08T10:31:50.604Z,50,,,,,,43.2
2017-12-08T10:32:00.539Z,50,,,,,,43.1
2017-12-08T10:32:10.545Z,50,,,,,,43
2017-12-08T10:32:20.540Z,50,,,,,,42.9
2017-12-08T10:32:30.546Z,50,,,,,,42.8
2017-12-08T10:32:40.544Z,50,,,,,,42.7
2017-12-08T10:32:50.548Z,50,,,,,,42.6
2017-12-08T10:33:00.560Z,50,,,,,,42.5
2017-12-08T10:33:10.638Z,50,,,,,,42.4
2017-12-08T10:33:20.545Z,50,,,46.1,,,42.3
2017-12-08T10:33:30.546Z,50,,,,,,42.2
2017-12-08T10:33:40.541Z,50,,,,,,42.1
2017-12-08T10:33:50.540Z,50,,,,,,42
2017-12-08T10:34:00.542Z,50,,,,,,41.9
2017-12-08T10:34:10.540Z,50,,,,,,41.8
2017-12-08T10:34:20.580Z,50,,,,,,41.7
2017-12-08T10:34:30.545Z,50,,,46,,,41.6
2017-12-08T10:34:40.568Z,50,,,,,,41.5
2017-12-08T10:34:50.546Z,50,,,,,,41.4
2017-12-08T10:35:00.541Z,50,,,45.9,,,41.3
2017-12-08T10:35:10.539Z,50,,,,,,41.2
2017-12-08T10:35:20.541Z,50,,,,,,41.1
2017-12-08T10:35:30.557Z,50,,,,,,41.1
2017-12-08T10:35:40.540Z,50,,,,,,40.9
2017-12-08T10:35:50.540Z,50,,,45.8,,,40.8
2017-12-08T10:36:00.540Z,50,,,,,,40.7
2017-12-08T10:36:10.540Z,50,,,,,,40.6
2017-12-08T10:36:20.556Z,50,,,,,,40.5
2017-12-08T10:36:30.551Z,50,,,45.7,,,40.4
2017-12-08T10:36:40.576Z,50,,,,,,40.4
2017-12-08T10:36:50.563Z,50,,,,,,40.3
2017-12-08T10:37:00.539Z,50,,,45.6,,,40.2
2017-12-08T10:37:10.539Z,50,,,,,,40.1
2017-12-08T10:37:20.545Z,50,,,,,,40
2017-12-08T10:37:30.544Z,50,,,,,,40
2017-12-08T10:37:40.540Z,50,,,45.5,,,39.9
2017-12-08T10:37:50.592Z,50,,,,,,39.8
2017-12-08T10:38:00.539Z,50,,,,,,39.7
2017-12-08T10:38:10.555Z,50,,,,,,39.7
2017-12-08T10:38:20.541Z,50,,,45.4,,,39.6
