Time,HwTOutlet,HwTSet,PrimTSet,HwActive,PrimT,ChActive,ActPow
2018-01-01T01:12:42.738Z,23.4,50,,,,,
2018-01-01T01:12:52.738Z,23.4,50,,,,,
2018-01-01T01:13:12.740Z,23.4,50,,,,,
2018-01-01T01:13:22.738Z,23.3,50,,,,,
2018-01-01T01:13:42.738Z,23.3,50,,,,,
2018-01-01T01:13:52.737Z,23.3,50,,,,,
2018-01-01T01:14:02.738Z,23.3,50,,,29.2,,
2018-01-01T01:14:12.738Z,23.3,50,,,,,
2018-01-01T01:14:22.738Z,23.3,50,,,,,
2018-01-01T01:14:42.738Z,23.3,50,,,,,
2018-01-01T01:14:52.738Z,23.3,50,,,,,
2018-01-01T01:15:12.738Z,23.3,50,,,,,
2018-01-01T01:15:22.738Z,23.3,50,,,,,
2018-01-01T01:15:42.738Z,23.3,50,,,,,
2018-01-01T01:15:52.738Z,23.3,50,,,,,
2018-01-01T01:16:02.738Z,23.3,50,,,,,
2018-01-01T01:16:12.738Z,23.3,50,,,,,
2018-01-01T01:16:22.737Z,23.3,50,,,,,
2018-01-01T01:16:42.738Z,23.3,50,,,,,
2018-01-01T01:16:52.737Z,23.3,50,,,,,
2018-01-01T01:17:02.738Z,23.3,50,,,,,
2018-01-01T01:17:12.738Z,23.3,50,,,,,
2018-01-01T01:17:22.738Z,23.3,50,,,,,
2018-01-01T01:17:42.737Z,23.3,50,,,,,
2018-01-01T01:17:52.738Z,23.3,50,,,29,,
2018-01-01T01:18:02.738Z,23.3,50,,,,,
2018-01-01T01:18:12.737Z,23.3,50,,,,,
2018-01-01T01:18:22.738Z,23.3,50,,,,,
2018-01-01T01:18:42.738Z,23.2,50,,,,,
2018-01-01T01:18:52.738Z,23.3,50,,,,,
2018-01-01T01:19:02.738Z,23.3,50,,,,,
2018-01-01T01:19:12.738Z,23.3,50,,,,,
2018-01-01T01:19:22.739Z,23.3,50,,,,,
2018-01-01T01:19:42.738Z,23.3,50,,,,,
2018-01-01T01:19:52.737Z,23.2,50,,,,,
2018-01-01T01:20:02.738Z,23.2,50,,,,,
