Time,HwTSet,PrimTSet,ChActive,ActPow,PrimT,HwTOutlet,HwActive
2017-11-22T01:37:01.277Z,52,,,,,25.4,
2017-11-22T01:37:11.279Z,52,,,,,25.4,
2017-11-22T01:37:31.282Z,52,,,,,25.4,
2017-11-22T01:37:41.357Z,52,,,,,25.4,
2017-11-22T01:37:51.277Z,52,,,,,25.4,
2017-11-22T01:38:01.277Z,52,,,,,25.4,
2017-11-22T01:38:11.277Z,52,,,,,25.4,
2017-11-22T01:38:31.277Z,52,,,,,25.4,
2017-11-22T01:38:41.357Z,52,,,,,25.4,
2017-11-22T01:38:51.277Z,52,,,,31.8,25.4,
2017-11-22T01:39:01.277Z,52,,,,,25.4,
2017-11-22T01:39:11.277Z,52,,,,31.9,25.4,
2017-11-22T01:39:31.277Z,52,,,,31.8,25.3,
2017-11-22T01:39:41.400Z,52,,,,,25.3,
2017-11-22T01:39:51.277Z,52,,,,,25.4,
2017-11-22T01:40:01.277Z,52,,,,,25.3,
2017-11-22T01:40:11.277Z,52,,,,,25.3,
2017-11-22T01:40:31.349Z,52,,,,,25.4,
2017-11-22T01:40:41.357Z,52,,,,,25.3,
2017-11-22T01:40:51.277Z,52,,,,,25.3,
2017-11-22T01:41:01.323Z,52,,,,,25.3,
2017-11-22T01:41:11.307Z,52,,,,,25.3,
2017-11-22T01:41:31.289Z,52,,,,,25.3,
2017-11-22T01:41:51.277Z,52,,,,,25.3,
2017-11-22T01:42:01.277Z,52,,,,,25.3,
2017-11-22T01:42:11.281Z,52,,,,,25.3,
2017-11-22T01:42:31.277Z,52,,,,,25.3,
2017-11-22T01:42:41.357Z,52,,,,,25.3,
2017-11-22T01:42:51.280Z,52,,,,31.7,25.3,
2017-11-22T01:43:01.277Z,52,,,,31.8,25.3,
