Time,HwActive,PrimT,ActPow,HwTSet,ChActive,HwTOutlet,PrimTSet
2018-02-10T01:10:28.637Z,,,,50,,35.1,
2018-02-10T01:10:48.634Z,,,,50,,34.9,
2018-02-10T01:10:58.670Z,,,,50,,34.8,
2018-02-10T01:11:18.635Z,,,,50,,34.8,
2018-02-10T01:11:28.695Z,,,,50,,34.7,
2018-02-10T01:11:38.657Z,,37.6,,,,,
2018-02-10T01:11:48.634Z,,,,50,,34.6,
2018-02-10T01:11:58.649Z,,,,50,,34.6,
2018-02-10T01:12:18.635Z,,37.7,,50,,34.5,
2018-02-10T01:12:28.634Z,,,,50,,34.5,
2018-02-10T01:12:48.634Z,,,,50,,34.4,
2018-02-10T01:12:58.634Z,,,,50,,34.4,
2018-02-10T01:13:08.635Z,,37.8,,,,,
2018-02-10T01:13:18.634Z,,,,50,,34.3,
2018-02-10T01:13:28.633Z,,,,50,,34.3,
2018-02-10T01:13:48.642Z,,,,50,,34.2,
2018-02-10T01:13:58.633Z,,,,50,,34.2,
2018-02-10T01:14:18.634Z,,,,50,,34.1,
2018-02-10T01:14:28.634Z,,,,50,,34.1,
2018-02-10T01:14:38.639Z,,37.8,,,,,
2018-02-10T01:14:48.641Z,,,,50,,34,
2018-02-10T01:14:58.639Z,,,,50,,34,
2018-02-10T01:15:08.646Z,,37.8,,,,,
2018-02-10T01:15:18.633Z,,37.9,,50,,33.9,
2018-02-10T01:15:28.635Z,,,,50,,33.9,
2018-02-10T01:15:48.634Z,,,,50,,33.8,
2018-02-10T01:15:58.636Z,,,,50,,33.8,
2018-02-10T01:16:08.634Z,,37.8,,,,,
2018-02-10T01:16:18.635Z,,,,50,,33.7,
2018-02-10T01:16:28.686Z,,,,50,,33.7,
2018-02-10T01:16:48.672Z,,,,50,,33.6,
2018-02-10T01:16:58.633Z,,,,50,,33.6,
2018-02-10T01:17:18.633Z,,,,50,,33.5,
2018-02-10T01:17:28.654Z,,,,50,,33.5,
2018-02-10T01:17:48.634Z,,,,50,,33.5,
